trader,final_portfolio_value,return_pct,num_days,num_trades,max_drawdown_pct,sharpe_like,excess_return_vs_bh,selection_score,min_bull_probability,min_probability_margin,max_allocation,neutral_behavior
aggressive,12043.15,20.43,1166,169,9.48,0.612,-330.47,-34.2626,0.65,0.0,0.8,hold
aggressive,12043.15,20.43,1166,169,9.48,0.612,-330.47,-34.2626,0.65,0.05,0.8,hold
aggressive,12043.15,20.43,1166,169,9.48,0.612,-330.47,-34.2626,0.65,0.1,0.8,hold
aggressive,11449.94,14.5,1166,155,7.2,0.587,-336.4,-34.467,0.65,0.0,0.6,hold
aggressive,11449.94,14.5,1166,155,7.2,0.587,-336.4,-34.467,0.65,0.05,0.6,hold
aggressive,11449.94,14.5,1166,155,7.2,0.587,-336.4,-34.467,0.65,0.1,0.6,hold
aggressive,11128.21,11.28,1166,245,9.72,0.419,-339.62,-36.1594,0.55,0.0,0.6,hold
aggressive,11128.21,11.28,1166,245,9.72,0.419,-339.62,-36.1594,0.55,0.05,0.6,hold
aggressive,11128.21,11.28,1166,245,9.72,0.419,-339.62,-36.1594,0.55,0.1,0.6,hold
aggressive,11287.05,12.87,1166,259,12.96,0.369,-338.03,-36.5792,0.55,0.0,0.8,hold
aggressive,11287.05,12.87,1166,259,12.96,0.369,-338.03,-36.5792,0.55,0.05,0.8,hold
aggressive,11287.05,12.87,1166,259,12.96,0.369,-338.03,-36.5792,0.55,0.1,0.8,hold
aggressive,11037.25,10.37,1166,313,8.81,0.349,-340.53,-36.8912,0.45,0.1,0.6,hold
aggressive,11243.19,12.43,1166,331,12.26,0.326,-338.47,-37.3022,0.45,0.1,0.8,hold
aggressive,10792.69,7.93,1166,318,12.71,0.282,-342.97,-37.7202,0.45,0.05,0.6,hold
aggressive,10747.98,7.48,1166,328,11.89,0.27,-343.42,-37.7788,0.45,0.0,0.6,hold
aggressive,11001.31,10.01,1166,350,15.0,0.279,-340.89,-38.11,0.45,0.0,0.8,hold
aggressive,10978.0,9.78,1166,344,16.31,0.272,-341.12,-38.2372,0.45,0.05,0.8,hold
aggressive,9266.44,-7.34,1166,206,15.07,-0.366,-358.24,-39.0584,0.65,0.0,0.6,cash
aggressive,9266.44,-7.34,1166,206,15.07,-0.366,-358.24,-39.0584,0.65,0.05,0.6,cash
aggressive,9266.44,-7.34,1166,206,15.07,-0.366,-358.24,-39.0584,0.65,0.1,0.6,cash
aggressive,9160.51,-8.39,1166,223,18.76,-0.306,-359.29,-39.7162,0.65,0.0,0.8,cash
aggressive,9160.51,-8.39,1166,223,18.76,-0.306,-359.29,-39.7162,0.65,0.05,0.8,cash
aggressive,9160.51,-8.39,1166,223,18.76,-0.306,-359.29,-39.7162,0.65,0.1,0.8,cash
aggressive,9140.64,-8.59,1166,293,16.18,-0.361,-359.49,-40.1816,0.55,0.0,0.6,cash
aggressive,9140.64,-8.59,1166,293,16.18,-0.361,-359.49,-40.1816,0.55,0.05,0.6,cash
aggressive,9140.64,-8.59,1166,293,16.18,-0.361,-359.49,-40.1816,0.55,0.1,0.6,cash
aggressive,9131.05,-8.69,1166,392,16.1,-0.319,-359.59,-41.13,0.45,0.0,0.6,cash
aggressive,9103.0,-8.97,1166,388,16.17,-0.331,-359.87,-41.1384,0.45,0.1,0.6,cash
aggressive,9128.83,-8.71,1166,394,16.05,-0.32,-359.61,-41.147,0.45,0.05,0.6,cash
aggressive,8797.64,-12.02,1166,315,21.52,-0.377,-362.92,-41.4014,0.55,0.0,0.8,cash
aggressive,8797.64,-12.02,1166,315,21.52,-0.377,-362.92,-41.4014,0.55,0.05,0.8,cash
aggressive,8797.64,-12.02,1166,315,21.52,-0.377,-362.92,-41.4014,0.55,0.1,0.8,cash
aggressive,8791.75,-12.08,1166,407,21.3,-0.328,-362.98,-42.252,0.45,0.1,0.8,cash
aggressive,8837.51,-11.62,1166,419,21.04,-0.313,-362.52,-42.2798,0.45,0.0,0.8,cash
aggressive,8825.59,-11.74,1166,420,21.08,-0.317,-362.64,-42.3106,0.45,0.05,0.8,cash
