trader,final_portfolio_value,return_pct,num_days,num_trades,max_drawdown_pct,sharpe_like,excess_return_vs_bh,selection_score,min_bull_probability,min_probability_margin,max_allocation,neutral_behavior
balanced,11168.14,11.68,1166,81,2.38,1.127,-339.22,-33.0806,0.65,0.0,0.5,hold
balanced,11168.14,11.68,1166,81,2.38,1.127,-339.22,-33.0806,0.65,0.05,0.5,hold
balanced,11168.14,11.68,1166,81,2.38,1.127,-339.22,-33.0806,0.65,0.1,0.5,hold
balanced,10838.78,8.39,1166,70,1.8,1.087,-342.51,-33.38,0.65,0.0,0.375,hold
balanced,10838.78,8.39,1166,70,1.8,1.087,-342.51,-33.38,0.65,0.05,0.375,hold
balanced,10838.78,8.39,1166,70,1.8,1.087,-342.51,-33.38,0.65,0.1,0.375,hold
balanced,11055.95,10.56,1166,125,4.35,0.863,-340.34,-33.943,0.55,0.0,0.5,hold
balanced,11055.95,10.56,1166,125,4.35,0.863,-340.34,-33.943,0.55,0.05,0.5,hold
balanced,11055.95,10.56,1166,125,4.35,0.863,-340.34,-33.943,0.55,0.1,0.5,hold
balanced,10754.15,7.54,1166,110,3.19,0.838,-343.36,-33.9808,0.55,0.0,0.375,hold
balanced,10754.15,7.54,1166,110,3.19,0.838,-343.36,-33.9808,0.55,0.05,0.375,hold
balanced,10754.15,7.54,1166,110,3.19,0.838,-343.36,-33.9808,0.55,0.1,0.375,hold
balanced,10732.17,7.32,1166,144,3.64,0.702,-343.58,-34.5328,0.45,0.05,0.375,hold
balanced,10688.64,6.89,1166,144,3.83,0.645,-344.01,-34.6556,0.45,0.1,0.375,hold
balanced,10934.03,9.34,1166,165,4.92,0.665,-341.56,-34.7314,0.45,0.05,0.5,hold
balanced,10895.56,8.96,1166,161,5.36,0.623,-341.94,-34.8242,0.45,0.1,0.5,hold
balanced,10574.49,5.74,1166,146,3.68,0.565,-345.16,-34.8526,0.45,0.0,0.375,hold
balanced,10808.98,8.09,1166,169,4.97,0.591,-342.81,-34.9764,0.45,0.0,0.5,hold
balanced,9750.33,-2.5,1166,94,3.42,-0.616,-353.4,-36.3664,0.65,0.0,0.375,cash
balanced,9750.33,-2.5,1166,94,3.42,-0.616,-353.4,-36.3664,0.65,0.05,0.375,cash
balanced,9750.33,-2.5,1166,94,3.42,-0.616,-353.4,-36.3664,0.65,0.1,0.375,cash
balanced,9716.13,-2.84,1166,108,4.35,-0.526,-353.74,-36.502,0.65,0.0,0.5,cash
balanced,9716.13,-2.84,1166,108,4.35,-0.526,-353.74,-36.502,0.65,0.05,0.5,cash
balanced,9716.13,-2.84,1166,108,4.35,-0.526,-353.74,-36.502,0.65,0.1,0.5,cash
balanced,9722.76,-2.77,1166,137,4.18,-0.521,-353.67,-36.7596,0.55,0.0,0.375,cash
balanced,9722.76,-2.77,1166,137,4.18,-0.521,-353.67,-36.7596,0.55,0.05,0.375,cash
balanced,9722.76,-2.77,1166,137,4.18,-0.521,-353.67,-36.7596,0.55,0.1,0.375,cash
balanced,9811.5,-1.89,1166,180,4.48,-0.278,-352.79,-36.8946,0.45,0.0,0.375,cash
balanced,9805.2,-1.95,1166,180,4.54,-0.288,-352.85,-36.9178,0.45,0.05,0.375,cash
balanced,9805.2,-1.95,1166,180,4.54,-0.288,-352.85,-36.9178,0.45,0.1,0.375,cash
balanced,9592.76,-4.07,1166,152,6.05,-0.562,-354.97,-37.305,0.55,0.0,0.5,cash
balanced,9592.76,-4.07,1166,152,6.05,-0.562,-354.97,-37.305,0.55,0.05,0.5,cash
balanced,9592.76,-4.07,1166,152,6.05,-0.562,-354.97,-37.305,0.55,0.1,0.5,cash
balanced,9711.79,-2.88,1166,211,6.46,-0.324,-353.78,-37.5872,0.45,0.1,0.5,cash
balanced,9712.82,-2.87,1166,212,6.5,-0.323,-353.77,-37.6,0.45,0.0,0.5,cash
balanced,9716.58,-2.83,1166,214,6.47,-0.319,-353.73,-37.6084,0.45,0.05,0.5,cash
