feature,importance
atr_14,0.07386567443609238
rsi_14,0.06876090168952942
ma50_gap,0.06444691121578217
ret_20,0.06249508261680603
spy_ma50_gap,0.06244194135069847
relative_strength_20,0.062406789511442184
volatility_10,0.06124162673950195
ma20_gap,0.05767851322889328
ret_10,0.05589733645319939
ma5_gap,0.05465129390358925
high_low_range,0.05388016253709793
ret_5,0.04827497899532318
excess_return,0.04701704904437065
return,0.047011226415634155
spy_return,0.04693056643009186
ret_3,0.0461343377828598
overnight_gap,0.04459100589156151
volume_change,0.042274635285139084
