trader,final_portfolio_value,return_pct,num_days,num_trades,max_drawdown_pct,sharpe_like,excess_return_vs_bh,selection_score,min_bull_probability,min_probability_margin,max_allocation,neutral_behavior
conservative,10607.16,6.07,1166,53,1.51,1.059,-344.83,-33.6052,0.65,0.0,0.25,hold
conservative,10607.16,6.07,1166,53,1.51,1.059,-344.83,-33.6052,0.65,0.05,0.25,hold
conservative,10607.16,6.07,1166,53,1.51,1.059,-344.83,-33.6052,0.65,0.1,0.25,hold
conservative,10546.65,5.47,1166,36,1.49,1.062,-345.43,-33.6598,0.65,0.0,0.1875,hold
conservative,10546.65,5.47,1166,36,1.49,1.062,-345.43,-33.6598,0.65,0.05,0.1875,hold
conservative,10546.65,5.47,1166,36,1.49,1.062,-345.43,-33.6598,0.65,0.1,0.1875,hold
conservative,10563.73,5.64,1166,82,1.66,1.018,-345.26,-33.7072,0.45,0.1,0.1875,hold
conservative,10528.83,5.29,1166,86,1.66,0.955,-345.61,-33.8052,0.45,0.05,0.1875,hold
conservative,10407.97,4.08,1166,75,1.43,0.917,-346.82,-33.9366,0.55,0.0,0.1875,hold
conservative,10407.97,4.08,1166,75,1.43,0.917,-346.82,-33.9366,0.55,0.05,0.1875,hold
conservative,10407.97,4.08,1166,75,1.43,0.917,-346.82,-33.9366,0.55,0.1,0.1875,hold
conservative,10507.04,5.07,1166,85,2.13,0.88,-345.83,-33.9586,0.55,0.0,0.25,hold
conservative,10507.04,5.07,1166,85,2.13,0.88,-345.83,-33.9586,0.55,0.05,0.25,hold
conservative,10507.04,5.07,1166,85,2.13,0.88,-345.83,-33.9586,0.55,0.1,0.25,hold
conservative,10565.94,5.66,1166,117,2.37,0.84,-345.24,-34.1384,0.45,0.05,0.25,hold
conservative,10511.42,5.11,1166,118,2.38,0.773,-345.79,-34.2716,0.45,0.0,0.25,hold
conservative,10347.17,3.47,1166,92,1.69,0.666,-347.43,-34.2798,0.45,0.0,0.1875,hold
conservative,10521.95,5.22,1166,114,3.16,0.755,-345.68,-34.3322,0.45,0.1,0.25,hold
conservative,10061.73,0.62,1166,113,1.4,0.179,-350.28,-35.147,0.45,0.0,0.1875,cash
conservative,10061.73,0.62,1166,113,1.4,0.179,-350.28,-35.147,0.45,0.05,0.1875,cash
conservative,10061.73,0.62,1166,113,1.4,0.179,-350.28,-35.147,0.45,0.1,0.1875,cash
conservative,10016.74,0.17,1166,64,1.29,0.074,-350.73,-35.1538,0.65,0.0,0.1875,cash
conservative,10016.74,0.17,1166,64,1.29,0.074,-350.73,-35.1538,0.65,0.05,0.1875,cash
conservative,10016.74,0.17,1166,64,1.29,0.074,-350.73,-35.1538,0.65,0.1,0.1875,cash
conservative,9985.77,-0.14,1166,95,1.97,-0.048,-351.04,-35.3884,0.55,0.0,0.1875,cash
conservative,9985.77,-0.14,1166,95,1.97,-0.048,-351.04,-35.3884,0.55,0.05,0.1875,cash
conservative,9985.77,-0.14,1166,95,1.97,-0.048,-351.04,-35.3884,0.55,0.1,0.1875,cash
conservative,9908.01,-0.92,1166,103,2.15,-0.243,-351.82,-35.713,0.55,0.0,0.25,cash
conservative,9908.01,-0.92,1166,103,2.15,-0.243,-351.82,-35.713,0.55,0.05,0.25,cash
conservative,9908.01,-0.92,1166,103,2.15,-0.243,-351.82,-35.713,0.55,0.1,0.25,cash
conservative,9880.66,-1.19,1166,81,2.37,-0.336,-352.09,-35.8294,0.65,0.0,0.25,cash
conservative,9880.66,-1.19,1166,81,2.37,-0.336,-352.09,-35.8294,0.65,0.05,0.25,cash
conservative,9880.66,-1.19,1166,81,2.37,-0.336,-352.09,-35.8294,0.65,0.1,0.25,cash
conservative,9838.98,-1.61,1166,152,3.13,-0.368,-352.51,-36.5146,0.45,0.0,0.25,cash
conservative,9838.98,-1.61,1166,152,3.13,-0.368,-352.51,-36.5146,0.45,0.05,0.25,cash
conservative,9838.98,-1.61,1166,152,3.13,-0.368,-352.51,-36.5146,0.45,0.1,0.25,cash
