trader,final_portfolio_value,return_pct,num_days,num_trades,max_drawdown_pct,sharpe_like,excess_return_vs_bh,selection_score,min_bull_probability,min_probability_margin,max_allocation,neutral_behavior
aggressive,9534.17,-4.66,1166,94,9.35,-0.222,-133.74,-14.718,0.55,0.0,0.6,cash
aggressive,9534.17,-4.66,1166,94,9.35,-0.222,-133.74,-14.718,0.55,0.05,0.6,cash
aggressive,9534.17,-4.66,1166,94,9.35,-0.222,-133.74,-14.718,0.55,0.1,0.6,cash
aggressive,9448.09,-5.52,1166,52,8.52,-0.357,-134.6,-14.8394,0.65,0.0,0.6,cash
aggressive,9448.09,-5.52,1166,52,8.52,-0.357,-134.6,-14.8394,0.65,0.05,0.6,cash
aggressive,9448.09,-5.52,1166,52,8.52,-0.357,-134.6,-14.8394,0.65,0.1,0.6,cash
aggressive,9415.43,-5.85,1166,111,12.41,-0.204,-134.93,-15.2962,0.55,0.0,0.8,cash
aggressive,9415.43,-5.85,1166,111,12.41,-0.204,-134.93,-15.2962,0.55,0.05,0.8,cash
aggressive,9415.43,-5.85,1166,111,12.41,-0.204,-134.93,-15.2962,0.55,0.1,0.8,cash
aggressive,9320.07,-6.8,1166,84,12.02,-0.271,-135.88,-15.3014,0.55,0.0,0.6,hold
aggressive,9320.07,-6.8,1166,84,12.02,-0.271,-135.88,-15.3014,0.55,0.05,0.6,hold
aggressive,9320.07,-6.8,1166,84,12.02,-0.271,-135.88,-15.3014,0.55,0.1,0.6,hold
aggressive,9323.49,-6.77,1166,40,12.39,-0.31,-135.85,-15.3818,0.65,0.0,0.6,hold
aggressive,9323.49,-6.77,1166,40,12.39,-0.31,-135.85,-15.3818,0.65,0.05,0.6,hold
aggressive,9323.49,-6.77,1166,40,12.39,-0.31,-135.85,-15.3818,0.65,0.1,0.6,hold
aggressive,9248.59,-7.51,1166,54,11.52,-0.364,-136.59,-15.4054,0.65,0.0,0.8,cash
aggressive,9248.59,-7.51,1166,54,11.52,-0.364,-136.59,-15.4054,0.65,0.05,0.8,cash
aggressive,9248.59,-7.51,1166,54,11.52,-0.364,-136.59,-15.4054,0.65,0.1,0.8,cash
aggressive,9729.78,-2.7,1166,197,10.1,-0.09,-131.78,-15.45,0.45,0.1,0.6,hold
aggressive,9639.2,-3.61,1166,201,10.29,-0.13,-132.69,-15.6438,0.45,0.0,0.6,hold
aggressive,9639.2,-3.61,1166,201,10.29,-0.13,-132.69,-15.6438,0.45,0.05,0.6,hold
aggressive,9520.31,-4.8,1166,206,10.26,-0.187,-133.88,-15.8662,0.45,0.0,0.6,cash
aggressive,9520.31,-4.8,1166,206,10.26,-0.187,-133.88,-15.8662,0.45,0.05,0.6,cash
aggressive,9492.53,-5.07,1166,207,10.26,-0.2,-134.15,-15.9162,0.45,0.1,0.6,cash
aggressive,9131.29,-8.69,1166,45,16.7,-0.291,-137.77,-16.072,0.65,0.0,0.8,hold
aggressive,9131.29,-8.69,1166,45,16.7,-0.291,-137.77,-16.072,0.65,0.05,0.8,hold
aggressive,9131.29,-8.69,1166,45,16.7,-0.291,-137.77,-16.072,0.65,0.1,0.8,hold
aggressive,9048.1,-9.52,1166,93,16.65,-0.282,-138.6,-16.14,0.55,0.0,0.8,hold
aggressive,9048.1,-9.52,1166,93,16.65,-0.282,-138.6,-16.14,0.55,0.05,0.8,hold
aggressive,9048.1,-9.52,1166,93,16.65,-0.282,-138.6,-16.14,0.55,0.1,0.8,hold
aggressive,9391.81,-6.08,1166,220,14.13,-0.166,-135.16,-16.5776,0.45,0.1,0.8,hold
aggressive,9295.79,-7.04,1166,226,15.01,-0.199,-136.12,-16.8722,0.45,0.0,0.8,hold
aggressive,9295.79,-7.04,1166,226,15.01,-0.199,-136.12,-16.8722,0.45,0.05,0.8,hold
aggressive,9175.64,-8.24,1166,238,13.47,-0.244,-137.32,-16.9724,0.45,0.0,0.8,cash
aggressive,9175.64,-8.24,1166,238,13.47,-0.244,-137.32,-16.9724,0.45,0.05,0.8,cash
aggressive,9154.37,-8.46,1166,239,13.47,-0.252,-137.54,-17.0124,0.45,0.1,0.8,cash
