signal_date,trade_date,trade_price,market_close,predicted_signal,confidence,bullish_probability,trend_filter_passed,target_allocation,action,cash,shares,position_value,portfolio_value,explanation
2024-05-31,2024-06-03,177.6999969482422,178.33999633789062,BEARISH_SIGNAL,0.43182678082457765,0.2591092531483628,False,0.0,HOLD,10000.0,0,0.0,10000.0,"Balanced trader saw BEARISH_SIGNAL with bullish_probability=0.26, confidence=0.43, probability_margin=0.12, trend_filter_passed=False, rule=bearish_exit, target_allocation=0.00%."
2024-06-03,2024-06-04,177.63999938964844,179.33999633789062,BEARISH_SIGNAL,0.4412582426817549,0.28725360365910324,False,0.0,HOLD,10000.0,0,0.0,10000.0,"Balanced trader saw BEARISH_SIGNAL with bullish_probability=0.29, confidence=0.44, probability_margin=0.15, trend_filter_passed=False, rule=bearish_exit, target_allocation=0.00%."
2024-06-04,2024-06-05,180.10000610351562,181.27999877929688,NEUTRAL_SIGNAL,0.3353500817607292,0.3330566806888073,False,0.0,HOLD,10000.0,0,0.0,10000.0,"Balanced trader saw NEUTRAL_SIGNAL with bullish_probability=0.33, confidence=0.34, probability_margin=0.00, trend_filter_passed=False, rule=neutral_hold, target_allocation=0.00%."
2024-06-05,2024-06-06,181.75,185.0,NEUTRAL_SIGNAL,0.4271427239858536,0.2320453709203411,False,0.0,HOLD,10000.0,0,0.0,10000.0,"Balanced trader saw NEUTRAL_SIGNAL with bullish_probability=0.23, confidence=0.43, probability_margin=0.09, trend_filter_passed=False, rule=neutral_hold, target_allocation=0.00%."
2024-06-06,2024-06-07,184.89999389648438,184.3000030517578,BEARISH_SIGNAL,0.4516178619936175,0.2190397006855829,True,0.0,HOLD,10000.0,0,0.0,10000.0,"Balanced trader saw BEARISH_SIGNAL with bullish_probability=0.22, confidence=0.45, probability_margin=0.12, trend_filter_passed=True, rule=bearish_exit, target_allocation=0.00%."
2024-06-07,2024-06-10,184.07000732421875,187.05999755859375,BEARISH_SIGNAL,0.39042689773428924,0.2487810971250497,True,0.0,HOLD,10000.0,0,0.0,10000.0,"Balanced trader saw BEARISH_SIGNAL with bullish_probability=0.25, confidence=0.39, probability_margin=0.03, trend_filter_passed=True, rule=bearish_exit, target_allocation=0.00%."
2024-06-10,2024-06-11,187.05999755859375,187.22999572753906,NEUTRAL_SIGNAL,0.41063944883688364,0.22969920283808506,True,0.0,HOLD,10000.0,0,0.0,10000.0,"Balanced trader saw NEUTRAL_SIGNAL with bullish_probability=0.23, confidence=0.41, probability_margin=0.05, trend_filter_passed=True, rule=neutral_hold, target_allocation=0.00%."
2024-06-11,2024-06-12,188.02000427246094,186.88999938964844,NEUTRAL_SIGNAL,0.42187218127596865,0.27366234320141,True,0.0,HOLD,10000.0,0,0.0,10000.0,"Balanced trader saw NEUTRAL_SIGNAL with bullish_probability=0.27, confidence=0.42, probability_margin=0.12, trend_filter_passed=True, rule=neutral_hold, target_allocation=0.00%."
2024-06-12,2024-06-13,186.08999633789062,183.8300018310547,NEUTRAL_SIGNAL,0.4211930740098243,0.2942801381589638,True,0.0,HOLD,10000.0,0,0.0,10000.0,"Balanced trader saw NEUTRAL_SIGNAL with bullish_probability=0.29, confidence=0.42, probability_margin=0.13, trend_filter_passed=True, rule=neutral_hold, target_allocation=0.00%."
2024-06-13,2024-06-14,183.0800018310547,183.66000366210938,BULLISH_SIGNAL,0.43894168581427434,0.43894168581427434,True,0.0,HOLD,10000.0,0,0.0,10000.0,"Balanced trader saw BULLISH_SIGNAL with bullish_probability=0.44, confidence=0.44, probability_margin=0.16, trend_filter_passed=True, rule=neutral_hold, target_allocation=0.00%."
