trader,final_portfolio_value,return_pct,num_days,num_trades,max_drawdown_pct,sharpe_like,excess_return_vs_bh,selection_score,min_bull_probability,min_probability_margin,max_allocation,neutral_behavior
balanced,10205.08,2.05,1166,8,0.74,0.825,-127.03,-11.9668,0.65,0.0,0.5,hold
balanced,10205.08,2.05,1166,8,0.74,0.825,-127.03,-11.9668,0.65,0.05,0.5,hold
balanced,10205.08,2.05,1166,8,0.74,0.825,-127.03,-11.9668,0.65,0.1,0.5,hold
balanced,10178.58,1.79,1166,5,2.06,0.411,-127.29,-12.5652,0.65,0.0,0.375,hold
balanced,10178.58,1.79,1166,5,2.06,0.411,-127.29,-12.5652,0.65,0.05,0.375,hold
balanced,10178.58,1.79,1166,5,2.06,0.411,-127.29,-12.5652,0.65,0.1,0.375,hold
balanced,10029.28,0.29,1166,7,0.44,0.312,-128.79,-12.6198,0.65,0.0,0.375,cash
balanced,10029.28,0.29,1166,7,0.44,0.312,-128.79,-12.6198,0.65,0.05,0.375,cash
balanced,10029.28,0.29,1166,7,0.44,0.312,-128.79,-12.6198,0.65,0.1,0.375,cash
balanced,9949.45,-0.51,1166,53,3.06,-0.084,-129.59,-13.4102,0.45,0.0,0.5,hold
balanced,9949.45,-0.51,1166,53,3.06,-0.084,-129.59,-13.4102,0.45,0.05,0.5,hold
balanced,9949.45,-0.51,1166,53,3.06,-0.084,-129.59,-13.4102,0.45,0.1,0.5,hold
balanced,9923.98,-0.76,1166,23,0.96,-0.411,-129.84,-13.5102,0.55,0.0,0.5,hold
balanced,9923.98,-0.76,1166,23,0.96,-0.411,-129.84,-13.5102,0.55,0.05,0.5,hold
balanced,9923.98,-0.76,1166,23,0.96,-0.411,-129.84,-13.5102,0.55,0.1,0.5,hold
balanced,9900.34,-1.0,1166,35,2.08,-0.258,-130.08,-13.5156,0.45,0.0,0.375,hold
balanced,9900.34,-1.0,1166,35,2.08,-0.258,-130.08,-13.5156,0.45,0.05,0.375,hold
balanced,9900.34,-1.0,1166,35,2.08,-0.258,-130.08,-13.5156,0.45,0.1,0.375,hold
balanced,9903.89,-0.96,1166,19,1.07,-0.75,-130.04,-13.8824,0.55,0.0,0.375,hold
balanced,9903.89,-0.96,1166,19,1.07,-0.75,-130.04,-13.8824,0.55,0.05,0.375,hold
balanced,9903.89,-0.96,1166,19,1.07,-0.75,-130.04,-13.8824,0.55,0.1,0.375,hold
balanced,9806.38,-1.94,1166,36,2.92,-0.526,-131.02,-13.9784,0.45,0.0,0.375,cash
balanced,9806.38,-1.94,1166,36,2.92,-0.526,-131.02,-13.9784,0.45,0.05,0.375,cash
balanced,9806.38,-1.94,1166,36,2.92,-0.526,-131.02,-13.9784,0.45,0.1,0.375,cash
balanced,9969.24,-0.31,1166,7,0.31,-1.038,-129.39,-14.0142,0.65,0.0,0.5,cash
balanced,9969.24,-0.31,1166,7,0.31,-1.038,-129.39,-14.0142,0.65,0.05,0.5,cash
balanced,9969.24,-0.31,1166,7,0.31,-1.038,-129.39,-14.0142,0.65,0.1,0.5,cash
balanced,9907.45,-0.93,1166,26,0.98,-1.054,-130.01,-14.1726,0.55,0.0,0.5,cash
balanced,9907.45,-0.93,1166,26,0.98,-1.054,-130.01,-14.1726,0.55,0.05,0.5,cash
balanced,9907.45,-0.93,1166,26,0.98,-1.054,-130.01,-14.1726,0.55,0.1,0.5,cash
balanced,9924.08,-0.76,1166,24,0.79,-1.223,-129.84,-14.3018,0.55,0.0,0.375,cash
balanced,9924.08,-0.76,1166,24,0.79,-1.223,-129.84,-14.3018,0.55,0.05,0.375,cash
balanced,9924.08,-0.76,1166,24,0.79,-1.223,-129.84,-14.3018,0.55,0.1,0.375,cash
balanced,9793.7,-2.06,1166,68,2.23,-0.997,-131.14,-14.3786,0.45,0.0,0.5,cash
balanced,9793.7,-2.06,1166,68,2.23,-0.997,-131.14,-14.3786,0.45,0.05,0.5,cash
balanced,9793.7,-2.06,1166,68,2.23,-0.997,-131.14,-14.3786,0.45,0.1,0.5,cash
