signal_date,trade_date,trade_price,market_close,predicted_signal,confidence,bullish_probability,trend_filter_passed,target_allocation,action,cash,shares,position_value,portfolio_value,explanation
2024-05-31,2024-06-03,177.6999969482422,178.33999633789062,BUY_AND_HOLD,1.0,1.0,True,1.0,BUY,33.86839555487313,56,9987.039794921875,10020.908190476748,Benchmark entered at next-day open with trading costs and then held.
2024-06-03,2024-06-04,177.63999938964844,179.33999633789062,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,33.86839555487313,56,10043.039794921875,10076.908190476748,Benchmark entered at next-day open with trading costs and then held.
2024-06-04,2024-06-05,180.10000610351562,181.27999877929688,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,33.86839555487313,56,10151.679931640625,10185.548327195498,Benchmark entered at next-day open with trading costs and then held.
2024-06-05,2024-06-06,181.75,185.0,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,33.86839555487313,56,10360.0,10393.868395554873,Benchmark entered at next-day open with trading costs and then held.
2024-06-06,2024-06-07,184.89999389648438,184.3000030517578,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,33.86839555487313,56,10320.800170898438,10354.66856645331,Benchmark entered at next-day open with trading costs and then held.
2024-06-07,2024-06-10,184.07000732421875,187.05999755859375,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,33.86839555487313,56,10475.35986328125,10509.228258836123,Benchmark entered at next-day open with trading costs and then held.
2024-06-10,2024-06-11,187.05999755859375,187.22999572753906,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,33.86839555487313,56,10484.879760742188,10518.74815629706,Benchmark entered at next-day open with trading costs and then held.
2024-06-11,2024-06-12,188.02000427246094,186.88999938964844,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,33.86839555487313,56,10465.839965820312,10499.708361375186,Benchmark entered at next-day open with trading costs and then held.
2024-06-12,2024-06-13,186.08999633789062,183.8300018310547,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,33.86839555487313,56,10294.480102539062,10328.348498093936,Benchmark entered at next-day open with trading costs and then held.
2024-06-13,2024-06-14,183.0800018310547,183.66000366210938,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,33.86839555487313,56,10284.960205078125,10318.828600632998,Benchmark entered at next-day open with trading costs and then held.
2024-06-14,2024-06-17,182.52000427246094,184.05999755859375,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,33.86839555487313,56,10307.35986328125,10341.228258836123,Benchmark entered at next-day open with trading costs and then held.
2024-06-17,2024-06-18,183.74000549316406,182.80999755859375,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,33.86839555487313,56,10237.35986328125,10271.228258836123,Benchmark entered at next-day open with trading costs and then held.
2024-06-18,2024-06-20,182.91000366210938,186.10000610351562,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,33.86839555487313,56,10421.600341796875,10455.468737351748,Benchmark entered at next-day open with trading costs and then held.
2024-06-20,2024-06-21,187.8000030517578,189.0800018310547,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,33.86839555487313,56,10588.480102539062,10622.348498093936,Benchmark entered at next-day open with trading costs and then held.
2024-06-21,2024-06-24,189.3300018310547,185.57000732421875,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,33.86839555487313,56,10391.92041015625,10425.788805711123,Benchmark entered at next-day open with trading costs and then held.
2024-06-24,2024-06-25,186.80999755859375,186.33999633789062,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,33.86839555487313,56,10435.039794921875,10468.908190476748,Benchmark entered at next-day open with trading costs and then held.
2024-06-25,2024-06-26,186.9199981689453,193.61000061035156,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,33.86839555487313,56,10842.160034179688,10876.02842973456,Benchmark entered at next-day open with trading costs and then held.
2024-06-26,2024-06-27,195.00999450683594,197.85000610351562,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,33.86839555487313,56,11079.600341796875,11113.468737351748,Benchmark entered at next-day open with trading costs and then held.
2024-06-27,2024-06-28,197.72999572753906,193.25,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,33.86839555487313,56,10822.0,10855.868395554873,Benchmark entered at next-day open with trading costs and then held.
2024-06-28,2024-07-01,193.49000549316406,197.1999969482422,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,33.86839555487313,56,11043.199829101562,11077.068224656436,Benchmark entered at next-day open with trading costs and then held.
2024-07-01,2024-07-02,197.27999877929688,200.0,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,33.86839555487313,56,11200.0,11233.868395554873,Benchmark entered at next-day open with trading costs and then held.
2024-07-02,2024-07-03,199.94000244140625,197.58999633789062,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,33.86839555487313,56,11065.039794921875,11098.908190476748,Benchmark entered at next-day open with trading costs and then held.
2024-07-03,2024-07-05,198.64999389648438,200.0,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,33.86839555487313,56,11200.0,11233.868395554873,Benchmark entered at next-day open with trading costs and then held.
2024-07-05,2024-07-08,200.0399932861328,199.2899932861328,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,33.86839555487313,56,11160.239624023438,11194.10801957831,Benchmark entered at next-day open with trading costs and then held.
2024-07-08,2024-07-09,199.39999389648438,199.33999633789062,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,33.86839555487313,56,11163.039794921875,11196.908190476748,Benchmark entered at next-day open with trading costs and then held.
2024-07-09,2024-07-10,200.0,199.7899932861328,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,33.86839555487313,56,11188.239624023438,11222.10801957831,Benchmark entered at next-day open with trading costs and then held.
2024-07-10,2024-07-11,200.08999633789062,195.0500030517578,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,33.86839555487313,56,10922.800170898438,10956.66856645331,Benchmark entered at next-day open with trading costs and then held.
2024-07-11,2024-07-12,194.8000030517578,194.49000549316406,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,33.86839555487313,56,10891.440307617188,10925.30870317206,Benchmark entered at next-day open with trading costs and then held.
2024-07-12,2024-07-15,194.55999755859375,192.72000122070312,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,33.86839555487313,56,10792.320068359375,10826.188463914248,Benchmark entered at next-day open with trading costs and then held.
2024-07-15,2024-07-16,195.58999633789062,193.02000427246094,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,33.86839555487313,56,10809.120239257812,10842.988634812686,Benchmark entered at next-day open with trading costs and then held.
2024-07-16,2024-07-17,191.35000610351562,187.92999267578125,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,33.86839555487313,56,10524.07958984375,10557.947985398623,Benchmark entered at next-day open with trading costs and then held.
2024-07-17,2024-07-18,189.58999633789062,183.75,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,33.86839555487313,56,10290.0,10323.868395554873,Benchmark entered at next-day open with trading costs and then held.
2024-07-18,2024-07-19,181.13999938964844,183.1300048828125,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,33.86839555487313,56,10255.2802734375,10289.148668992373,Benchmark entered at next-day open with trading costs and then held.
2024-07-19,2024-07-22,185.0,182.5500030517578,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,33.86839555487313,56,10222.800170898438,10256.66856645331,Benchmark entered at next-day open with trading costs and then held.
2024-07-22,2024-07-23,184.10000610351562,186.41000366210938,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,33.86839555487313,56,10438.960205078125,10472.828600632998,Benchmark entered at next-day open with trading costs and then held.
2024-07-23,2024-07-24,183.1999969482422,180.8300018310547,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,33.86839555487313,56,10126.480102539062,10160.348498093936,Benchmark entered at next-day open with trading costs and then held.
2024-07-24,2024-07-25,182.91000366210938,179.85000610351562,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,33.86839555487313,56,10071.600341796875,10105.468737351748,Benchmark entered at next-day open with trading costs and then held.
2024-07-25,2024-07-26,180.38999938964844,182.5,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,33.86839555487313,56,10220.0,10253.868395554873,Benchmark entered at next-day open with trading costs and then held.
2024-07-26,2024-07-29,183.83999633789062,183.1999969482422,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,33.86839555487313,56,10259.199829101562,10293.068224656436,Benchmark entered at next-day open with trading costs and then held.
2024-07-29,2024-07-30,184.72000122070312,181.7100067138672,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,33.86839555487313,56,10175.760375976562,10209.628771531436,Benchmark entered at next-day open with trading costs and then held.
2024-07-30,2024-07-31,185.0500030517578,186.97999572753906,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,33.86839555487313,56,10470.879760742188,10504.74815629706,Benchmark entered at next-day open with trading costs and then held.
2024-07-31,2024-08-01,189.2899932861328,184.07000732421875,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,33.86839555487313,56,10307.92041015625,10341.788805711123,Benchmark entered at next-day open with trading costs and then held.
2024-08-01,2024-08-02,166.75,167.89999389648438,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,33.86839555487313,56,9402.399658203125,9436.268053757998,Benchmark entered at next-day open with trading costs and then held.
2024-08-02,2024-08-05,154.2100067138672,161.02000427246094,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,33.86839555487313,56,9017.120239257812,9050.988634812686,Benchmark entered at next-day open with trading costs and then held.
2024-08-05,2024-08-06,161.7100067138672,161.92999267578125,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,33.86839555487313,56,9068.07958984375,9101.947985398623,Benchmark entered at next-day open with trading costs and then held.
2024-08-06,2024-08-07,166.5500030517578,162.77000427246094,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,33.86839555487313,56,9115.120239257812,9148.988634812686,Benchmark entered at next-day open with trading costs and then held.
2024-08-07,2024-08-08,165.1699981689453,165.8000030517578,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,33.86839555487313,56,9284.800170898438,9318.66856645331,Benchmark entered at next-day open with trading costs and then held.
2024-08-08,2024-08-09,166.39999389648438,166.94000244140625,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,33.86839555487313,56,9348.64013671875,9382.508532273623,Benchmark entered at next-day open with trading costs and then held.
2024-08-09,2024-08-12,168.13999938964844,166.8000030517578,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,33.86839555487313,56,9340.800170898438,9374.66856645331,Benchmark entered at next-day open with trading costs and then held.
2024-08-12,2024-08-13,167.80999755859375,170.22999572753906,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,33.86839555487313,56,9532.879760742188,9566.74815629706,Benchmark entered at next-day open with trading costs and then held.
2024-08-13,2024-08-14,172.11000061035156,170.10000610351562,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,33.86839555487313,56,9525.600341796875,9559.468737351748,Benchmark entered at next-day open with trading costs and then held.
2024-08-14,2024-08-15,174.86000061035156,177.58999633789062,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,33.86839555487313,56,9945.039794921875,9978.908190476748,Benchmark entered at next-day open with trading costs and then held.
2024-08-15,2024-08-16,177.0399932861328,177.05999755859375,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,33.86839555487313,56,9915.35986328125,9949.228258836123,Benchmark entered at next-day open with trading costs and then held.
2024-08-16,2024-08-19,177.63999938964844,178.22000122070312,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,33.86839555487313,56,9980.320068359375,10014.188463914248,Benchmark entered at next-day open with trading costs and then held.
2024-08-19,2024-08-20,177.9199981689453,178.8800048828125,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,33.86839555487313,56,10017.2802734375,10051.148668992373,Benchmark entered at next-day open with trading costs and then held.
2024-08-20,2024-08-21,179.9199981689453,180.11000061035156,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,33.86839555487313,56,10086.160034179688,10120.02842973456,Benchmark entered at next-day open with trading costs and then held.
2024-08-21,2024-08-22,181.3800048828125,176.1300048828125,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,33.86839555487313,56,9863.2802734375,9897.148668992373,Benchmark entered at next-day open with trading costs and then held.
2024-08-22,2024-08-23,177.33999633789062,177.0399932861328,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,33.86839555487313,56,9914.239624023438,9948.10801957831,Benchmark entered at next-day open with trading costs and then held.
2024-08-23,2024-08-26,176.6999969482422,175.5,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,33.86839555487313,56,9828.0,9861.868395554873,Benchmark entered at next-day open with trading costs and then held.
2024-08-26,2024-08-27,174.14999389648438,173.1199951171875,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,33.86839555487313,56,9694.7197265625,9728.588122117373,Benchmark entered at next-day open with trading costs and then held.
2024-08-27,2024-08-28,173.69000244140625,170.8000030517578,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,33.86839555487313,56,9564.800170898438,9598.66856645331,Benchmark entered at next-day open with trading costs and then held.
2024-08-28,2024-08-29,173.22000122070312,172.1199951171875,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,33.86839555487313,56,9638.7197265625,9672.588122117373,Benchmark entered at next-day open with trading costs and then held.
2024-08-29,2024-08-30,172.77999877929688,178.5,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,33.86839555487313,56,9996.0,10029.868395554873,Benchmark entered at next-day open with trading costs and then held.
2024-08-30,2024-09-03,177.5500030517578,176.25,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,33.86839555487313,56,9870.0,9903.868395554873,Benchmark entered at next-day open with trading costs and then held.
2024-09-03,2024-09-04,174.47999572753906,173.3300018310547,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,33.86839555487313,56,9706.480102539062,9740.348498093936,Benchmark entered at next-day open with trading costs and then held.
2024-09-04,2024-09-05,175.0,177.88999938964844,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,33.86839555487313,56,9961.839965820312,9995.708361375186,Benchmark entered at next-day open with trading costs and then held.
2024-09-05,2024-09-06,177.24000549316406,171.38999938964844,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,33.86839555487313,56,9597.839965820312,9631.708361375186,Benchmark entered at next-day open with trading costs and then held.
2024-09-06,2024-09-09,174.52999877929688,175.39999389648438,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,33.86839555487313,56,9822.399658203125,9856.268053757998,Benchmark entered at next-day open with trading costs and then held.
2024-09-09,2024-09-10,177.49000549316406,179.5500030517578,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,33.86839555487313,56,10054.800170898438,10088.66856645331,Benchmark entered at next-day open with trading costs and then held.
2024-09-10,2024-09-11,180.10000610351562,184.52000427246094,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,33.86839555487313,56,10333.120239257812,10366.988634812686,Benchmark entered at next-day open with trading costs and then held.
2024-09-11,2024-09-12,184.8000030517578,187.0,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,33.86839555487313,56,10472.0,10505.868395554873,Benchmark entered at next-day open with trading costs and then held.
2024-09-12,2024-09-13,187.0,186.49000549316406,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,33.86839555487313,56,10443.440307617188,10477.30870317206,Benchmark entered at next-day open with trading costs and then held.
2024-09-13,2024-09-16,185.2899932861328,184.88999938964844,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,33.86839555487313,56,10353.839965820312,10387.708361375186,Benchmark entered at next-day open with trading costs and then held.
2024-09-16,2024-09-17,186.85000610351562,186.8800048828125,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,33.86839555487313,56,10465.2802734375,10499.148668992373,Benchmark entered at next-day open with trading costs and then held.
