trader,final_portfolio_value,return_pct,num_days,num_trades,max_drawdown_pct,sharpe_like,excess_return_vs_bh,selection_score,min_bull_probability,min_probability_margin,max_allocation,neutral_behavior
conservative,10243.92,2.44,1166,12,0.98,0.879,-126.64,-11.9026,0.45,0.0,0.1875,hold
conservative,10243.92,2.44,1166,12,0.98,0.879,-126.64,-11.9026,0.45,0.05,0.1875,hold
conservative,10243.92,2.44,1166,12,0.98,0.879,-126.64,-11.9026,0.45,0.1,0.1875,hold
conservative,10215.18,2.15,1166,12,0.98,0.796,-126.93,-12.0146,0.45,0.0,0.1875,cash
conservative,10215.18,2.15,1166,12,0.98,0.796,-126.93,-12.0146,0.45,0.05,0.1875,cash
conservative,10215.18,2.15,1166,12,0.98,0.796,-126.93,-12.0146,0.45,0.1,0.1875,cash
conservative,10069.92,0.7,1166,18,0.75,0.313,-128.38,-12.615,0.45,0.0,0.25,hold
conservative,10069.92,0.7,1166,18,0.75,0.313,-128.38,-12.615,0.45,0.05,0.25,hold
conservative,10069.92,0.7,1166,18,0.75,0.313,-128.38,-12.615,0.45,0.1,0.25,hold
conservative,10007.26,0.07,1166,5,0.23,0.092,-129.01,-12.8366,0.65,0.0,0.25,hold
conservative,10007.26,0.07,1166,5,0.23,0.092,-129.01,-12.8366,0.65,0.05,0.25,hold
conservative,10007.26,0.07,1166,5,0.23,0.092,-129.01,-12.8366,0.65,0.1,0.25,hold
conservative,10001.89,0.02,1166,22,0.91,0.012,-129.06,-13.0032,0.45,0.0,0.25,cash
conservative,10001.89,0.02,1166,22,0.91,0.012,-129.06,-13.0032,0.45,0.05,0.25,cash
conservative,10001.89,0.02,1166,22,0.91,0.012,-129.06,-13.0032,0.45,0.1,0.25,cash
conservative,9987.93,-0.12,1166,9,0.19,-0.292,-129.2,-13.2348,0.55,0.0,0.25,cash
conservative,9987.93,-0.12,1166,9,0.19,-0.292,-129.2,-13.2348,0.55,0.05,0.25,cash
conservative,9987.93,-0.12,1166,9,0.19,-0.292,-129.2,-13.2348,0.55,0.1,0.25,cash
conservative,10179.29,1.79,1166,4,2.06,0.413,-127.29,-13.5632,0.55,0.0,0.1875,hold
conservative,10179.29,1.79,1166,4,2.06,0.413,-127.29,-13.5632,0.55,0.0,0.1875,cash
conservative,10179.29,1.79,1166,4,2.06,0.413,-127.29,-13.5632,0.55,0.05,0.1875,hold
conservative,10179.29,1.79,1166,4,2.06,0.413,-127.29,-13.5632,0.55,0.05,0.1875,cash
conservative,10179.29,1.79,1166,4,2.06,0.413,-127.29,-13.5632,0.55,0.1,0.1875,hold
conservative,10179.29,1.79,1166,4,2.06,0.413,-127.29,-13.5632,0.55,0.1,0.1875,cash
conservative,9947.12,-0.53,1166,9,0.6,-0.736,-129.61,-13.769,0.55,0.0,0.25,hold
conservative,9947.12,-0.53,1166,9,0.6,-0.736,-129.61,-13.769,0.55,0.05,0.25,hold
conservative,9947.12,-0.53,1166,9,0.6,-0.736,-129.61,-13.769,0.55,0.1,0.25,hold
conservative,9989.29,-0.11,1166,5,0.11,-0.855,-129.19,-13.7872,0.65,0.0,0.25,cash
conservative,9989.29,-0.11,1166,5,0.11,-0.855,-129.19,-13.7872,0.65,0.05,0.25,cash
conservative,9989.29,-0.11,1166,5,0.11,-0.855,-129.19,-13.7872,0.65,0.1,0.25,cash
conservative,9994.57,-0.05,1166,2,0.05,-0.589,-129.13,-14.508,0.65,0.0,0.1875,hold
conservative,9994.57,-0.05,1166,2,0.05,-0.589,-129.13,-14.508,0.65,0.0,0.1875,cash
conservative,9994.57,-0.05,1166,2,0.05,-0.589,-129.13,-14.508,0.65,0.05,0.1875,hold
conservative,9994.57,-0.05,1166,2,0.05,-0.589,-129.13,-14.508,0.65,0.05,0.1875,cash
conservative,9994.57,-0.05,1166,2,0.05,-0.589,-129.13,-14.508,0.65,0.1,0.1875,hold
conservative,9994.57,-0.05,1166,2,0.05,-0.589,-129.13,-14.508,0.65,0.1,0.1875,cash
