trader,final_portfolio_value,return_pct,num_days,num_trades,max_drawdown_pct,sharpe_like,excess_return_vs_bh,selection_score,min_bull_probability,min_probability_margin,max_allocation,neutral_behavior
aggressive,10304.71,3.05,1166,18,2.57,0.331,-164.86,-16.4634,0.65,0.0,0.8,hold
aggressive,10304.71,3.05,1166,18,2.57,0.331,-164.86,-16.4634,0.65,0.05,0.8,hold
aggressive,10304.71,3.05,1166,18,2.57,0.331,-164.86,-16.4634,0.65,0.1,0.8,hold
aggressive,10199.01,1.99,1166,17,2.16,0.296,-165.92,-16.5552,0.65,0.0,0.6,hold
aggressive,10199.01,1.99,1166,17,2.16,0.296,-165.92,-16.5552,0.65,0.05,0.6,hold
aggressive,10199.01,1.99,1166,17,2.16,0.296,-165.92,-16.5552,0.65,0.1,0.6,hold
aggressive,10178.02,1.78,1166,19,1.76,0.267,-166.13,-16.5572,0.65,0.0,0.8,cash
aggressive,10178.02,1.78,1166,19,1.76,0.267,-166.13,-16.5572,0.65,0.05,0.8,cash
aggressive,10178.02,1.78,1166,19,1.76,0.267,-166.13,-16.5572,0.65,0.1,0.8,cash
aggressive,10124.5,1.24,1166,18,1.28,0.256,-166.67,-16.5646,0.65,0.0,0.6,cash
aggressive,10124.5,1.24,1166,18,1.28,0.256,-166.67,-16.5646,0.65,0.05,0.6,cash
aggressive,10124.5,1.24,1166,18,1.28,0.256,-166.67,-16.5646,0.65,0.1,0.6,cash
aggressive,9709.63,-2.9,1166,61,4.74,-0.244,-170.81,-17.8938,0.55,0.0,0.6,hold
aggressive,9709.63,-2.9,1166,61,4.74,-0.244,-170.81,-17.8938,0.55,0.05,0.6,hold
aggressive,9709.63,-2.9,1166,61,4.74,-0.244,-170.81,-17.8938,0.55,0.1,0.6,hold
aggressive,9694.19,-3.06,1166,82,6.68,-0.177,-170.97,-18.0756,0.55,0.0,0.8,hold
aggressive,9694.19,-3.06,1166,82,6.68,-0.177,-170.97,-18.0756,0.55,0.05,0.8,hold
aggressive,9694.19,-3.06,1166,82,6.68,-0.177,-170.97,-18.0756,0.55,0.1,0.8,hold
aggressive,9548.09,-4.52,1166,74,4.75,-0.401,-172.43,-18.214,0.55,0.0,0.6,cash
aggressive,9548.09,-4.52,1166,74,4.75,-0.401,-172.43,-18.214,0.55,0.05,0.6,cash
aggressive,9548.09,-4.52,1166,74,4.75,-0.401,-172.43,-18.214,0.55,0.1,0.6,cash
aggressive,9486.93,-5.13,1166,107,5.97,-0.326,-173.04,-18.4164,0.55,0.0,0.8,cash
aggressive,9486.93,-5.13,1166,107,5.97,-0.326,-173.04,-18.4164,0.55,0.05,0.8,cash
aggressive,9486.93,-5.13,1166,107,5.97,-0.326,-173.04,-18.4164,0.55,0.1,0.8,cash
aggressive,9532.75,-4.67,1166,147,8.85,-0.252,-172.58,-19.042,0.45,0.1,0.6,hold
aggressive,9482.81,-5.17,1166,148,9.31,-0.282,-173.08,-19.1872,0.45,0.0,0.6,hold
aggressive,9482.81,-5.17,1166,148,9.31,-0.282,-173.08,-19.1872,0.45,0.05,0.6,hold
aggressive,9473.96,-5.26,1166,177,8.82,-0.299,-173.17,-19.4444,0.45,0.0,0.6,cash
aggressive,9473.96,-5.26,1166,177,8.82,-0.299,-173.17,-19.4444,0.45,0.05,0.6,cash
aggressive,9473.96,-5.26,1166,177,8.82,-0.299,-173.17,-19.4444,0.45,0.1,0.6,cash
aggressive,9197.96,-8.02,1166,187,11.62,-0.33,-175.93,-20.1874,0.45,0.1,0.8,hold
aggressive,9119.64,-8.8,1166,191,12.13,-0.367,-176.71,-20.4036,0.45,0.0,0.8,hold
aggressive,9119.64,-8.8,1166,191,12.13,-0.367,-176.71,-20.4036,0.45,0.05,0.8,hold
aggressive,9135.17,-8.65,1166,210,11.45,-0.37,-176.56,-20.5,0.45,0.0,0.8,cash
aggressive,9135.17,-8.65,1166,210,11.45,-0.37,-176.56,-20.5,0.45,0.05,0.8,cash
aggressive,9130.2,-8.7,1166,210,11.5,-0.373,-176.61,-20.514,0.45,0.1,0.8,cash
