trader,final_portfolio_value,return_pct,num_days,num_trades,max_drawdown_pct,sharpe_like,excess_return_vs_bh,selection_score,min_bull_probability,min_probability_margin,max_allocation,neutral_behavior
balanced,10222.42,2.22,1166,13,1.28,0.571,-165.69,-16.1516,0.55,0.0,0.375,hold
balanced,10222.42,2.22,1166,13,1.28,0.571,-165.69,-16.1516,0.55,0.05,0.375,hold
balanced,10222.42,2.22,1166,13,1.28,0.571,-165.69,-16.1516,0.55,0.1,0.375,hold
balanced,10286.93,2.87,1166,47,3.89,0.384,-165.04,-16.5868,0.45,0.0,0.5,hold
balanced,10286.93,2.87,1166,47,3.89,0.384,-165.04,-16.5868,0.45,0.05,0.5,hold
balanced,10286.93,2.87,1166,47,3.89,0.384,-165.04,-16.5868,0.45,0.1,0.5,hold
balanced,10158.22,1.58,1166,34,2.85,0.265,-166.33,-16.71,0.45,0.0,0.375,hold
balanced,10158.22,1.58,1166,34,2.85,0.265,-166.33,-16.71,0.45,0.05,0.375,hold
balanced,10158.22,1.58,1166,34,2.85,0.265,-166.33,-16.71,0.45,0.1,0.375,hold
balanced,9981.13,-0.19,1166,20,1.78,-0.044,-168.1,-17.0676,0.55,0.0,0.5,hold
balanced,9981.13,-0.19,1166,20,1.78,-0.044,-168.1,-17.0676,0.55,0.05,0.5,hold
balanced,9981.13,-0.19,1166,20,1.78,-0.044,-168.1,-17.0676,0.55,0.1,0.5,hold
balanced,9911.11,-0.89,1166,12,1.14,-0.407,-168.8,-17.4238,0.55,0.0,0.375,cash
balanced,9911.11,-0.89,1166,12,1.14,-0.407,-168.8,-17.4238,0.55,0.05,0.375,cash
balanced,9911.11,-0.89,1166,12,1.14,-0.407,-168.8,-17.4238,0.55,0.1,0.375,cash
balanced,9834.92,-1.65,1166,20,1.74,-0.687,-169.56,-17.8518,0.55,0.0,0.5,cash
balanced,9834.92,-1.65,1166,20,1.74,-0.687,-169.56,-17.8518,0.55,0.05,0.5,cash
balanced,9834.92,-1.65,1166,20,1.74,-0.687,-169.56,-17.8518,0.55,0.1,0.5,cash
balanced,9756.97,-2.43,1166,57,2.83,-0.617,-170.34,-17.9906,0.45,0.0,0.5,cash
balanced,9756.97,-2.43,1166,57,2.83,-0.617,-170.34,-17.9906,0.45,0.05,0.5,cash
balanced,9756.97,-2.43,1166,57,2.83,-0.617,-170.34,-17.9906,0.45,0.1,0.5,cash
balanced,9987.54,-0.12,1166,2,1.41,-0.054,-168.03,-18.0262,0.65,0.0,0.375,hold
balanced,9987.54,-0.12,1166,2,1.41,-0.054,-168.03,-18.0262,0.65,0.05,0.375,hold
balanced,9987.54,-0.12,1166,2,1.41,-0.054,-168.03,-18.0262,0.65,0.1,0.375,hold
balanced,9751.45,-2.49,1166,37,2.72,-0.755,-170.4,-18.1214,0.45,0.0,0.375,cash
balanced,9751.45,-2.49,1166,37,2.72,-0.755,-170.4,-18.1214,0.45,0.05,0.375,cash
balanced,9751.45,-2.49,1166,37,2.72,-0.755,-170.4,-18.1214,0.45,0.1,0.375,cash
balanced,9884.75,-1.15,1166,3,2.59,-0.274,-169.06,-18.4908,0.65,0.0,0.5,hold
balanced,9884.75,-1.15,1166,3,2.59,-0.274,-169.06,-18.4908,0.65,0.05,0.5,hold
balanced,9884.75,-1.15,1166,3,2.59,-0.274,-169.06,-18.4908,0.65,0.1,0.5,hold
balanced,9976.87,-0.23,1166,2,0.23,-0.654,-168.14,-18.4956,0.65,0.0,0.375,cash
balanced,9976.87,-0.23,1166,2,0.23,-0.654,-168.14,-18.4956,0.65,0.05,0.375,cash
balanced,9976.87,-0.23,1166,2,0.23,-0.654,-168.14,-18.4956,0.65,0.1,0.375,cash
balanced,9869.81,-1.3,1166,3,1.32,-0.464,-169.21,-18.5434,0.65,0.0,0.5,cash
balanced,9869.81,-1.3,1166,3,1.32,-0.464,-169.21,-18.5434,0.65,0.05,0.5,cash
balanced,9869.81,-1.3,1166,3,1.32,-0.464,-169.21,-18.5434,0.65,0.1,0.5,cash
