feature,importance
atr_14,0.08114396736074989
spy_ma50_gap,0.07959543985000875
ma50_gap,0.07677843871596991
volatility_10,0.07421846856591005
ret_20,0.06469605696048729
relative_strength_20,0.058388318961141245
ret_10,0.05535706666765945
ma20_gap,0.0551337204962541
high_low_range,0.05220599247623909
rsi_14,0.05149870185217171
ret_5,0.05126802163280715
overnight_gap,0.04626884179325308
spy_return,0.045426050840639484
volume_change,0.04358636094454417
ret_3,0.042975930681885204
ma5_gap,0.04279310327866878
excess_return,0.04003627385975939
return,0.03862924506185133
