signal_date,trade_date,trade_price,market_close,predicted_signal,confidence,bullish_probability,trend_filter_passed,target_allocation,action,cash,shares,position_value,portfolio_value,explanation
2024-05-31,2024-06-03,332.46192399083304,323.1864929199219,BUY_AND_HOLD,1.0,1.0,True,1.0,BUY,11.176506766561943,30,9695.594787597656,9706.771294364218,Benchmark entered at next-day open with trading costs and then held.
2024-06-03,2024-06-04,320.6018242828515,319.4899597167969,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,11.176506766561943,30,9584.698791503906,9595.875298270468,Benchmark entered at next-day open with trading costs and then held.
2024-06-04,2024-06-05,321.3528366902039,321.3235778808594,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,11.176506766561943,30,9639.707336425781,9650.883843192343,Benchmark entered at next-day open with trading costs and then held.
2024-06-05,2024-06-06,322.07461666065893,320.1922302246094,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,11.176506766561943,30,9605.766906738281,9616.943413504843,Benchmark entered at next-day open with trading costs and then held.
2024-06-06,2024-06-07,318.15373761288754,320.8261413574219,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,11.176506766561943,30,9624.784240722656,9635.960747489218,Benchmark entered at next-day open with trading costs and then held.
2024-06-07,2024-06-10,320.60182018744297,321.4796142578125,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,11.176506766561943,30,9644.388427734375,9655.564934500937,Benchmark entered at next-day open with trading costs and then held.
2024-06-10,2024-06-11,319.6753011186122,319.23638916015625,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,11.176506766561943,30,9577.091674804688,9588.26818157125,Benchmark entered at next-day open with trading costs and then held.
2024-06-11,2024-06-12,324.9323564183154,320.62139892578125,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,11.176506766561943,30,9618.641967773438,9629.81847454,Benchmark entered at next-day open with trading costs and then held.
2024-06-12,2024-06-13,319.4217088872024,318.309814453125,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,11.176506766561943,30,9549.29443359375,9560.470940360312,Benchmark entered at next-day open with trading costs and then held.
2024-06-13,2024-06-14,313.46245272390047,313.54046630859375,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,11.176506766561943,30,9406.213989257812,9417.390496024374,Benchmark entered at next-day open with trading costs and then held.
2024-06-14,2024-06-17,313.5404871972322,314.4475402832031,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,11.176506766561943,30,9433.426208496094,9444.602715262656,Benchmark entered at next-day open with trading costs and then held.
2024-06-17,2024-06-18,315.0814609665257,317.11993408203125,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,11.176506766561943,30,9513.598022460938,9524.7745292275,Benchmark entered at next-day open with trading costs and then held.
2024-06-18,2024-06-20,317.041860677386,321.011474609375,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,11.176506766561943,30,9630.34423828125,9641.520745047812,Benchmark entered at next-day open with trading costs and then held.
2024-06-20,2024-06-21,322.37694510604666,319.7532958984375,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,11.176506766561943,30,9592.598876953125,9603.775383719687,Benchmark entered at next-day open with trading costs and then held.
2024-06-21,2024-06-24,321.23581867631185,321.86004638671875,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,11.176506766561943,30,9655.801391601562,9666.977898368124,Benchmark entered at next-day open with trading costs and then held.
2024-06-24,2024-06-25,319.91915715683734,319.3241882324219,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,11.176506766561943,30,9579.725646972656,9590.902153739218,Benchmark entered at next-day open with trading costs and then held.
2024-06-25,2024-06-26,318.2025445511512,318.67071533203125,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,11.176506766561943,30,9560.121459960938,9571.2979667275,Benchmark entered at next-day open with trading costs and then held.
2024-06-26,2024-06-27,317.9879403238738,319.3826599121094,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,11.176506766561943,30,9581.479797363281,9592.656304129843,Benchmark entered at next-day open with trading costs and then held.
2024-06-27,2024-06-28,320.4067684159961,324.883544921875,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,11.176506766561943,30,9746.50634765625,9757.682854422812,Benchmark entered at next-day open with trading costs and then held.
2024-06-28,2024-07-01,326.84399790563845,320.9627380371094,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,11.176506766561943,30,9628.882141113281,9640.058647879843,Benchmark entered at next-day open with trading costs and then held.
2024-07-01,2024-07-02,319.90939400598137,319.6753234863281,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,11.176506766561943,30,9590.259704589844,9601.436211356406,Benchmark entered at next-day open with trading costs and then held.
2024-07-02,2024-07-03,320.162946412307,322.4549560546875,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,11.176506766561943,30,9673.648681640625,9684.825188407187,Benchmark entered at next-day open with trading costs and then held.
2024-07-03,2024-07-05,323.39130720537116,320.250732421875,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,11.176506766561943,30,9607.52197265625,9618.698479422812,Benchmark entered at next-day open with trading costs and then held.
