trader,final_portfolio_value,return_pct,num_days,num_trades,max_drawdown_pct,sharpe_like,excess_return_vs_bh,selection_score,min_bull_probability,min_probability_margin,max_allocation,neutral_behavior
conservative,10138.35,1.38,1166,5,1.19,0.458,-166.53,-16.3378,0.55,0.0,0.25,hold
conservative,10138.35,1.38,1166,5,1.19,0.458,-166.53,-16.3378,0.55,0.05,0.25,hold
conservative,10138.35,1.38,1166,5,1.19,0.458,-166.53,-16.3378,0.55,0.1,0.25,hold
conservative,10043.73,0.44,1166,7,1.73,0.12,-167.47,-16.8346,0.45,0.0,0.1875,cash
conservative,10043.73,0.44,1166,7,1.73,0.12,-167.47,-16.8346,0.45,0.05,0.1875,cash
conservative,10043.73,0.44,1166,7,1.73,0.12,-167.47,-16.8346,0.45,0.1,0.1875,cash
conservative,9969.86,-0.3,1166,18,2.04,-0.056,-168.21,-17.1218,0.45,0.0,0.25,hold
conservative,9969.86,-0.3,1166,18,2.04,-0.056,-168.21,-17.1218,0.45,0.05,0.25,hold
conservative,9969.86,-0.3,1166,18,2.04,-0.056,-168.21,-17.1218,0.45,0.1,0.25,hold
conservative,9930.29,-0.7,1166,5,1.19,-0.317,-168.61,-17.3208,0.55,0.0,0.25,cash
conservative,9930.29,-0.7,1166,5,1.19,-0.317,-168.61,-17.3208,0.55,0.05,0.25,cash
conservative,9930.29,-0.7,1166,5,1.19,-0.317,-168.61,-17.3208,0.55,0.1,0.25,cash
conservative,9910.62,-0.89,1166,5,2.11,-0.248,-168.8,-17.3812,0.45,0.0,0.1875,hold
conservative,9910.62,-0.89,1166,5,2.11,-0.248,-168.8,-17.3812,0.45,0.05,0.1875,hold
conservative,9910.62,-0.89,1166,5,2.11,-0.248,-168.8,-17.3812,0.45,0.1,0.1875,hold
conservative,10103.2,1.03,1166,2,1.44,0.269,-166.88,-17.5918,0.55,0.0,0.1875,hold
conservative,10103.2,1.03,1166,2,1.44,0.269,-166.88,-17.5918,0.55,0.05,0.1875,hold
conservative,10103.2,1.03,1166,2,1.44,0.269,-166.88,-17.5918,0.55,0.1,0.1875,hold
conservative,10057.88,0.58,1166,2,1.44,0.159,-167.33,-17.7468,0.55,0.0,0.1875,cash
conservative,10057.88,0.58,1166,2,1.44,0.159,-167.33,-17.7468,0.55,0.05,0.1875,cash
conservative,10057.88,0.58,1166,2,1.44,0.159,-167.33,-17.7468,0.55,0.1,0.1875,cash
conservative,9846.63,-1.53,1166,23,1.78,-0.606,-169.44,-17.7636,0.45,0.0,0.25,cash
conservative,9846.63,-1.53,1166,23,1.78,-0.606,-169.44,-17.7636,0.45,0.05,0.25,cash
conservative,9846.63,-1.53,1166,23,1.78,-0.606,-169.44,-17.7636,0.45,0.1,0.25,cash
conservative,10000.0,0.0,1166,0,0.0,0.0,-167.91,-17.791,0.65,0.0,0.1875,hold
conservative,10000.0,0.0,1166,0,0.0,0.0,-167.91,-17.791,0.65,0.0,0.1875,cash
conservative,10000.0,0.0,1166,0,0.0,0.0,-167.91,-17.791,0.65,0.05,0.1875,hold
conservative,10000.0,0.0,1166,0,0.0,0.0,-167.91,-17.791,0.65,0.05,0.1875,cash
conservative,10000.0,0.0,1166,0,0.0,0.0,-167.91,-17.791,0.65,0.1,0.1875,hold
conservative,10000.0,0.0,1166,0,0.0,0.0,-167.91,-17.791,0.65,0.1,0.1875,cash
conservative,9992.52,-0.07,1166,2,0.85,-0.055,-167.98,-17.955,0.65,0.0,0.25,hold
conservative,9992.52,-0.07,1166,2,0.85,-0.055,-167.98,-17.955,0.65,0.05,0.25,hold
conservative,9992.52,-0.07,1166,2,0.85,-0.055,-167.98,-17.955,0.65,0.1,0.25,hold
conservative,9986.12,-0.14,1166,2,0.14,-0.654,-168.05,-18.4758,0.65,0.0,0.25,cash
conservative,9986.12,-0.14,1166,2,0.14,-0.654,-168.05,-18.4758,0.65,0.05,0.25,cash
conservative,9986.12,-0.14,1166,2,0.14,-0.654,-168.05,-18.4758,0.65,0.1,0.25,cash
