trader,final_portfolio_value,return_pct,num_days,num_trades,max_drawdown_pct,sharpe_like,excess_return_vs_bh,selection_score,min_bull_probability,min_probability_margin,max_allocation,neutral_behavior
aggressive,10290.29,2.9,1166,20,1.09,0.646,-203.32,-19.8168,0.65,0.0,0.8,hold
aggressive,10290.29,2.9,1166,20,1.09,0.646,-203.32,-19.8168,0.65,0.05,0.8,hold
aggressive,10290.29,2.9,1166,20,1.09,0.646,-203.32,-19.8168,0.65,0.1,0.8,hold
aggressive,10371.87,3.72,1166,87,2.82,0.461,-202.5,-20.1274,0.55,0.0,0.6,hold
aggressive,10371.87,3.72,1166,87,2.82,0.461,-202.5,-20.1274,0.55,0.05,0.6,hold
aggressive,10371.87,3.72,1166,87,2.82,0.461,-202.5,-20.1274,0.55,0.1,0.6,hold
aggressive,10492.01,4.92,1166,110,3.58,0.472,-201.3,-20.1876,0.55,0.0,0.8,hold
aggressive,10492.01,4.92,1166,110,3.58,0.472,-201.3,-20.1876,0.55,0.05,0.8,hold
aggressive,10492.01,4.92,1166,110,3.58,0.472,-201.3,-20.1876,0.55,0.1,0.8,hold
aggressive,10133.33,1.33,1166,18,1.31,0.325,-204.89,-20.3212,0.65,0.0,0.6,hold
aggressive,10133.33,1.33,1166,18,1.31,0.325,-204.89,-20.3212,0.65,0.05,0.6,hold
aggressive,10133.33,1.33,1166,18,1.31,0.325,-204.89,-20.3212,0.65,0.1,0.6,hold
aggressive,10060.94,0.61,1166,23,0.85,0.266,-205.61,-20.397,0.65,0.0,0.6,cash
aggressive,10060.94,0.61,1166,23,0.85,0.266,-205.61,-20.397,0.65,0.05,0.6,cash
aggressive,10060.94,0.61,1166,23,0.85,0.266,-205.61,-20.397,0.65,0.1,0.6,cash
aggressive,10080.57,0.81,1166,23,1.13,0.263,-205.41,-20.4136,0.65,0.0,0.8,cash
aggressive,10080.57,0.81,1166,23,1.13,0.263,-205.41,-20.4136,0.65,0.05,0.8,cash
aggressive,10080.57,0.81,1166,23,1.13,0.263,-205.41,-20.4136,0.65,0.1,0.8,cash
aggressive,10235.92,2.36,1166,131,2.96,0.363,-203.86,-20.6882,0.55,0.0,0.6,cash
aggressive,10235.92,2.36,1166,131,2.96,0.363,-203.86,-20.6882,0.55,0.05,0.6,cash
aggressive,10235.92,2.36,1166,131,2.96,0.363,-203.86,-20.6882,0.55,0.1,0.6,cash
aggressive,10279.88,2.8,1166,156,2.66,0.341,-203.42,-20.8802,0.55,0.0,0.8,cash
aggressive,10279.88,2.8,1166,156,2.66,0.341,-203.42,-20.8802,0.55,0.05,0.8,cash
aggressive,10279.88,2.8,1166,156,2.66,0.341,-203.42,-20.8802,0.55,0.1,0.8,cash
aggressive,10333.96,3.34,1166,240,5.35,0.255,-202.88,-22.075,0.45,0.0,0.6,hold
aggressive,10333.96,3.34,1166,240,5.35,0.255,-202.88,-22.075,0.45,0.05,0.6,hold
aggressive,10224.99,2.25,1166,227,5.38,0.174,-203.97,-22.1386,0.45,0.1,0.6,hold
aggressive,10127.93,1.28,1166,273,6.21,0.118,-204.94,-22.8512,0.45,0.0,0.6,cash
aggressive,10127.93,1.28,1166,273,6.21,0.118,-204.94,-22.8512,0.45,0.05,0.6,cash
aggressive,10120.97,1.21,1166,271,6.38,0.112,-205.01,-22.8646,0.45,0.1,0.6,cash
aggressive,10228.34,2.28,1166,271,7.96,0.145,-203.94,-22.9142,0.45,0.0,0.8,hold
aggressive,10228.34,2.28,1166,271,7.96,0.145,-203.94,-22.9142,0.45,0.05,0.8,hold
aggressive,9999.18,-0.01,1166,262,8.21,0.019,-206.23,-23.2092,0.45,0.1,0.8,hold
aggressive,9999.49,-0.01,1166,302,8.84,0.017,-206.23,-23.6868,0.45,0.1,0.8,cash
aggressive,9974.55,-0.25,1166,302,8.91,0.002,-206.47,-23.7342,0.45,0.0,0.8,cash
aggressive,9974.55,-0.25,1166,302,8.91,0.002,-206.47,-23.7342,0.45,0.05,0.8,cash
