trader,final_portfolio_value,return_pct,num_days,num_trades,max_drawdown_pct,sharpe_like,excess_return_vs_bh,selection_score,min_bull_probability,min_probability_margin,max_allocation,neutral_behavior
balanced,10396.37,3.96,1166,9,1.91,0.814,-202.26,-19.6412,0.65,0.0,0.375,hold
balanced,10396.37,3.96,1166,9,1.91,0.814,-202.26,-19.6412,0.65,0.05,0.375,hold
balanced,10396.37,3.96,1166,9,1.91,0.814,-202.26,-19.6412,0.65,0.1,0.375,hold
balanced,10246.53,2.47,1166,15,1.56,0.605,-203.75,-19.9572,0.65,0.0,0.5,hold
balanced,10246.53,2.47,1166,15,1.56,0.605,-203.75,-19.9572,0.65,0.05,0.5,hold
balanced,10246.53,2.47,1166,15,1.56,0.605,-203.75,-19.9572,0.65,0.1,0.5,hold
balanced,10165.6,1.66,1166,54,0.9,0.566,-204.56,-19.998,0.55,0.0,0.375,cash
balanced,10165.6,1.66,1166,54,0.9,0.566,-204.56,-19.998,0.55,0.05,0.375,cash
balanced,10165.6,1.66,1166,54,0.9,0.566,-204.56,-19.998,0.55,0.1,0.375,cash
balanced,10288.21,2.88,1166,42,2.44,0.625,-203.34,-20.0018,0.55,0.0,0.375,hold
balanced,10288.21,2.88,1166,42,2.44,0.625,-203.34,-20.0018,0.55,0.05,0.375,hold
balanced,10288.21,2.88,1166,42,2.44,0.625,-203.34,-20.0018,0.55,0.1,0.375,hold
balanced,10209.76,2.1,1166,72,2.38,0.467,-204.12,-20.2306,0.55,0.0,0.5,cash
balanced,10209.76,2.1,1166,72,2.38,0.467,-204.12,-20.2306,0.55,0.05,0.5,cash
balanced,10209.76,2.1,1166,72,2.38,0.467,-204.12,-20.2306,0.55,0.1,0.5,cash
balanced,10045.29,0.45,1166,13,0.54,0.326,-205.77,-20.3158,0.65,0.0,0.375,cash
balanced,10045.29,0.45,1166,13,0.54,0.326,-205.77,-20.3158,0.65,0.05,0.375,cash
balanced,10045.29,0.45,1166,13,0.54,0.326,-205.77,-20.3158,0.65,0.1,0.375,cash
balanced,10042.63,0.43,1166,16,0.83,0.226,-205.79,-20.4526,0.65,0.0,0.5,cash
balanced,10042.63,0.43,1166,16,0.83,0.226,-205.79,-20.4526,0.65,0.05,0.5,cash
balanced,10042.63,0.43,1166,16,0.83,0.226,-205.79,-20.4526,0.65,0.1,0.5,cash
balanced,10157.6,1.58,1166,54,4.02,0.294,-204.64,-20.6524,0.55,0.0,0.5,hold
balanced,10157.6,1.58,1166,54,4.02,0.294,-204.64,-20.6524,0.55,0.05,0.5,hold
balanced,10157.6,1.58,1166,54,4.02,0.294,-204.64,-20.6524,0.55,0.1,0.5,hold
balanced,10045.85,0.46,1166,96,4.26,0.085,-205.76,-21.0022,0.45,0.1,0.375,hold
balanced,10031.53,0.32,1166,98,4.26,0.06,-205.9,-21.0412,0.45,0.0,0.375,hold
balanced,10031.53,0.32,1166,98,4.26,0.06,-205.9,-21.0412,0.45,0.05,0.375,hold
balanced,10115.8,1.16,1166,117,5.26,0.154,-205.06,-21.1532,0.45,0.1,0.5,hold
balanced,10117.31,1.17,1166,120,5.26,0.156,-205.05,-21.1802,0.45,0.0,0.5,hold
balanced,10117.31,1.17,1166,120,5.26,0.156,-205.05,-21.1802,0.45,0.05,0.5,hold
balanced,9931.73,-0.68,1166,120,4.33,-0.128,-206.9,-21.5376,0.45,0.0,0.375,cash
balanced,9931.73,-0.68,1166,120,4.33,-0.128,-206.9,-21.5376,0.45,0.05,0.375,cash
balanced,9929.67,-0.7,1166,121,4.34,-0.132,-206.92,-21.5548,0.45,0.1,0.375,cash
balanced,9954.47,-0.46,1166,151,4.06,-0.075,-206.68,-21.7402,0.45,0.0,0.5,cash
balanced,9954.47,-0.46,1166,151,4.06,-0.075,-206.68,-21.7402,0.45,0.05,0.5,cash
balanced,9951.23,-0.49,1166,152,4.06,-0.081,-206.71,-21.7592,0.45,0.1,0.5,cash
