signal_date,trade_date,trade_price,market_close,predicted_signal,confidence,bullish_probability,trend_filter_passed,target_allocation,action,cash,shares,position_value,portfolio_value,explanation
2024-05-31,2024-06-03,171.12564767729586,171.75048828125,BUY_AND_HOLD,1.0,1.0,True,1.0,BUY,59.819540725133265,58,9961.5283203125,10021.347861037633,Benchmark entered at next-day open with trading costs and then held.
2024-06-03,2024-06-04,171.85957302701576,172.36538696289062,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,59.819540725133265,58,9997.192443847656,10057.01198457279,Benchmark entered at next-day open with trading costs and then held.
2024-06-04,2024-06-05,173.7638369582265,173.9721221923828,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,59.819540725133265,58,10090.383087158203,10150.202627883336,Benchmark entered at next-day open with trading costs and then held.
2024-06-05,2024-06-06,174.45808249066545,175.28128051757812,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,59.819540725133265,58,10166.314270019531,10226.133810744665,Benchmark entered at next-day open with trading costs and then held.
2024-06-06,2024-06-07,175.59868809544102,173.02992248535156,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,59.819540725133265,58,10035.73550415039,10095.555044875524,Benchmark entered at next-day open with trading costs and then held.
2024-06-07,2024-06-10,173.7349014501534,173.7746124267578,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,59.819540725133265,58,10078.927520751953,10138.747061477086,Benchmark entered at next-day open with trading costs and then held.
2024-06-10,2024-06-11,174.9760900997619,175.37326049804688,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,59.819540725133265,58,10171.649108886719,10231.468649611852,Benchmark entered at next-day open with trading costs and then held.
2024-06-11,2024-06-12,176.99171737123814,176.5349578857422,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,59.819540725133265,58,10239.027557373047,10298.84709809818,Benchmark entered at next-day open with trading costs and then held.
2024-06-12,2024-06-13,174.8668444097431,173.92355346679688,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,59.819540725133265,58,10087.566101074219,10147.385641799352,Benchmark entered at next-day open with trading costs and then held.
2024-06-13,2024-06-14,172.99018739624864,175.5420379638672,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,59.819540725133265,58,10181.438201904297,10241.25774262943,Benchmark entered at next-day open with trading costs and then held.
2024-06-14,2024-06-17,174.2214424940307,175.98887634277344,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,59.819540725133265,58,10207.35482788086,10267.174368605993,Benchmark entered at next-day open with trading costs and then held.
2024-06-17,2024-06-18,175.88955104751682,173.85401916503906,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,59.819540725133265,58,10083.533111572266,10143.352652297399,Benchmark entered at next-day open with trading costs and then held.
2024-06-18,2024-06-20,174.13209876912956,175.0555419921875,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,59.819540725133265,58,10153.221435546875,10213.040976272008,Benchmark entered at next-day open with trading costs and then held.
2024-06-20,2024-06-21,175.75057482727152,178.3620147705078,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,59.819540725133265,58,10344.996856689453,10404.816397414586,Benchmark entered at next-day open with trading costs and then held.
2024-06-21,2024-06-24,178.88823134690676,177.95486450195312,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,59.819540725133265,58,10321.382141113281,10381.201681838415,Benchmark entered at next-day open with trading costs and then held.
2024-06-24,2024-06-25,178.35208296162077,182.73095703125,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,59.819540725133265,58,10598.3955078125,10658.215048537633,Benchmark entered at next-day open with trading costs and then held.
2024-06-25,2024-06-26,181.34083960482536,182.58201599121094,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,59.819540725133265,58,10589.756927490234,10649.576468215368,Benchmark entered at next-day open with trading costs and then held.
2024-06-26,2024-06-27,182.87988309562385,184.10121154785156,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,59.819540725133265,58,10677.87026977539,10737.689810500524,Benchmark entered at next-day open with trading costs and then held.
2024-06-27,2024-06-28,183.01890751714419,180.8642120361328,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,59.819540725133265,58,10490.124298095703,10549.943838820836,Benchmark entered at next-day open with trading costs and then held.
2024-06-28,2024-07-01,181.73801420146654,181.69830322265625,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,59.819540725133265,58,10538.501586914062,10598.321127639196,Benchmark entered at next-day open with trading costs and then held.
2024-07-01,2024-07-02,180.7649192250836,183.93240356445312,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,59.819540725133265,58,10668.079406738281,10727.898947463415,Benchmark entered at next-day open with trading costs and then held.
2024-07-02,2024-07-03,183.545146815405,184.50830078125,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,59.819540725133265,58,10701.4814453125,10761.300986037633,Benchmark entered at next-day open with trading costs and then held.
2024-07-03,2024-07-05,184.54803142014995,189.25457763671875,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,59.819540725133265,58,10976.765502929688,11036.58504365482,Benchmark entered at next-day open with trading costs and then held.
2024-07-05,2024-07-08,188.55948674203475,187.6956329345703,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,59.819540725133265,58,10886.346710205078,10946.166250930211,Benchmark entered at next-day open with trading costs and then held.
2024-07-08,2024-07-09,188.96660951335545,187.64599609375,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,59.819540725133265,58,10883.4677734375,10943.287314162633,Benchmark entered at next-day open with trading costs and then held.
2024-07-09,2024-07-10,187.81477541116223,189.8304443359375,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,59.819540725133265,58,11010.165771484375,11069.985312209508,Benchmark entered at next-day open with trading costs and then held.
