trader,final_portfolio_value,return_pct,num_days,num_trades,max_drawdown_pct,sharpe_like,excess_return_vs_bh,selection_score,min_bull_probability,min_probability_margin,max_allocation,neutral_behavior
conservative,10270.03,2.7,1166,6,1.29,0.82,-203.52,-19.6868,0.65,0.0,0.25,hold
conservative,10270.03,2.7,1166,6,1.29,0.82,-203.52,-19.6868,0.65,0.05,0.25,hold
conservative,10270.03,2.7,1166,6,1.29,0.82,-203.52,-19.6868,0.65,0.1,0.25,hold
conservative,10147.37,1.47,1166,6,0.65,0.85,-204.75,-19.703,0.65,0.0,0.1875,hold
conservative,10147.37,1.47,1166,6,0.65,0.85,-204.75,-19.703,0.65,0.05,0.1875,hold
conservative,10147.37,1.47,1166,6,0.65,0.85,-204.75,-19.703,0.65,0.1,0.1875,hold
conservative,10142.77,1.43,1166,31,0.37,0.706,-204.79,-19.8174,0.55,0.0,0.25,cash
conservative,10142.77,1.43,1166,31,0.37,0.706,-204.79,-19.8174,0.55,0.05,0.25,cash
conservative,10142.77,1.43,1166,31,0.37,0.706,-204.79,-19.8174,0.55,0.1,0.25,cash
conservative,10085.42,0.85,1166,10,0.83,0.515,-205.37,-20.1216,0.55,0.0,0.1875,hold
conservative,10085.42,0.85,1166,10,0.83,0.515,-205.37,-20.1216,0.55,0.05,0.1875,hold
conservative,10085.42,0.85,1166,10,0.83,0.515,-205.37,-20.1216,0.55,0.1,0.1875,hold
conservative,10071.21,0.71,1166,13,0.83,0.412,-205.51,-20.2386,0.55,0.0,0.1875,cash
conservative,10071.21,0.71,1166,13,0.83,0.412,-205.51,-20.2386,0.55,0.05,0.1875,cash
conservative,10071.21,0.71,1166,13,0.83,0.412,-205.51,-20.2386,0.55,0.1,0.1875,cash
conservative,10144.42,1.44,1166,59,1.96,0.375,-204.78,-20.3382,0.45,0.1,0.25,hold
conservative,10137.4,1.37,1166,59,1.96,0.357,-204.85,-20.3632,0.45,0.0,0.25,hold
conservative,10137.4,1.37,1166,59,1.96,0.357,-204.85,-20.3632,0.45,0.05,0.25,hold
conservative,10019.49,0.19,1166,6,0.2,0.248,-206.03,-20.379,0.65,0.0,0.1875,cash
conservative,10019.49,0.19,1166,6,0.2,0.248,-206.03,-20.379,0.65,0.05,0.1875,cash
conservative,10019.49,0.19,1166,6,0.2,0.248,-206.03,-20.379,0.65,0.1,0.1875,cash
conservative,10124.72,1.25,1166,42,2.1,0.332,-204.97,-20.417,0.45,0.1,0.1875,cash
conservative,10123.85,1.24,1166,42,2.1,0.33,-204.98,-20.42,0.45,0.0,0.1875,cash
conservative,10123.85,1.24,1166,42,2.1,0.33,-204.98,-20.42,0.45,0.05,0.1875,cash
conservative,10102.64,1.03,1166,9,2.16,0.247,-205.19,-20.5312,0.65,0.0,0.25,cash
conservative,10102.64,1.03,1166,9,2.16,0.247,-205.19,-20.5312,0.65,0.05,0.25,cash
conservative,10102.64,1.03,1166,9,2.16,0.247,-205.19,-20.5312,0.65,0.1,0.25,cash
conservative,10057.08,0.57,1166,22,3.29,0.136,-205.65,-20.8238,0.55,0.0,0.25,hold
conservative,10057.08,0.57,1166,22,3.29,0.136,-205.65,-20.8238,0.55,0.05,0.25,hold
conservative,10057.08,0.57,1166,22,3.29,0.136,-205.65,-20.8238,0.55,0.1,0.25,hold
conservative,10049.8,0.5,1166,33,3.25,0.12,-205.72,-20.842,0.45,0.0,0.1875,hold
conservative,10049.8,0.5,1166,33,3.25,0.12,-205.72,-20.842,0.45,0.05,0.1875,hold
conservative,10046.31,0.46,1166,31,3.25,0.112,-205.76,-20.854,0.45,0.1,0.1875,hold
conservative,10006.34,0.06,1166,74,2.3,0.023,-206.16,-20.869,0.45,0.0,0.25,cash
conservative,10006.34,0.06,1166,74,2.3,0.023,-206.16,-20.869,0.45,0.05,0.25,cash
conservative,10006.34,0.06,1166,74,2.3,0.023,-206.16,-20.869,0.45,0.1,0.25,cash
