trader,final_portfolio_value,return_pct,num_days,num_trades,max_drawdown_pct,sharpe_like,excess_return_vs_bh,selection_score,min_bull_probability,min_probability_margin,max_allocation,neutral_behavior
aggressive,12016.85,20.17,1166,116,7.9,0.769,-17.04,-2.043,0.45,0.05,0.8,hold
aggressive,11654.53,16.55,1166,113,5.95,0.833,-20.66,-2.077,0.45,0.05,0.6,hold
aggressive,11437.18,14.37,1166,119,6.98,0.743,-22.84,-2.5686,0.45,0.0,0.6,hold
aggressive,11730.07,17.3,1166,124,9.21,0.68,-19.91,-2.6562,0.45,0.0,0.8,hold
aggressive,11450.26,14.5,1166,104,9.03,0.484,-22.71,-2.9106,0.45,0.1,0.8,hold
aggressive,11119.45,11.19,1166,100,6.79,0.5,-26.02,-2.9168,0.45,0.1,0.6,hold
aggressive,11274.93,12.75,1166,73,8.69,0.557,-24.46,-2.9318,0.65,0.0,0.8,hold
aggressive,11274.93,12.75,1166,73,8.69,0.557,-24.46,-2.9318,0.65,0.05,0.8,hold
aggressive,11274.93,12.75,1166,73,8.69,0.557,-24.46,-2.9318,0.65,0.1,0.8,hold
aggressive,10979.87,9.8,1166,68,6.37,0.57,-27.41,-2.9354,0.65,0.0,0.6,hold
aggressive,10979.87,9.8,1166,68,6.37,0.57,-27.41,-2.9354,0.65,0.05,0.6,hold
aggressive,10979.87,9.8,1166,68,6.37,0.57,-27.41,-2.9354,0.65,0.1,0.6,hold
aggressive,11141.57,11.42,1166,94,8.74,0.459,-25.79,-3.1688,0.55,0.0,0.8,hold
aggressive,11141.57,11.42,1166,94,8.74,0.459,-25.79,-3.1688,0.55,0.05,0.8,hold
aggressive,11141.57,11.42,1166,94,8.74,0.459,-25.79,-3.1688,0.55,0.1,0.8,hold
aggressive,10873.74,8.74,1166,87,6.62,0.467,-28.47,-3.1744,0.55,0.0,0.6,hold
aggressive,10873.74,8.74,1166,87,6.62,0.467,-28.47,-3.1744,0.55,0.05,0.6,hold
aggressive,10873.74,8.74,1166,87,6.62,0.467,-28.47,-3.1744,0.55,0.1,0.6,hold
aggressive,9849.31,-1.51,1166,86,5.13,-0.18,-38.72,-4.6676,0.65,0.0,0.6,cash
aggressive,9849.31,-1.51,1166,86,5.13,-0.18,-38.72,-4.6676,0.65,0.05,0.6,cash
aggressive,9849.31,-1.51,1166,86,5.13,-0.18,-38.72,-4.6676,0.65,0.1,0.6,cash
aggressive,9840.44,-1.6,1166,121,5.38,-0.172,-38.81,-4.9086,0.55,0.0,0.6,cash
aggressive,9840.44,-1.6,1166,121,5.38,-0.172,-38.81,-4.9086,0.55,0.05,0.6,cash
aggressive,9840.44,-1.6,1166,121,5.38,-0.172,-38.81,-4.9086,0.55,0.1,0.6,cash
aggressive,9792.88,-2.07,1166,94,6.9,-0.181,-39.28,-4.937,0.65,0.0,0.8,cash
aggressive,9792.88,-2.07,1166,94,6.9,-0.181,-39.28,-4.937,0.65,0.05,0.8,cash
aggressive,9792.88,-2.07,1166,94,6.9,-0.181,-39.28,-4.937,0.65,0.1,0.8,cash
aggressive,9981.96,-0.18,1166,169,5.09,-0.015,-37.39,-5.0548,0.45,0.0,0.6,cash
aggressive,9869.71,-1.3,1166,146,5.43,-0.125,-38.51,-5.0876,0.45,0.1,0.6,cash
aggressive,9935.07,-0.65,1166,161,5.49,-0.063,-37.86,-5.1178,0.45,0.05,0.6,cash
aggressive,9809.22,-1.91,1166,128,7.05,-0.151,-39.12,-5.189,0.55,0.0,0.8,cash
aggressive,9809.22,-1.91,1166,128,7.05,-0.151,-39.12,-5.189,0.55,0.05,0.8,cash
aggressive,9809.22,-1.91,1166,128,7.05,-0.151,-39.12,-5.189,0.55,0.1,0.8,cash
aggressive,9815.6,-1.84,1166,148,7.2,-0.13,-39.05,-5.379,0.45,0.1,0.8,cash
aggressive,9841.29,-1.59,1166,162,7.25,-0.117,-38.8,-5.487,0.45,0.05,0.8,cash
aggressive,9868.07,-1.32,1166,171,7.08,-0.096,-38.53,-5.5086,0.45,0.0,0.8,cash
