trader,final_portfolio_value,return_pct,num_days,num_trades,max_drawdown_pct,sharpe_like,excess_return_vs_bh,selection_score,min_bull_probability,min_probability_margin,max_allocation,neutral_behavior
balanced,10187.53,1.88,1166,33,0.56,0.617,-35.33,-2.9832,0.45,0.1,0.5,hold
balanced,10128.99,1.29,1166,30,0.38,0.602,-35.92,-3.0356,0.45,0.1,0.375,hold
balanced,10176.11,1.76,1166,37,0.56,0.56,-35.45,-3.0522,0.45,0.0,0.5,hold
balanced,10168.23,1.68,1166,35,0.56,0.558,-35.53,-3.0622,0.45,0.05,0.5,hold
balanced,10109.88,1.1,1166,33,0.43,0.519,-36.11,-3.1436,0.45,0.0,0.375,hold
balanced,10109.88,1.1,1166,33,0.43,0.519,-36.11,-3.1436,0.45,0.05,0.375,hold
balanced,10082.02,0.82,1166,25,0.44,0.46,-36.39,-3.2318,0.55,0.0,0.375,hold
balanced,10082.02,0.82,1166,25,0.44,0.46,-36.39,-3.2318,0.55,0.05,0.375,hold
balanced,10082.02,0.82,1166,25,0.44,0.46,-36.39,-3.2318,0.55,0.1,0.375,hold
balanced,10103.86,1.04,1166,25,0.62,0.426,-36.17,-3.2654,0.55,0.0,0.5,hold
balanced,10103.86,1.04,1166,25,0.62,0.426,-36.17,-3.2654,0.55,0.05,0.5,hold
balanced,10103.86,1.04,1166,25,0.62,0.426,-36.17,-3.2654,0.55,0.1,0.5,hold
balanced,10015.91,0.16,1166,46,1.13,0.078,-37.05,-3.7626,0.45,0.0,0.5,cash
balanced,10010.94,0.11,1166,21,1.03,0.043,-37.1,-3.7906,0.65,0.0,0.5,hold
balanced,10010.94,0.11,1166,21,1.03,0.043,-37.1,-3.7906,0.65,0.05,0.5,hold
balanced,10010.94,0.11,1166,21,1.03,0.043,-37.1,-3.7906,0.65,0.1,0.5,hold
balanced,10008.03,0.08,1166,44,1.13,0.044,-37.13,-3.8046,0.45,0.05,0.5,cash
balanced,10002.35,0.02,1166,43,0.87,0.018,-37.19,-3.8054,0.45,0.0,0.375,cash
balanced,10002.35,0.02,1166,43,0.87,0.018,-37.19,-3.8054,0.45,0.05,0.375,cash
balanced,9996.69,-0.03,1166,30,0.54,-0.03,-37.24,-3.8188,0.55,0.0,0.375,cash
balanced,9996.69,-0.03,1166,30,0.54,-0.03,-37.24,-3.8188,0.55,0.05,0.375,cash
balanced,9996.69,-0.03,1166,30,0.54,-0.03,-37.24,-3.8188,0.55,0.1,0.375,cash
balanced,9994.48,-0.06,1166,25,0.42,-0.057,-37.27,-3.8344,0.65,0.0,0.5,cash
balanced,9994.48,-0.06,1166,25,0.42,-0.057,-37.27,-3.8344,0.65,0.05,0.5,cash
balanced,9994.48,-0.06,1166,25,0.42,-0.057,-37.27,-3.8344,0.65,0.1,0.5,cash
balanced,9998.49,-0.02,1166,43,0.87,-0.009,-37.23,-3.8364,0.45,0.1,0.375,cash
balanced,10001.59,0.02,1166,44,1.13,0.01,-37.19,-3.8446,0.45,0.1,0.5,cash
balanced,9991.64,-0.08,1166,23,0.78,-0.053,-37.29,-3.8756,0.65,0.0,0.375,cash
balanced,9991.64,-0.08,1166,23,0.78,-0.053,-37.29,-3.8756,0.65,0.05,0.375,cash
balanced,9991.64,-0.08,1166,23,0.78,-0.053,-37.29,-3.8756,0.65,0.1,0.375,cash
balanced,9994.61,-0.05,1166,19,1.18,-0.019,-37.26,-3.8866,0.65,0.0,0.375,hold
balanced,9994.61,-0.05,1166,19,1.18,-0.019,-37.26,-3.8866,0.65,0.05,0.375,hold
balanced,9994.61,-0.05,1166,19,1.18,-0.019,-37.26,-3.8866,0.65,0.1,0.375,hold
balanced,9986.62,-0.13,1166,32,1.19,-0.079,-37.34,-3.9558,0.55,0.0,0.5,cash
balanced,9986.62,-0.13,1166,32,1.19,-0.079,-37.34,-3.9558,0.55,0.05,0.5,cash
balanced,9986.62,-0.13,1166,32,1.19,-0.079,-37.34,-3.9558,0.55,0.1,0.5,cash
