trader,final_portfolio_value,return_pct,num_days,num_trades,max_drawdown_pct,sharpe_like,excess_return_vs_bh,selection_score,min_bull_probability,min_probability_margin,max_allocation,neutral_behavior
conservative,10070.86,0.71,1166,19,0.29,0.588,-36.5,-3.0968,0.55,0.0,0.25,hold
conservative,10070.86,0.71,1166,19,0.29,0.588,-36.5,-3.0968,0.55,0.05,0.25,hold
conservative,10070.86,0.71,1166,19,0.29,0.588,-36.5,-3.0968,0.55,0.1,0.25,hold
conservative,10075.65,0.76,1166,24,0.76,0.425,-36.45,-3.3112,0.45,0.1,0.25,hold
conservative,10018.79,0.19,1166,18,0.11,0.362,-37.02,-3.3532,0.65,0.0,0.25,cash
conservative,10018.79,0.19,1166,18,0.11,0.362,-37.02,-3.3532,0.65,0.05,0.25,cash
conservative,10018.79,0.19,1166,18,0.11,0.362,-37.02,-3.3532,0.65,0.1,0.25,cash
conservative,10067.28,0.67,1166,26,0.76,0.379,-36.54,-3.3662,0.45,0.0,0.25,hold
conservative,10067.28,0.67,1166,26,0.76,0.379,-36.54,-3.3662,0.45,0.05,0.25,hold
conservative,10063.53,0.64,1166,20,0.68,0.352,-36.57,-3.3866,0.45,0.1,0.1875,hold
conservative,10056.77,0.57,1166,22,0.68,0.316,-36.64,-3.4296,0.45,0.0,0.1875,hold
conservative,10056.77,0.57,1166,22,0.68,0.316,-36.64,-3.4296,0.45,0.05,0.1875,hold
conservative,10015.38,0.15,1166,26,0.41,0.191,-37.06,-3.5642,0.55,0.0,0.25,cash
conservative,10015.38,0.15,1166,26,0.41,0.191,-37.06,-3.5642,0.55,0.05,0.25,cash
conservative,10015.38,0.15,1166,26,0.41,0.191,-37.06,-3.5642,0.55,0.1,0.25,cash
conservative,10000.93,0.01,1166,16,0.09,0.028,-37.2,-3.7028,0.65,0.0,0.1875,cash
conservative,10000.93,0.01,1166,16,0.09,0.028,-37.2,-3.7028,0.65,0.05,0.1875,cash
conservative,10000.93,0.01,1166,16,0.09,0.028,-37.2,-3.7028,0.65,0.1,0.1875,cash
conservative,10001.95,0.02,1166,14,0.52,0.015,-37.19,-3.7664,0.65,0.0,0.25,hold
conservative,10001.95,0.02,1166,14,0.52,0.015,-37.19,-3.7664,0.65,0.05,0.25,hold
conservative,10001.95,0.02,1166,14,0.52,0.015,-37.19,-3.7664,0.65,0.1,0.25,hold
conservative,9999.57,-0.0,1166,22,0.75,-0.002,-37.21,-3.813,0.55,0.0,0.1875,cash
conservative,9999.57,-0.0,1166,22,0.75,-0.002,-37.21,-3.813,0.55,0.05,0.1875,cash
conservative,9999.57,-0.0,1166,22,0.75,-0.002,-37.21,-3.813,0.55,0.1,0.1875,cash
conservative,10000.15,0.0,1166,15,0.83,0.003,-37.21,-3.8176,0.55,0.0,0.1875,hold
conservative,10000.15,0.0,1166,15,0.83,0.003,-37.21,-3.8176,0.55,0.05,0.1875,hold
conservative,10000.15,0.0,1166,15,0.83,0.003,-37.21,-3.8176,0.55,0.1,0.1875,hold
conservative,9984.51,-0.15,1166,14,0.36,-0.168,-37.36,-3.9472,0.65,0.0,0.1875,hold
conservative,9984.51,-0.15,1166,14,0.36,-0.168,-37.36,-3.9472,0.65,0.05,0.1875,hold
conservative,9984.51,-0.15,1166,14,0.36,-0.168,-37.36,-3.9472,0.65,0.1,0.1875,hold
conservative,9974.35,-0.26,1166,33,0.81,-0.189,-37.47,-4.0332,0.45,0.0,0.25,cash
conservative,9974.35,-0.26,1166,33,0.81,-0.189,-37.47,-4.0332,0.45,0.05,0.25,cash
conservative,9971.77,-0.28,1166,33,0.84,-0.207,-37.49,-4.0568,0.45,0.1,0.25,cash
conservative,9965.37,-0.35,1166,30,0.82,-0.247,-37.56,-4.1014,0.45,0.0,0.1875,cash
conservative,9965.37,-0.35,1166,30,0.82,-0.247,-37.56,-4.1014,0.45,0.05,0.1875,cash
conservative,9964.08,-0.36,1166,30,0.83,-0.256,-37.57,-4.1126,0.45,0.1,0.1875,cash
