trader,final_portfolio_value,return_pct,num_days,num_trades,max_drawdown_pct,sharpe_like,excess_return_vs_bh,selection_score,min_bull_probability,min_probability_margin,max_allocation,neutral_behavior
aggressive,11132.39,11.32,1166,107,9.73,0.343,-93.32,-10.2266,0.65,0.0,0.8,hold
aggressive,11132.39,11.32,1166,107,9.73,0.343,-93.32,-10.2266,0.65,0.05,0.8,hold
aggressive,11132.39,11.32,1166,107,9.73,0.343,-93.32,-10.2266,0.65,0.1,0.8,hold
aggressive,10755.48,7.55,1166,97,7.55,0.306,-97.09,-10.309,0.65,0.0,0.6,hold
aggressive,10755.48,7.55,1166,97,7.55,0.306,-97.09,-10.309,0.65,0.05,0.6,hold
aggressive,10755.48,7.55,1166,97,7.55,0.306,-97.09,-10.309,0.65,0.1,0.6,hold
aggressive,9829.87,-1.7,1166,114,6.05,-0.153,-106.34,-11.653,0.65,0.0,0.6,cash
aggressive,9829.87,-1.7,1166,114,6.05,-0.153,-106.34,-11.653,0.65,0.05,0.6,cash
aggressive,9829.87,-1.7,1166,114,6.05,-0.153,-106.34,-11.653,0.65,0.1,0.6,cash
aggressive,10128.38,1.28,1166,151,10.0,0.083,-103.36,-11.963,0.55,0.0,0.6,hold
aggressive,10128.38,1.28,1166,151,10.0,0.083,-103.36,-11.963,0.55,0.05,0.6,hold
aggressive,10128.38,1.28,1166,151,10.0,0.083,-103.36,-11.963,0.55,0.1,0.6,hold
aggressive,9822.54,-1.77,1166,130,7.99,-0.112,-106.41,-12.0118,0.65,0.0,0.8,cash
aggressive,9822.54,-1.77,1166,130,7.99,-0.112,-106.41,-12.0118,0.65,0.05,0.8,cash
aggressive,9822.54,-1.77,1166,130,7.99,-0.112,-106.41,-12.0118,0.65,0.1,0.8,cash
aggressive,10272.05,2.72,1166,168,13.49,0.123,-101.92,-12.3678,0.55,0.0,0.8,hold
aggressive,10272.05,2.72,1166,168,13.49,0.123,-101.92,-12.3678,0.55,0.05,0.8,hold
aggressive,10272.05,2.72,1166,168,13.49,0.123,-101.92,-12.3678,0.55,0.1,0.8,hold
aggressive,9917.52,-0.82,1166,186,13.12,-0.002,-105.46,-12.9824,0.45,0.1,0.6,hold
aggressive,9553.48,-4.47,1166,191,9.86,-0.31,-109.11,-13.3142,0.55,0.0,0.6,cash
aggressive,9553.48,-4.47,1166,191,9.86,-0.31,-109.11,-13.3142,0.55,0.05,0.6,cash
aggressive,9553.48,-4.47,1166,191,9.86,-0.31,-109.11,-13.3142,0.55,0.1,0.6,cash
aggressive,10031.72,0.32,1166,198,17.5,0.048,-104.32,-13.464,0.45,0.1,0.8,hold
aggressive,9659.44,-3.41,1166,243,10.0,-0.183,-108.05,-13.618,0.45,0.0,0.6,cash
aggressive,9530.53,-4.69,1166,203,11.84,-0.236,-109.33,-13.6198,0.55,0.0,0.8,cash
aggressive,9530.53,-4.69,1166,203,11.84,-0.236,-109.33,-13.6198,0.55,0.05,0.8,cash
aggressive,9530.53,-4.69,1166,203,11.84,-0.236,-109.33,-13.6198,0.55,0.1,0.8,cash
aggressive,9651.23,-3.49,1166,244,10.08,-0.188,-108.13,-13.6506,0.45,0.05,0.6,cash
aggressive,9635.25,-3.65,1166,244,10.19,-0.197,-108.29,-13.6888,0.45,0.1,0.6,cash
aggressive,9438.73,-5.61,1166,187,14.49,-0.197,-110.25,-13.8308,0.45,0.05,0.6,hold
aggressive,9407.57,-5.92,1166,187,14.79,-0.21,-110.56,-13.9108,0.45,0.0,0.6,hold
aggressive,9552.21,-4.48,1166,255,13.25,-0.174,-109.12,-14.226,0.45,0.05,0.8,cash
aggressive,9521.87,-4.78,1166,251,13.4,-0.188,-109.42,-14.248,0.45,0.1,0.8,cash
aggressive,9530.75,-4.69,1166,256,13.37,-0.185,-109.33,-14.2824,0.45,0.0,0.8,cash
aggressive,9329.34,-6.71,1166,203,18.48,-0.164,-111.35,-14.5466,0.45,0.05,0.8,hold
aggressive,9292.77,-7.07,1166,202,18.75,-0.176,-111.71,-14.617,0.45,0.0,0.8,hold
