trader,final_portfolio_value,return_pct,num_days,num_trades,max_drawdown_pct,sharpe_like,excess_return_vs_bh,selection_score,min_bull_probability,min_probability_margin,max_allocation,neutral_behavior
balanced,10068.0,0.68,1166,28,0.88,0.319,-103.96,-10.1826,0.55,0.0,0.375,cash
balanced,10068.0,0.68,1166,28,0.88,0.319,-103.96,-10.1826,0.55,0.05,0.375,cash
balanced,10068.0,0.68,1166,28,0.88,0.319,-103.96,-10.1826,0.55,0.1,0.375,cash
balanced,10033.82,0.34,1166,49,1.06,0.121,-104.3,-10.4362,0.45,0.0,0.375,cash
balanced,10033.82,0.34,1166,49,1.06,0.121,-104.3,-10.4362,0.45,0.05,0.375,cash
balanced,10033.82,0.34,1166,49,1.06,0.121,-104.3,-10.4362,0.45,0.1,0.375,cash
balanced,9995.73,-0.04,1166,53,1.44,-0.007,-104.68,-10.6478,0.45,0.0,0.5,cash
balanced,9995.73,-0.04,1166,53,1.44,-0.007,-104.68,-10.6478,0.45,0.05,0.5,cash
balanced,9995.73,-0.04,1166,53,1.44,-0.007,-104.68,-10.6478,0.45,0.1,0.5,cash
balanced,9985.59,-0.14,1166,32,1.6,-0.049,-104.78,-10.719,0.55,0.0,0.5,cash
balanced,9985.59,-0.14,1166,32,1.6,-0.049,-104.78,-10.719,0.55,0.05,0.5,cash
balanced,9985.59,-0.14,1166,32,1.6,-0.049,-104.78,-10.719,0.55,0.1,0.5,cash
balanced,9965.71,-0.34,1166,14,0.87,-0.26,-104.98,-10.8624,0.65,0.0,0.375,cash
balanced,9965.71,-0.34,1166,14,0.87,-0.26,-104.98,-10.8624,0.65,0.05,0.375,cash
balanced,9965.71,-0.34,1166,14,0.87,-0.26,-104.98,-10.8624,0.65,0.1,0.375,cash
balanced,9952.57,-0.47,1166,14,1.16,-0.264,-105.11,-10.9142,0.65,0.0,0.5,cash
balanced,9952.57,-0.47,1166,14,1.16,-0.264,-105.11,-10.9142,0.65,0.05,0.5,cash
balanced,9952.57,-0.47,1166,14,1.16,-0.264,-105.11,-10.9142,0.65,0.1,0.5,cash
balanced,9933.05,-0.67,1166,23,3.54,-0.099,-105.31,-11.0548,0.55,0.0,0.375,hold
balanced,9933.05,-0.67,1166,23,3.54,-0.099,-105.31,-11.0548,0.55,0.05,0.375,hold
balanced,9933.05,-0.67,1166,23,3.54,-0.099,-105.31,-11.0548,0.55,0.1,0.375,hold
balanced,9928.22,-0.72,1166,13,3.41,-0.11,-105.36,-11.0552,0.65,0.0,0.375,hold
balanced,9928.22,-0.72,1166,13,3.41,-0.11,-105.36,-11.0552,0.65,0.05,0.375,hold
balanced,9928.22,-0.72,1166,13,3.41,-0.11,-105.36,-11.0552,0.65,0.1,0.375,hold
balanced,9914.01,-0.86,1166,13,4.53,-0.095,-105.5,-11.1886,0.65,0.0,0.5,hold
balanced,9914.01,-0.86,1166,13,4.53,-0.095,-105.5,-11.1886,0.65,0.05,0.5,hold
balanced,9914.01,-0.86,1166,13,4.53,-0.095,-105.5,-11.1886,0.65,0.1,0.5,hold
balanced,9824.31,-1.76,1166,33,3.45,-0.222,-106.4,-11.276,0.45,0.0,0.375,hold
balanced,9824.31,-1.76,1166,33,3.45,-0.222,-106.4,-11.276,0.45,0.05,0.375,hold
balanced,9820.41,-1.8,1166,27,5.39,-0.201,-106.44,-11.4918,0.55,0.0,0.5,hold
balanced,9820.41,-1.8,1166,27,5.39,-0.201,-106.44,-11.4918,0.55,0.05,0.5,hold
balanced,9820.41,-1.8,1166,27,5.39,-0.201,-106.44,-11.4918,0.55,0.1,0.5,hold
balanced,9729.07,-2.71,1166,33,4.39,-0.344,-107.35,-11.6058,0.45,0.1,0.375,hold
balanced,9659.07,-3.41,1166,42,5.41,-0.324,-108.05,-11.7782,0.45,0.0,0.5,hold
balanced,9659.07,-3.41,1166,42,5.41,-0.324,-108.05,-11.7782,0.45,0.05,0.5,hold
balanced,9503.44,-4.97,1166,42,6.94,-0.47,-109.61,-12.2638,0.45,0.1,0.5,hold
