signal_date,trade_date,trade_price,market_close,predicted_signal,confidence,bullish_probability,trend_filter_passed,target_allocation,action,cash,shares,position_value,portfolio_value,explanation
2024-05-31,2024-06-03,194.94499171240668,194.47283935546875,BUY_AND_HOLD,1.0,1.0,True,1.0,BUY,42.88715970397425,51,9918.114807128906,9961.00196683288,Benchmark entered at next-day open with trading costs and then held.
2024-06-03,2024-06-04,192.8732633917263,191.90966796875,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,42.88715970397425,51,9787.39306640625,9830.280226110224,Benchmark entered at next-day open with trading costs and then held.
2024-06-04,2024-06-05,192.48781544983936,190.07882690429688,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,42.88715970397425,51,9694.02017211914,9736.907331823115,Benchmark entered at next-day open with trading costs and then held.
2024-06-05,2024-06-06,190.0788267225114,189.7415771484375,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,42.88715970397425,51,9676.820434570312,9719.707594274287,Benchmark entered at next-day open with trading costs and then held.
2024-06-06,2024-06-07,190.24263389810582,192.6708984375,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,42.88715970397425,51,9826.2158203125,9869.102980016474,Benchmark entered at next-day open with trading costs and then held.
2024-06-07,2024-06-10,191.98676661770378,192.34329223632812,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,42.88715970397425,51,9809.507904052734,9852.395063756709,Benchmark entered at next-day open with trading costs and then held.
2024-06-10,2024-06-11,190.70517529026583,187.28440856933594,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,42.88715970397425,51,9551.504837036133,9594.391996740107,Benchmark entered at next-day open with trading costs and then held.
2024-06-11,2024-06-12,188.8647068899173,184.55743408203125,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,42.88715970397425,51,9412.429138183594,9455.316297887568,Benchmark entered at next-day open with trading costs and then held.
2024-06-12,2024-06-13,185.31869460949812,186.6099090576172,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,42.88715970397425,51,9517.105361938477,9559.99252164245,Benchmark entered at next-day open with trading costs and then held.
2024-06-13,2024-06-14,184.48033066680375,186.7255096435547,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,42.88715970397425,51,9523.000991821289,9565.888151525263,Benchmark entered at next-day open with trading costs and then held.
2024-06-14,2024-06-17,186.43642762714947,187.88182067871094,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,42.88715970397425,51,9581.972854614258,9624.860014318232,Benchmark entered at next-day open with trading costs and then held.
2024-06-17,2024-06-18,187.5156697796133,189.8282928466797,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,42.88715970397425,51,9681.242935180664,9724.130094884638,Benchmark entered at next-day open with trading costs and then held.
2024-06-18,2024-06-20,189.24050362241672,191.4375,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,42.88715970397425,51,9763.3125,9806.199659703974,Benchmark entered at next-day open with trading costs and then held.
2024-06-20,2024-06-21,189.54887100568703,189.15379333496094,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,42.88715970397425,51,9646.843460083008,9689.730619786982,Benchmark entered at next-day open with trading costs and then held.
2024-06-21,2024-06-24,190.60879272565364,191.6398468017578,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,42.88715970397425,51,9773.632186889648,9816.519346593623,Benchmark entered at next-day open with trading costs and then held.
2024-06-24,2024-06-25,190.87860580369815,190.85934448242188,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,42.88715970397425,51,9733.826568603516,9776.71372830749,Benchmark entered at next-day open with trading costs and then held.
2024-06-25,2024-06-26,190.26192128986204,190.24264526367188,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,42.88715970397425,51,9702.374908447266,9745.26206815124,Benchmark entered at next-day open with trading costs and then held.
2024-06-26,2024-06-27,190.25229544661778,191.9193115234375,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,42.88715970397425,51,9787.884887695312,9830.772047399287,Benchmark entered at next-day open with trading costs and then held.
2024-06-27,2024-06-28,192.72871510952479,194.8968048095703,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,42.88715970397425,51,9939.737045288086,9982.62420499206,Benchmark entered at next-day open with trading costs and then held.
2024-06-28,2024-07-01,195.455703082382,197.97068786621094,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,42.88715970397425,51,10096.505081176758,10139.392240880732,Benchmark entered at next-day open with trading costs and then held.
2024-07-01,2024-07-02,197.81649464048778,201.22763061523438,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,42.88715970397425,51,10262.609161376953,10305.496321080927,Benchmark entered at next-day open with trading costs and then held.
2024-07-02,2024-07-03,201.92143562022005,201.09274291992188,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,42.88715970397425,51,10255.729888916016,10298.61704861999,Benchmark entered at next-day open with trading costs and then held.
2024-07-03,2024-07-05,200.55983012100543,198.42816162109375,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,42.88715970397425,51,10119.836242675781,10162.723402379755,Benchmark entered at next-day open with trading costs and then held.
2024-07-05,2024-07-08,198.6703899428391,198.79635620117188,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,42.88715970397425,51,10138.614166259766,10181.50132596374,Benchmark entered at next-day open with trading costs and then held.
2024-07-08,2024-07-09,199.2420772065153,201.17994689941406,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,42.88715970397425,51,10260.177291870117,10303.064451574091,Benchmark entered at next-day open with trading costs and then held.
2024-07-09,2024-07-10,199.73621498518906,201.3446502685547,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,42.88715970397425,51,10268.577163696289,10311.464323400263,Benchmark entered at next-day open with trading costs and then held.
2024-07-10,2024-07-11,199.8040388100942,201.00550842285156,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,42.88715970397425,51,10251.28092956543,10294.168089269404,Benchmark entered at next-day open with trading costs and then held.
2024-07-11,2024-07-12,197.6626853145437,198.573486328125,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,42.88715970397425,51,10127.247802734375,10170.13496243835,Benchmark entered at next-day open with trading costs and then held.
2024-07-12,2024-07-15,200.75359574459293,203.52474975585938,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,42.88715970397425,51,10379.762237548828,10422.649397252802,Benchmark entered at next-day open with trading costs and then held.
2024-07-15,2024-07-16,203.47633180474006,206.98387145996094,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,42.88715970397425,51,10556.177444458008,10599.064604161982,Benchmark entered at next-day open with trading costs and then held.
2024-07-16,2024-07-17,207.15826659720184,210.1328887939453,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,42.88715970397425,51,10716.777328491211,10759.664488195185,Benchmark entered at next-day open with trading costs and then held.
2024-07-17,2024-07-18,208.93143057917348,203.45693969726562,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,42.88715970397425,51,10376.303924560547,10419.191084264521,Benchmark entered at next-day open with trading costs and then held.
2024-07-18,2024-07-19,204.63903879865143,203.26315307617188,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,42.88715970397425,51,10366.420806884766,10409.30796658874,Benchmark entered at next-day open with trading costs and then held.
2024-07-19,2024-07-22,203.92200504675955,203.74758911132812,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,42.88715970397425,51,10391.127044677734,10434.014204381709,Benchmark entered at next-day open with trading costs and then held.
2024-07-22,2024-07-23,204.46463368807304,203.7960662841797,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,42.88715970397425,51,10393.599380493164,10436.486540197138,Benchmark entered at next-day open with trading costs and then held.
2024-07-23,2024-07-24,203.04029133995283,202.110107421875,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,42.88715970397425,51,10307.615478515625,10350.5026382196,Benchmark entered at next-day open with trading costs and then held.
2024-07-24,2024-07-25,202.16823923465998,202.1876220703125,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,42.88715970397425,51,10311.568725585938,10354.455885289912,Benchmark entered at next-day open with trading costs and then held.
2024-07-25,2024-07-26,202.73990905497504,205.64671325683594,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,42.88715970397425,51,10487.982376098633,10530.869535802607,Benchmark entered at next-day open with trading costs and then held.
2024-07-26,2024-07-29,206.0439977259107,204.2999267578125,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,42.88715970397425,51,10419.296264648438,10462.183424352412,Benchmark entered at next-day open with trading costs and then held.
2024-07-29,2024-07-30,206.60597759056023,208.50509643554688,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,42.88715970397425,51,10633.75991821289,10676.647077916865,Benchmark entered at next-day open with trading costs and then held.
2024-07-30,2024-07-31,208.10780244291595,206.18931579589844,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,42.88715970397425,51,10515.65510559082,10558.542265294795,Benchmark entered at next-day open with trading costs and then held.
2024-07-31,2024-08-01,206.57691954144522,201.4997100830078,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,42.88715970397425,51,10276.485214233398,10319.372373937373,Benchmark entered at next-day open with trading costs and then held.
2024-08-01,2024-08-02,197.54641494122876,192.9536590576172,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,42.88715970397425,51,9840.636611938477,9883.52377164245,Benchmark entered at next-day open with trading costs and then held.
2024-08-02,2024-08-05,188.0217818061266,188.84536743164062,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,42.88715970397425,51,9631.113739013672,9674.000898717646,Benchmark entered at next-day open with trading costs and then held.
2024-08-05,2024-08-06,189.3298537713401,194.11639404296875,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,42.88715970397425,51,9899.936096191406,9942.82325589538,Benchmark entered at next-day open with trading costs and then held.
2024-08-06,2024-08-07,197.1879333756755,194.17454528808594,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,42.88715970397425,51,9902.901809692383,9945.788969396357,Benchmark entered at next-day open with trading costs and then held.
2024-08-07,2024-08-08,196.18023761176147,197.72084045410156,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,42.88715970397425,51,10083.76286315918,10126.650022863154,Benchmark entered at next-day open with trading costs and then held.
2024-08-08,2024-08-09,197.14917929384904,199.40679931640625,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,42.88715970397425,51,10169.746765136719,10212.633924840693,Benchmark entered at next-day open with trading costs and then held.
2024-08-09,2024-08-12,199.99785008173868,199.78468322753906,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,42.88715970397425,51,10189.018844604492,10231.906004308466,Benchmark entered at next-day open with trading costs and then held.
2024-08-12,2024-08-13,201.2768180938325,201.4803009033203,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,42.88715970397425,51,10275.495346069336,10318.38250577331,Benchmark entered at next-day open with trading costs and then held.
2024-08-13,2024-08-14,201.28651017228518,203.70884704589844,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,42.88715970397425,51,10389.15119934082,10432.038359044795,Benchmark entered at next-day open with trading costs and then held.
2024-08-14,2024-08-15,206.38313257200716,204.97817993164062,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,42.88715970397425,51,10453.887176513672,10496.774336217646,Benchmark entered at next-day open with trading costs and then held.
2024-08-15,2024-08-16,205.11381260076865,207.32298278808594,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,42.88715970397425,51,10573.472122192383,10616.359281896357,Benchmark entered at next-day open with trading costs and then held.
2024-08-16,2024-08-19,207.35205125366764,208.7570037841797,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,42.88715970397425,51,10646.607192993164,10689.494352697138,Benchmark entered at next-day open with trading costs and then held.
2024-08-19,2024-08-20,208.32099585006753,207.8559112548828,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,42.88715970397425,51,10600.651473999023,10643.538633702998,Benchmark entered at next-day open with trading costs and then held.
2024-08-20,2024-08-21,207.7686787205856,207.93341064453125,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,42.88715970397425,51,10604.603942871094,10647.491102575068,Benchmark entered at next-day open with trading costs and then held.
2024-08-21,2024-08-22,207.91402560473358,209.9003448486328,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,42.88715970397425,51,10704.917587280273,10747.804746984248,Benchmark entered at next-day open with trading costs and then held.
2024-08-22,2024-08-23,210.8402170417045,211.5281524658203,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,42.88715970397425,51,10787.935775756836,10830.82293546081,Benchmark entered at next-day open with trading costs and then held.
