trader,final_portfolio_value,return_pct,num_days,num_trades,max_drawdown_pct,sharpe_like,excess_return_vs_bh,selection_score,min_bull_probability,min_probability_margin,max_allocation,neutral_behavior
conservative,10253.85,2.54,1166,27,0.66,0.843,-102.1,-9.4462,0.45,0.0,0.1875,cash
conservative,10253.85,2.54,1166,27,0.66,0.843,-102.1,-9.4462,0.45,0.05,0.1875,cash
conservative,10253.85,2.54,1166,27,0.66,0.843,-102.1,-9.4462,0.45,0.1,0.1875,cash
conservative,10111.95,1.12,1166,35,1.05,0.391,-103.52,-10.087,0.45,0.0,0.25,cash
conservative,10111.95,1.12,1166,35,1.05,0.391,-103.52,-10.087,0.45,0.05,0.25,cash
conservative,10111.95,1.12,1166,35,1.05,0.391,-103.52,-10.087,0.45,0.1,0.25,cash
conservative,10098.88,0.99,1166,30,1.87,0.192,-103.65,-10.3974,0.45,0.0,0.25,hold
conservative,10098.88,0.99,1166,30,1.87,0.192,-103.65,-10.3974,0.45,0.05,0.25,hold
conservative,10109.09,1.09,1166,19,2.53,0.189,-103.55,-10.4696,0.45,0.0,0.1875,hold
conservative,10109.09,1.09,1166,19,2.53,0.189,-103.55,-10.4696,0.45,0.05,0.1875,hold
conservative,10013.42,0.13,1166,14,1.58,0.037,-104.51,-10.6036,0.55,0.0,0.25,hold
conservative,10013.42,0.13,1166,14,1.58,0.037,-104.51,-10.6036,0.55,0.05,0.25,hold
conservative,10013.42,0.13,1166,14,1.58,0.037,-104.51,-10.6036,0.55,0.1,0.25,hold
conservative,9992.62,-0.07,1166,14,0.47,-0.077,-104.71,-10.6044,0.55,0.0,0.1875,cash
conservative,9992.62,-0.07,1166,14,0.47,-0.077,-104.71,-10.6044,0.55,0.05,0.1875,cash
conservative,9992.62,-0.07,1166,14,0.47,-0.077,-104.71,-10.6044,0.55,0.1,0.1875,cash
conservative,10041.78,0.42,1166,30,2.42,0.084,-104.22,-10.6284,0.45,0.1,0.25,hold
conservative,9991.23,-0.09,1166,13,0.43,-0.105,-104.73,-10.6296,0.65,0.0,0.25,cash
conservative,9991.23,-0.09,1166,13,0.43,-0.105,-104.73,-10.6296,0.65,0.05,0.25,cash
conservative,9991.23,-0.09,1166,13,0.43,-0.105,-104.73,-10.6296,0.65,0.1,0.25,cash
conservative,10056.25,0.56,1166,19,3.05,0.1,-104.08,-10.674,0.45,0.1,0.1875,hold
conservative,9965.48,-0.35,1166,18,1.21,-0.179,-104.99,-10.8232,0.55,0.0,0.25,cash
conservative,9965.48,-0.35,1166,18,1.21,-0.179,-104.99,-10.8232,0.55,0.05,0.25,cash
conservative,9965.48,-0.35,1166,18,1.21,-0.179,-104.99,-10.8232,0.55,0.1,0.25,cash
conservative,9960.47,-0.4,1166,11,1.83,-0.121,-105.04,-10.8446,0.55,0.0,0.1875,hold
conservative,9960.47,-0.4,1166,11,1.83,-0.121,-105.04,-10.8446,0.55,0.05,0.1875,hold
conservative,9960.47,-0.4,1166,11,1.83,-0.121,-105.04,-10.8446,0.55,0.1,0.1875,hold
conservative,9944.59,-0.55,1166,6,1.54,-0.19,-105.19,-10.8938,0.65,0.0,0.1875,hold
conservative,9944.59,-0.55,1166,6,1.54,-0.19,-105.19,-10.8938,0.65,0.05,0.1875,hold
conservative,9944.59,-0.55,1166,6,1.54,-0.19,-105.19,-10.8938,0.65,0.1,0.1875,hold
conservative,9922.63,-0.77,1166,11,2.16,-0.19,-105.41,-10.9902,0.65,0.0,0.25,hold
conservative,9922.63,-0.77,1166,11,2.16,-0.19,-105.41,-10.9902,0.65,0.05,0.25,hold
conservative,9922.63,-0.77,1166,11,2.16,-0.19,-105.41,-10.9902,0.65,0.1,0.25,hold
conservative,9956.11,-0.44,1166,8,0.57,-0.769,-105.08,-11.3454,0.65,0.0,0.1875,cash
conservative,9956.11,-0.44,1166,8,0.57,-0.769,-105.08,-11.3454,0.65,0.05,0.1875,cash
conservative,9956.11,-0.44,1166,8,0.57,-0.769,-105.08,-11.3454,0.65,0.1,0.1875,cash
