signal_date,trade_date,trade_price,market_close,predicted_signal,confidence,bullish_probability,trend_filter_passed,target_allocation,action,cash,shares,position_value,portfolio_value,explanation
2024-05-31,2024-06-03,468.08978738058096,474.6807861328125,BULLISH_SIGNAL,0.37161685293375263,0.37161685293375263,True,0.0,HOLD,10000.0,0,0.0,10000.0,"Aggressive trader saw BULLISH_SIGNAL with bullish_probability=0.37, confidence=0.37, probability_margin=0.01, trend_filter_passed=True, rule=neutral_hold, target_allocation=0.00%."
2024-06-03,2024-06-04,474.1936972137186,474.1837463378906,NEUTRAL_SIGNAL,0.3757700636431559,0.3346152371183304,True,0.0,HOLD,10000.0,0,0.0,10000.0,"Aggressive trader saw NEUTRAL_SIGNAL with bullish_probability=0.33, confidence=0.38, probability_margin=0.04, trend_filter_passed=True, rule=neutral_hold, target_allocation=0.00%."
2024-06-04,2024-06-05,481.59986638058245,492.1474304199219,NEUTRAL_SIGNAL,0.3942522748311567,0.30534026913006956,True,0.0,HOLD,10000.0,0,0.0,10000.0,"Aggressive trader saw NEUTRAL_SIGNAL with bullish_probability=0.31, confidence=0.39, probability_margin=0.09, trend_filter_passed=True, rule=neutral_hold, target_allocation=0.00%."
2024-06-05,2024-06-06,490.07975361628957,490.85516357421875,NEUTRAL_SIGNAL,0.39972567117987906,0.24170581003286967,True,0.0,HOLD,10000.0,0,0.0,10000.0,"Aggressive trader saw NEUTRAL_SIGNAL with bullish_probability=0.24, confidence=0.40, probability_margin=0.04, trend_filter_passed=True, rule=neutral_hold, target_allocation=0.00%."
2024-06-06,2024-06-07,492.99247117957646,490.059814453125,NEUTRAL_SIGNAL,0.4198569615888564,0.2593206922589311,True,0.0,HOLD,10000.0,0,0.0,10000.0,"Aggressive trader saw NEUTRAL_SIGNAL with bullish_probability=0.26, confidence=0.42, probability_margin=0.10, trend_filter_passed=True, rule=neutral_hold, target_allocation=0.00%."
2024-06-07,2024-06-10,490.9544956849635,499.6430969238281,NEUTRAL_SIGNAL,0.4611044207468456,0.2357173807197625,True,0.0,HOLD,10000.0,0,0.0,10000.0,"Aggressive trader saw NEUTRAL_SIGNAL with bullish_probability=0.24, confidence=0.46, probability_margin=0.16, trend_filter_passed=True, rule=neutral_hold, target_allocation=0.00%."
2024-06-10,2024-06-11,497.2174749867736,504.4844665527344,NEUTRAL_SIGNAL,0.4552365242365561,0.22231616662264014,True,0.0,HOLD,10000.0,0,0.0,10000.0,"Aggressive trader saw NEUTRAL_SIGNAL with bullish_probability=0.22, confidence=0.46, probability_margin=0.13, trend_filter_passed=True, rule=neutral_hold, target_allocation=0.00%."
2024-06-11,2024-06-12,510.9660698187759,505.84637451171875,NEUTRAL_SIGNAL,0.47876720034382564,0.2277751276541551,True,0.0,HOLD,10000.0,0,0.0,10000.0,"Aggressive trader saw NEUTRAL_SIGNAL with bullish_probability=0.23, confidence=0.48, probability_margin=0.19, trend_filter_passed=True, rule=neutral_hold, target_allocation=0.00%."
2024-06-12,2024-06-13,502.7347908052071,501.13427734375,NEUTRAL_SIGNAL,0.4675108958517418,0.26918688851661904,True,0.0,HOLD,10000.0,0,0.0,10000.0,"Aggressive trader saw NEUTRAL_SIGNAL with bullish_probability=0.27, confidence=0.47, probability_margin=0.20, trend_filter_passed=True, rule=neutral_hold, target_allocation=0.00%."
2024-06-13,2024-06-14,500.1889118858626,501.6915283203125,NEUTRAL_SIGNAL,0.49855889038369827,0.2134949354309421,True,0.0,HOLD,10000.0,0,0.0,10000.0,"Aggressive trader saw NEUTRAL_SIGNAL with bullish_probability=0.21, confidence=0.50, probability_margin=0.21, trend_filter_passed=True, rule=neutral_hold, target_allocation=0.00%."
2024-06-14,2024-06-17,499.2137382202111,504.1494445800781,NEUTRAL_SIGNAL,0.5064893374261853,0.2177866684181396,True,0.0,HOLD,10000.0,0,0.0,10000.0,"Aggressive trader saw NEUTRAL_SIGNAL with bullish_probability=0.22, confidence=0.51, probability_margin=0.23, trend_filter_passed=True, rule=neutral_hold, target_allocation=0.00%."
2024-06-17,2024-06-18,502.08955596287245,497.04437255859375,NEUTRAL_SIGNAL,0.4725478428613429,0.24257713508725717,True,0.0,HOLD,10000.0,0,0.0,10000.0,"Aggressive trader saw NEUTRAL_SIGNAL with bullish_probability=0.24, confidence=0.47, probability_margin=0.19, trend_filter_passed=True, rule=neutral_hold, target_allocation=0.00%."
2024-06-18,2024-06-20,499.54214083877173,499.2436218261719,NEUTRAL_SIGNAL,0.44084521777197816,0.2741937632989995,True,0.0,HOLD,10000.0,0,0.0,10000.0,"Aggressive trader saw NEUTRAL_SIGNAL with bullish_probability=0.27, confidence=0.44, probability_margin=0.16, trend_filter_passed=True, rule=neutral_hold, target_allocation=0.00%."
2024-06-20,2024-06-21,500.9850156207208,492.3574523925781,NEUTRAL_SIGNAL,0.4732570380043543,0.28852118095983353,True,0.0,HOLD,10000.0,0,0.0,10000.0,"Aggressive trader saw NEUTRAL_SIGNAL with bullish_probability=0.29, confidence=0.47, probability_margin=0.18, trend_filter_passed=True, rule=neutral_hold, target_allocation=0.00%."
2024-06-21,2024-06-24,496.7558127166559,496.46722412109375,NEUTRAL_SIGNAL,0.37137142376663357,0.32364300498349885,True,0.0,HOLD,10000.0,0,0.0,10000.0,"Aggressive trader saw NEUTRAL_SIGNAL with bullish_probability=0.32, confidence=0.37, probability_margin=0.05, trend_filter_passed=True, rule=neutral_hold, target_allocation=0.00%."
2024-06-24,2024-06-25,494.61636110697793,508.10003662109375,NEUTRAL_SIGNAL,0.4250912855111693,0.3318804557861129,True,0.0,HOLD,10000.0,0,0.0,10000.0,"Aggressive trader saw NEUTRAL_SIGNAL with bullish_probability=0.33, confidence=0.43, probability_margin=0.09, trend_filter_passed=True, rule=neutral_hold, target_allocation=0.00%."
2024-06-25,2024-06-26,504.16931296840505,510.6076354980469,NEUTRAL_SIGNAL,0.445633509698068,0.27132785399215853,True,0.0,HOLD,10000.0,0,0.0,10000.0,"Aggressive trader saw NEUTRAL_SIGNAL with bullish_probability=0.27, confidence=0.45, probability_margin=0.16, trend_filter_passed=True, rule=neutral_hold, target_allocation=0.00%."
2024-06-26,2024-06-27,511.7320542707282,517.0160522460938,NEUTRAL_SIGNAL,0.4657553512592188,0.27033938165468946,True,0.0,HOLD,10000.0,0,0.0,10000.0,"Aggressive trader saw NEUTRAL_SIGNAL with bullish_probability=0.27, confidence=0.47, probability_margin=0.20, trend_filter_passed=True, rule=neutral_hold, target_allocation=0.00%."
2024-06-27,2024-06-28,514.6179354412975,501.751220703125,NEUTRAL_SIGNAL,0.4491871798230782,0.301054431251447,True,0.0,HOLD,10000.0,0,0.0,10000.0,"Aggressive trader saw NEUTRAL_SIGNAL with bullish_probability=0.30, confidence=0.45, probability_margin=0.15, trend_filter_passed=True, rule=neutral_hold, target_allocation=0.00%."
2024-06-28,2024-07-01,502.4776818397667,502.208984375,BULLISH_SIGNAL,0.39049839241478307,0.39049839241478307,True,0.0,HOLD,10000.0,0,0.0,10000.0,"Aggressive trader saw BULLISH_SIGNAL with bullish_probability=0.39, confidence=0.39, probability_margin=0.09, trend_filter_passed=True, rule=neutral_hold, target_allocation=0.00%."
2024-07-01,2024-07-02,498.30820385105653,507.0054016113281,NEUTRAL_SIGNAL,0.3715863458075324,0.3508853633045038,True,0.0,HOLD,10000.0,0,0.0,10000.0,"Aggressive trader saw NEUTRAL_SIGNAL with bullish_probability=0.35, confidence=0.37, probability_margin=0.02, trend_filter_passed=True, rule=neutral_hold, target_allocation=0.00%."
2024-07-02,2024-07-03,503.89071570148445,507.463134765625,NEUTRAL_SIGNAL,0.3799856112944758,0.3197117472258949,True,0.0,HOLD,10000.0,0,0.0,10000.0,"Aggressive trader saw NEUTRAL_SIGNAL with bullish_probability=0.32, confidence=0.38, probability_margin=0.06, trend_filter_passed=True, rule=neutral_hold, target_allocation=0.00%."
2024-07-03,2024-07-05,509.0950073312773,537.266357421875,NEUTRAL_SIGNAL,0.4145141816785062,0.31872557679892927,True,0.0,HOLD,10000.0,0,0.0,10000.0,"Aggressive trader saw NEUTRAL_SIGNAL with bullish_probability=0.32, confidence=0.41, probability_margin=0.10, trend_filter_passed=True, rule=neutral_hold, target_allocation=0.00%."
2024-07-05,2024-07-08,539.6945030030015,526.7283325195312,BEARISH_SIGNAL,0.4015230434969537,0.19792587206243997,True,0.0,HOLD,10000.0,0,0.0,10000.0,"Aggressive trader saw BEARISH_SIGNAL with bullish_probability=0.20, confidence=0.40, probability_margin=0.00, trend_filter_passed=True, rule=bearish_exit, target_allocation=0.00%."
2024-07-08,2024-07-09,531.1366686551077,527.405029296875,NEUTRAL_SIGNAL,0.3903823571567242,0.3162801547870455,True,0.0,HOLD,10000.0,0,0.0,10000.0,"Aggressive trader saw NEUTRAL_SIGNAL with bullish_probability=0.32, confidence=0.39, probability_margin=0.07, trend_filter_passed=True, rule=neutral_hold, target_allocation=0.00%."
2024-07-09,2024-07-10,528.1911531915238,532.0720825195312,NEUTRAL_SIGNAL,0.45845729777171607,0.27023998097367286,True,0.0,HOLD,10000.0,0,0.0,10000.0,"Aggressive trader saw NEUTRAL_SIGNAL with bullish_probability=0.27, confidence=0.46, probability_margin=0.19, trend_filter_passed=True, rule=neutral_hold, target_allocation=0.00%."
2024-07-10,2024-07-11,528.2906998418636,510.18975830078125,NEUTRAL_SIGNAL,0.4032923554155928,0.2549405139691142,True,0.0,HOLD,10000.0,0,0.0,10000.0,"Aggressive trader saw NEUTRAL_SIGNAL with bullish_probability=0.25, confidence=0.40, probability_margin=0.06, trend_filter_passed=True, rule=neutral_hold, target_allocation=0.00%."
2024-07-11,2024-07-12,495.3228785549261,496.42742919921875,BEARISH_SIGNAL,0.3721273484291349,0.29760470935093486,True,0.0,HOLD,10000.0,0,0.0,10000.0,"Aggressive trader saw BEARISH_SIGNAL with bullish_probability=0.30, confidence=0.37, probability_margin=0.04, trend_filter_passed=True, rule=bearish_exit, target_allocation=0.00%."
