trader,final_portfolio_value,return_pct,num_days,num_trades,max_drawdown_pct,sharpe_like,excess_return_vs_bh,selection_score,min_bull_probability,min_probability_margin,max_allocation,neutral_behavior
aggressive,14465.67,44.66,1166,47,14.3,0.622,-108.04,-11.898,0.65,0.0,0.8,hold
aggressive,14465.67,44.66,1166,47,14.3,0.622,-108.04,-11.898,0.65,0.05,0.8,hold
aggressive,14465.67,44.66,1166,47,14.3,0.622,-108.04,-11.898,0.65,0.1,0.8,hold
aggressive,13466.45,34.66,1166,46,11.83,0.615,-118.04,-12.6086,0.65,0.0,0.6,hold
aggressive,13466.45,34.66,1166,46,11.83,0.615,-118.04,-12.6086,0.65,0.05,0.6,hold
aggressive,13466.45,34.66,1166,46,11.83,0.615,-118.04,-12.6086,0.65,0.1,0.6,hold
aggressive,10096.81,0.97,1166,109,12.17,0.066,-151.73,-16.6574,0.45,0.1,0.6,hold
aggressive,9563.56,-4.36,1166,47,6.77,-0.167,-157.06,-16.6854,0.65,0.0,0.6,cash
aggressive,9563.56,-4.36,1166,47,6.77,-0.167,-157.06,-16.6854,0.65,0.05,0.6,cash
aggressive,9563.56,-4.36,1166,47,6.77,-0.167,-157.06,-16.6854,0.65,0.1,0.6,cash
aggressive,9916.93,-0.83,1166,106,12.02,0.015,-153.53,-16.8404,0.45,0.05,0.6,hold
aggressive,9900.67,-0.99,1166,109,12.17,0.01,-153.69,-16.9094,0.45,0.0,0.6,hold
aggressive,9412.53,-5.87,1166,51,9.06,-0.159,-158.57,-17.1032,0.65,0.0,0.8,cash
aggressive,9412.53,-5.87,1166,51,9.06,-0.159,-158.57,-17.1032,0.65,0.05,0.8,cash
aggressive,9412.53,-5.87,1166,51,9.06,-0.159,-158.57,-17.1032,0.65,0.1,0.8,cash
aggressive,10142.93,1.43,1166,128,16.65,0.082,-151.27,-17.323,0.45,0.1,0.8,hold
aggressive,9279.62,-7.2,1166,74,9.39,-0.244,-159.9,-17.3608,0.55,0.0,0.6,cash
aggressive,9279.62,-7.2,1166,74,9.39,-0.244,-159.9,-17.3608,0.55,0.05,0.6,cash
aggressive,9279.62,-7.2,1166,74,9.39,-0.244,-159.9,-17.3608,0.55,0.1,0.6,cash
aggressive,9492.43,-5.08,1166,69,11.96,-0.15,-157.78,-17.3632,0.55,0.0,0.6,hold
aggressive,9492.43,-5.08,1166,69,11.96,-0.15,-157.78,-17.3632,0.55,0.05,0.6,hold
aggressive,9492.43,-5.08,1166,69,11.96,-0.15,-157.78,-17.3632,0.55,0.1,0.6,hold
aggressive,10009.43,0.09,1166,128,16.26,0.053,-152.61,-17.4392,0.45,0.05,0.8,hold
aggressive,9923.83,-0.76,1166,129,16.96,0.035,-153.46,-17.6362,0.45,0.0,0.8,hold
aggressive,9314.86,-6.85,1166,132,9.86,-0.191,-159.55,-17.6492,0.45,0.0,0.6,cash
aggressive,9314.86,-6.85,1166,132,9.86,-0.191,-159.55,-17.6492,0.45,0.05,0.6,cash
aggressive,9314.86,-6.85,1166,132,9.86,-0.191,-159.55,-17.6492,0.45,0.1,0.6,cash
aggressive,9133.1,-8.67,1166,87,11.71,-0.21,-161.37,-17.7522,0.55,0.0,0.8,cash
aggressive,9133.1,-8.67,1166,87,11.71,-0.21,-161.37,-17.7522,0.55,0.05,0.8,cash
aggressive,9133.1,-8.67,1166,87,11.71,-0.21,-161.37,-17.7522,0.55,0.1,0.8,cash
aggressive,9402.71,-5.97,1166,78,14.74,-0.119,-158.67,-17.7548,0.55,0.0,0.8,hold
aggressive,9402.71,-5.97,1166,78,14.74,-0.119,-158.67,-17.7548,0.55,0.05,0.8,hold
aggressive,9402.71,-5.97,1166,78,14.74,-0.119,-158.67,-17.7548,0.55,0.1,0.8,hold
aggressive,9122.88,-8.77,1166,156,12.93,-0.175,-161.47,-18.4336,0.45,0.0,0.8,cash
aggressive,9122.88,-8.77,1166,156,12.93,-0.175,-161.47,-18.4336,0.45,0.05,0.8,cash
aggressive,9096.6,-9.03,1166,154,12.93,-0.182,-161.73,-18.4466,0.45,0.1,0.8,cash
