trader,final_portfolio_value,return_pct,num_days,num_trades,max_drawdown_pct,sharpe_like,excess_return_vs_bh,selection_score,min_bull_probability,min_probability_margin,max_allocation,neutral_behavior
balanced,10291.29,2.91,1166,7,0.43,1.002,-149.79,-14.0286,0.55,0.0,0.5,cash
balanced,10291.29,2.91,1166,7,0.43,1.002,-149.79,-14.0286,0.55,0.05,0.5,cash
balanced,10291.29,2.91,1166,7,0.43,1.002,-149.79,-14.0286,0.55,0.1,0.5,cash
balanced,10280.81,2.81,1166,6,1.02,0.823,-149.89,-14.2884,0.55,0.0,0.5,hold
balanced,10280.81,2.81,1166,6,1.02,0.823,-149.89,-14.2884,0.55,0.05,0.5,hold
balanced,10280.81,2.81,1166,6,1.02,0.823,-149.89,-14.2884,0.55,0.1,0.5,hold
balanced,10654.57,6.55,1166,17,3.74,0.45,-146.15,-14.6138,0.45,0.0,0.5,hold
balanced,10654.57,6.55,1166,17,3.74,0.45,-146.15,-14.6138,0.45,0.05,0.5,hold
balanced,10654.57,6.55,1166,17,3.74,0.45,-146.15,-14.6138,0.45,0.1,0.5,hold
balanced,10213.86,2.14,1166,13,1.97,0.308,-150.56,-14.9844,0.45,0.0,0.375,hold
balanced,10213.86,2.14,1166,13,1.97,0.308,-150.56,-14.9844,0.45,0.05,0.375,hold
balanced,10213.86,2.14,1166,13,1.97,0.308,-150.56,-14.9844,0.45,0.1,0.375,hold
balanced,9974.1,-0.26,1166,6,0.49,-0.211,-152.96,-15.5658,0.55,0.0,0.375,cash
balanced,9974.1,-0.26,1166,6,0.49,-0.211,-152.96,-15.5658,0.55,0.05,0.375,cash
balanced,9974.1,-0.26,1166,6,0.49,-0.211,-152.96,-15.5658,0.55,0.1,0.375,cash
balanced,9942.03,-0.58,1166,5,0.78,-0.265,-153.28,-15.6866,0.55,0.0,0.375,hold
balanced,9942.03,-0.58,1166,5,0.78,-0.265,-153.28,-15.6866,0.55,0.05,0.375,hold
balanced,9942.03,-0.58,1166,5,0.78,-0.265,-153.28,-15.6866,0.55,0.1,0.375,hold
balanced,9925.51,-0.74,1166,17,1.44,-0.222,-153.44,-15.7388,0.45,0.0,0.5,cash
balanced,9925.51,-0.74,1166,17,1.44,-0.222,-153.44,-15.7388,0.45,0.05,0.5,cash
balanced,9925.51,-0.74,1166,17,1.44,-0.222,-153.44,-15.7388,0.45,0.1,0.5,cash
balanced,9932.27,-0.68,1166,15,1.1,-0.272,-153.38,-15.742,0.45,0.0,0.375,cash
balanced,9932.27,-0.68,1166,15,1.1,-0.272,-153.38,-15.742,0.45,0.05,0.375,cash
balanced,9932.27,-0.68,1166,15,1.1,-0.272,-153.38,-15.742,0.45,0.1,0.375,cash
balanced,10152.33,1.52,1166,2,2.67,0.334,-151.18,-16.1044,0.65,0.0,0.375,hold
balanced,10152.33,1.52,1166,2,2.67,0.334,-151.18,-16.1044,0.65,0.05,0.375,hold
balanced,10152.33,1.52,1166,2,2.67,0.334,-151.18,-16.1044,0.65,0.1,0.375,hold
balanced,10003.46,0.03,1166,2,0.07,0.131,-152.67,-16.1444,0.65,0.0,0.5,cash
balanced,10003.46,0.03,1166,2,0.07,0.131,-152.67,-16.1444,0.65,0.05,0.5,cash
balanced,10003.46,0.03,1166,2,0.07,0.131,-152.67,-16.1444,0.65,0.1,0.5,cash
balanced,10091.57,0.92,1166,2,2.67,0.208,-151.78,-16.2904,0.65,0.0,0.375,cash
balanced,10091.57,0.92,1166,2,2.67,0.208,-151.78,-16.2904,0.65,0.05,0.375,cash
balanced,10091.57,0.92,1166,2,2.67,0.208,-151.78,-16.2904,0.65,0.1,0.375,cash
balanced,9983.74,-0.16,1166,2,0.26,-0.261,-152.86,-16.5782,0.65,0.0,0.5,hold
balanced,9983.74,-0.16,1166,2,0.26,-0.261,-152.86,-16.5782,0.65,0.05,0.5,hold
balanced,9983.74,-0.16,1166,2,0.26,-0.261,-152.86,-16.5782,0.65,0.1,0.5,hold
