feature,importance
ret_20,0.5195675518689508
relative_strength_20,0.24184863150166178
ma20_gap,0.23675404463619953
rsi_14,0.20253454870758292
spy_ma50_gap,0.1865273823889356
ma5_gap,0.14734523707828842
overnight_gap,0.09414124094173511
ma50_gap,0.0873530043427221
ret_3,0.08711070460872204
ret_5,0.07056425376037033
ret_10,0.06414989000475059
excess_return,0.054005983529350564
return,0.0462310487052158
volatility_10,0.04479222234578062
spy_return,0.04063829025073696
volume_change,0.03173097427116588
high_low_range,0.029785081546781524
atr_14,0.026897571355506373
