signal_date,trade_date,trade_price,market_close,predicted_signal,confidence,bullish_probability,trend_filter_passed,target_allocation,action,cash,shares,position_value,portfolio_value,explanation
2024-05-31,2024-06-03,468.08978738058096,474.6807861328125,BUY_AND_HOLD,1.0,1.0,True,1.0,BUY,155.36472176254392,21,9968.296508789062,10123.661230551606,Benchmark entered at next-day open with trading costs and then held.
2024-06-03,2024-06-04,474.1936972137186,474.1837463378906,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,155.36472176254392,21,9957.858673095703,10113.223394858247,Benchmark entered at next-day open with trading costs and then held.
2024-06-04,2024-06-05,481.59986638058245,492.1474304199219,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,155.36472176254392,21,10335.09603881836,10490.460760580903,Benchmark entered at next-day open with trading costs and then held.
2024-06-05,2024-06-06,490.07975361628957,490.85516357421875,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,155.36472176254392,21,10307.958435058594,10463.323156821138,Benchmark entered at next-day open with trading costs and then held.
2024-06-06,2024-06-07,492.99247117957646,490.059814453125,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,155.36472176254392,21,10291.256103515625,10446.620825278169,Benchmark entered at next-day open with trading costs and then held.
2024-06-07,2024-06-10,490.9544956849635,499.6430969238281,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,155.36472176254392,21,10492.50503540039,10647.869757162935,Benchmark entered at next-day open with trading costs and then held.
2024-06-10,2024-06-11,497.2174749867736,504.4844665527344,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,155.36472176254392,21,10594.173797607422,10749.538519369966,Benchmark entered at next-day open with trading costs and then held.
2024-06-11,2024-06-12,510.9660698187759,505.84637451171875,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,155.36472176254392,21,10622.773864746094,10778.138586508638,Benchmark entered at next-day open with trading costs and then held.
2024-06-12,2024-06-13,502.7347908052071,501.13427734375,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,155.36472176254392,21,10523.81982421875,10679.184545981294,Benchmark entered at next-day open with trading costs and then held.
2024-06-13,2024-06-14,500.1889118858626,501.6915283203125,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,155.36472176254392,21,10535.522094726562,10690.886816489106,Benchmark entered at next-day open with trading costs and then held.
2024-06-14,2024-06-17,499.2137382202111,504.1494445800781,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,155.36472176254392,21,10587.13833618164,10742.503057944185,Benchmark entered at next-day open with trading costs and then held.
2024-06-17,2024-06-18,502.08955596287245,497.04437255859375,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,155.36472176254392,21,10437.931823730469,10593.296545493013,Benchmark entered at next-day open with trading costs and then held.
2024-06-18,2024-06-20,499.54214083877173,499.2436218261719,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,155.36472176254392,21,10484.11605834961,10639.480780112153,Benchmark entered at next-day open with trading costs and then held.
