trader,final_portfolio_value,return_pct,num_days,num_trades,max_drawdown_pct,sharpe_like,excess_return_vs_bh,selection_score,min_bull_probability,min_probability_margin,max_allocation,neutral_behavior
conservative,10207.09,2.07,1166,9,2.27,0.31,-150.63,-15.0254,0.45,0.0,0.25,hold
conservative,10207.09,2.07,1166,9,2.27,0.31,-150.63,-15.0254,0.45,0.05,0.25,hold
conservative,10207.09,2.07,1166,9,2.27,0.31,-150.63,-15.0254,0.45,0.1,0.25,hold
conservative,9971.79,-0.28,1166,6,0.49,-0.243,-152.98,-15.5998,0.45,0.0,0.1875,cash
conservative,9971.79,-0.28,1166,6,0.49,-0.243,-152.98,-15.5998,0.45,0.05,0.1875,cash
conservative,9971.79,-0.28,1166,6,0.49,-0.243,-152.98,-15.5998,0.45,0.1,0.1875,cash
conservative,9864.04,-1.36,1166,11,1.66,-0.511,-154.06,-16.1162,0.45,0.0,0.25,cash
conservative,9864.04,-1.36,1166,11,1.66,-0.511,-154.06,-16.1162,0.45,0.05,0.25,cash
conservative,9864.04,-1.36,1166,11,1.66,-0.511,-154.06,-16.1162,0.45,0.1,0.25,cash
conservative,10003.46,0.03,1166,2,0.07,0.131,-152.67,-16.1444,0.55,0.0,0.1875,cash
conservative,10003.46,0.03,1166,2,0.07,0.131,-152.67,-16.1444,0.55,0.05,0.1875,cash
conservative,10003.46,0.03,1166,2,0.07,0.131,-152.67,-16.1444,0.55,0.1,0.1875,cash
conservative,10135.45,1.35,1166,2,2.75,0.297,-151.35,-16.168,0.55,0.0,0.25,hold
conservative,10135.45,1.35,1166,2,2.75,0.297,-151.35,-16.168,0.55,0.05,0.25,hold
conservative,10135.45,1.35,1166,2,2.75,0.297,-151.35,-16.168,0.55,0.1,0.25,hold
conservative,10000.0,0.0,1166,0,0.0,0.0,-152.7,-16.27,0.65,0.0,0.1875,hold
conservative,10000.0,0.0,1166,0,0.0,0.0,-152.7,-16.27,0.65,0.0,0.1875,cash
conservative,10000.0,0.0,1166,0,0.0,0.0,-152.7,-16.27,0.65,0.0,0.25,hold
conservative,10000.0,0.0,1166,0,0.0,0.0,-152.7,-16.27,0.65,0.0,0.25,cash
conservative,10000.0,0.0,1166,0,0.0,0.0,-152.7,-16.27,0.65,0.05,0.1875,hold
conservative,10000.0,0.0,1166,0,0.0,0.0,-152.7,-16.27,0.65,0.05,0.1875,cash
conservative,10000.0,0.0,1166,0,0.0,0.0,-152.7,-16.27,0.65,0.05,0.25,hold
conservative,10000.0,0.0,1166,0,0.0,0.0,-152.7,-16.27,0.65,0.05,0.25,cash
conservative,10000.0,0.0,1166,0,0.0,0.0,-152.7,-16.27,0.65,0.1,0.1875,hold
conservative,10000.0,0.0,1166,0,0.0,0.0,-152.7,-16.27,0.65,0.1,0.1875,cash
conservative,10000.0,0.0,1166,0,0.0,0.0,-152.7,-16.27,0.65,0.1,0.25,hold
conservative,10000.0,0.0,1166,0,0.0,0.0,-152.7,-16.27,0.65,0.1,0.25,cash
conservative,10051.18,0.51,1166,2,2.75,0.119,-152.19,-16.43,0.55,0.0,0.25,cash
conservative,10051.18,0.51,1166,2,2.75,0.119,-152.19,-16.43,0.55,0.05,0.25,cash
conservative,10051.18,0.51,1166,2,2.75,0.119,-152.19,-16.43,0.55,0.1,0.25,cash
conservative,9983.74,-0.16,1166,2,0.26,-0.261,-152.86,-16.5782,0.55,0.0,0.1875,hold
conservative,9983.74,-0.16,1166,2,0.26,-0.261,-152.86,-16.5782,0.55,0.05,0.1875,hold
conservative,9983.74,-0.16,1166,2,0.26,-0.261,-152.86,-16.5782,0.55,0.1,0.1875,hold
conservative,9958.29,-0.42,1166,4,0.62,-0.222,-153.12,-16.6084,0.45,0.0,0.1875,hold
conservative,9958.29,-0.42,1166,4,0.62,-0.222,-153.12,-16.6084,0.45,0.05,0.1875,hold
conservative,9958.29,-0.42,1166,4,0.62,-0.222,-153.12,-16.6084,0.45,0.1,0.1875,hold
