trader,final_portfolio_value,return_pct,num_days,num_trades,max_drawdown_pct,sharpe_like,excess_return_vs_bh,selection_score,min_bull_probability,min_probability_margin,max_allocation,neutral_behavior
aggressive,14886.05,48.86,1166,290,18.09,0.702,-340.32,-37.4008,0.45,0.0,0.8,hold
aggressive,13624.94,36.25,1166,275,13.49,0.712,-352.93,-37.9498,0.45,0.0,0.6,hold
aggressive,13393.46,33.93,1166,231,15.61,0.518,-355.25,-38.1902,0.65,0.0,0.8,hold
aggressive,13393.46,33.93,1166,231,15.61,0.518,-355.25,-38.1902,0.65,0.05,0.8,hold
aggressive,13393.46,33.93,1166,231,15.61,0.518,-355.25,-38.1902,0.65,0.1,0.8,hold
aggressive,14060.26,40.6,1166,280,18.98,0.597,-348.58,-38.3386,0.45,0.05,0.8,hold
aggressive,12543.66,25.44,1166,221,11.6,0.517,-363.74,-38.459,0.65,0.0,0.6,hold
aggressive,12543.66,25.44,1166,221,11.6,0.517,-363.74,-38.459,0.65,0.05,0.6,hold
aggressive,12543.66,25.44,1166,221,11.6,0.517,-363.74,-38.459,0.65,0.1,0.6,hold
aggressive,12970.84,29.71,1166,268,14.38,0.592,-359.47,-38.7606,0.45,0.05,0.6,hold
aggressive,12080.31,20.8,1166,246,13.63,0.43,-368.38,-39.5036,0.55,0.0,0.6,hold
aggressive,12080.31,20.8,1166,246,13.63,0.43,-368.38,-39.5036,0.55,0.05,0.6,hold
aggressive,12080.31,20.8,1166,246,13.63,0.43,-368.38,-39.5036,0.55,0.1,0.6,hold
aggressive,12742.18,27.42,1166,262,18.05,0.431,-361.76,-39.531,0.55,0.0,0.8,hold
aggressive,12742.18,27.42,1166,262,18.05,0.431,-361.76,-39.531,0.55,0.05,0.8,hold
aggressive,12742.18,27.42,1166,262,18.05,0.431,-361.76,-39.531,0.55,0.1,0.8,hold
aggressive,12992.1,29.92,1166,277,19.9,0.454,-359.26,-39.63,0.45,0.1,0.8,hold
aggressive,12242.34,22.42,1166,259,15.15,0.447,-366.76,-39.637,0.45,0.1,0.6,hold
aggressive,11662.18,16.62,1166,283,10.99,0.447,-372.56,-39.9578,0.65,0.0,0.6,cash
aggressive,11662.18,16.62,1166,283,10.99,0.447,-372.56,-39.9578,0.65,0.05,0.6,cash
aggressive,11662.18,16.62,1166,283,10.99,0.447,-372.56,-39.9578,0.65,0.1,0.6,cash
aggressive,12107.93,21.08,1166,297,14.65,0.43,-368.1,-40.108,0.65,0.0,0.8,cash
aggressive,12107.93,21.08,1166,297,14.65,0.43,-368.1,-40.108,0.65,0.05,0.8,cash
aggressive,12107.93,21.08,1166,297,14.65,0.43,-368.1,-40.108,0.65,0.1,0.8,cash
aggressive,11716.94,17.17,1166,306,10.98,0.442,-372.01,-40.1366,0.55,0.0,0.6,cash
aggressive,11716.94,17.17,1166,306,10.98,0.442,-372.01,-40.1366,0.55,0.05,0.6,cash
aggressive,11716.94,17.17,1166,306,10.98,0.442,-372.01,-40.1366,0.55,0.1,0.6,cash
aggressive,12307.7,23.08,1166,328,14.89,0.446,-366.1,-40.2308,0.55,0.0,0.8,cash
aggressive,12307.7,23.08,1166,328,14.89,0.446,-366.1,-40.2308,0.55,0.05,0.8,cash
aggressive,12307.7,23.08,1166,328,14.89,0.446,-366.1,-40.2308,0.55,0.1,0.8,cash
aggressive,11829.08,18.29,1166,334,11.08,0.453,-370.89,-40.3056,0.45,0.1,0.6,cash
aggressive,12424.97,24.25,1166,348,15.05,0.452,-364.93,-40.327,0.45,0.1,0.8,cash
aggressive,11715.23,17.15,1166,338,11.22,0.428,-372.03,-40.5014,0.45,0.05,0.6,cash
aggressive,11708.24,17.08,1166,342,11.19,0.426,-372.1,-40.5468,0.45,0.0,0.6,cash
aggressive,12247.78,22.48,1166,352,15.34,0.425,-366.7,-40.6058,0.45,0.05,0.8,cash
aggressive,12241.35,22.41,1166,358,15.12,0.423,-366.77,-40.6484,0.45,0.0,0.8,cash
