trader,final_portfolio_value,return_pct,num_days,num_trades,max_drawdown_pct,sharpe_like,excess_return_vs_bh,selection_score,min_bull_probability,min_probability_margin,max_allocation,neutral_behavior
balanced,11873.74,18.74,1166,83,2.61,0.931,-370.44,-36.4262,0.65,0.0,0.5,hold
balanced,11873.74,18.74,1166,83,2.61,0.931,-370.44,-36.4262,0.65,0.05,0.5,hold
balanced,11873.74,18.74,1166,83,2.61,0.931,-370.44,-36.4262,0.65,0.1,0.5,hold
balanced,11340.9,13.41,1166,82,2.02,0.907,-375.77,-36.9124,0.65,0.0,0.375,hold
balanced,11340.9,13.41,1166,82,2.02,0.907,-375.77,-36.9124,0.65,0.05,0.375,hold
balanced,11340.9,13.41,1166,82,2.02,0.907,-375.77,-36.9124,0.65,0.1,0.375,hold
balanced,11509.48,15.09,1166,124,7.5,0.657,-374.09,-37.892,0.45,0.0,0.5,hold
balanced,11434.55,14.35,1166,116,7.46,0.622,-374.83,-37.9162,0.45,0.1,0.5,hold
balanced,11109.13,11.09,1166,108,5.93,0.636,-378.09,-37.9646,0.45,0.1,0.375,hold
balanced,11142.85,11.43,1166,113,6.07,0.66,-377.75,-37.9734,0.45,0.0,0.375,hold
balanced,11162.02,11.62,1166,106,6.25,0.553,-377.56,-38.013,0.55,0.0,0.5,hold
balanced,11162.02,11.62,1166,106,6.25,0.553,-377.56,-38.013,0.55,0.05,0.5,hold
balanced,11162.02,11.62,1166,106,6.25,0.553,-377.56,-38.013,0.55,0.1,0.5,hold
balanced,11416.51,14.17,1166,122,7.59,0.617,-375.01,-38.0148,0.45,0.05,0.5,hold
balanced,11076.35,10.76,1166,109,6.07,0.625,-378.42,-38.0354,0.45,0.05,0.375,hold
balanced,10843.13,8.43,1166,94,4.74,0.543,-380.75,-38.1008,0.55,0.0,0.375,hold
balanced,10843.13,8.43,1166,94,4.74,0.543,-380.75,-38.1008,0.55,0.05,0.375,hold
balanced,10843.13,8.43,1166,94,4.74,0.543,-380.75,-38.1008,0.55,0.1,0.375,hold
balanced,9711.37,-2.89,1166,106,7.28,-0.374,-392.07,-40.5146,0.65,0.0,0.375,cash
balanced,9711.37,-2.89,1166,106,7.28,-0.374,-392.07,-40.5146,0.65,0.05,0.375,cash
balanced,9711.37,-2.89,1166,106,7.28,-0.374,-392.07,-40.5146,0.65,0.1,0.375,cash
balanced,9702.77,-2.97,1166,125,7.87,-0.357,-392.15,-40.7664,0.55,0.0,0.375,cash
balanced,9702.77,-2.97,1166,125,7.87,-0.357,-392.15,-40.7664,0.55,0.05,0.375,cash
balanced,9702.77,-2.97,1166,125,7.87,-0.357,-392.15,-40.7664,0.55,0.1,0.375,cash
balanced,9776.87,-2.23,1166,148,8.43,-0.229,-391.41,-40.8616,0.45,0.1,0.375,cash
balanced,9733.87,-2.66,1166,149,8.6,-0.273,-391.84,-40.979,0.45,0.05,0.375,cash
balanced,9722.77,-2.77,1166,149,8.62,-0.286,-391.95,-41.0054,0.45,0.0,0.375,cash
balanced,9590.58,-4.09,1166,113,9.78,-0.399,-393.27,-41.0296,0.65,0.0,0.5,cash
balanced,9590.58,-4.09,1166,113,9.78,-0.399,-393.27,-41.0296,0.65,0.05,0.5,cash
balanced,9590.58,-4.09,1166,113,9.78,-0.399,-393.27,-41.0296,0.65,0.1,0.5,cash
balanced,9682.86,-3.17,1166,135,10.1,-0.273,-392.35,-41.07,0.55,0.0,0.5,cash
balanced,9682.86,-3.17,1166,135,10.1,-0.273,-392.35,-41.07,0.55,0.05,0.5,cash
balanced,9682.86,-3.17,1166,135,10.1,-0.273,-392.35,-41.07,0.55,0.1,0.5,cash
balanced,9643.7,-3.56,1166,152,11.37,-0.292,-392.74,-41.4504,0.45,0.1,0.5,cash
balanced,9642.14,-3.58,1166,156,11.22,-0.293,-392.76,-41.4754,0.45,0.05,0.5,cash
balanced,9625.52,-3.74,1166,158,11.23,-0.307,-392.92,-41.5266,0.45,0.0,0.5,cash
