signal_date,trade_date,trade_price,market_close,predicted_signal,confidence,bullish_probability,trend_filter_passed,target_allocation,action,cash,shares,position_value,portfolio_value,explanation
2024-05-31,2024-06-03,409.9867358256656,408.0035400390625,BUY_AND_HOLD,1.0,1.0,True,1.0,BUY,145.5538978534696,24,9792.0849609375,9937.63885879097,Benchmark entered at next-day open with trading costs and then held.
2024-06-03,2024-06-04,406.9280752908703,410.51953125,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,145.5538978534696,24,9852.46875,9998.02264785347,Benchmark entered at next-day open with trading costs and then held.
2024-06-04,2024-06-05,412.23633479956106,418.3536376953125,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,145.5538978534696,24,10040.4873046875,10186.04120254097,Benchmark entered at next-day open with trading costs and then held.
2024-06-05,2024-06-06,418.35360501475236,418.8567810058594,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,145.5538978534696,24,10052.562744140625,10198.116641994095,Benchmark entered at next-day open with trading costs and then held.
2024-06-06,2024-06-07,420.5143654866237,418.1957092285156,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,145.5538978534696,24,10036.697021484375,10182.250919337845,Benchmark entered at next-day open with trading costs and then held.
2024-06-07,2024-06-10,419.0344147777948,422.162109375,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,145.5538978534696,24,10131.890625,10277.44452285347,Benchmark entered at next-day open with trading costs and then held.
2024-06-10,2024-06-11,419.8040264249776,426.907958984375,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,145.5538978534696,24,10245.791015625,10391.34491347847,Benchmark entered at next-day open with trading costs and then held.
2024-06-11,2024-06-12,429.51276024474697,435.1761779785156,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,145.5538978534696,24,10444.228271484375,10589.782169337845,Benchmark entered at next-day open with trading costs and then held.
2024-06-12,2024-06-13,434.9689970884557,435.6892395019531,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,145.5538978534696,24,10456.541748046875,10602.095645900345,Benchmark entered at next-day open with trading costs and then held.
2024-06-13,2024-06-14,432.43323683903066,436.666015625,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,145.5538978534696,24,10479.984375,10625.53827285347,Benchmark entered at next-day open with trading costs and then held.
2024-06-14,2024-06-17,436.68574902549324,442.3886413574219,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,145.5538978534696,24,10617.327392578125,10762.881290431595,Benchmark entered at next-day open with trading costs and then held.
2024-06-17,2024-06-18,443.7107502283828,440.3857116699219,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,145.5538978534696,24,10569.257080078125,10714.810977931595,Benchmark entered at next-day open with trading costs and then held.
2024-06-18,2024-06-20,440.34621367715397,439.7542419433594,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,145.5538978534696,24,10554.101806640625,10699.655704494095,Benchmark entered at next-day open with trading costs and then held.
2024-06-20,2024-06-21,441.4118686798834,443.77984619140625,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,145.5538978534696,24,10650.71630859375,10796.27020644722,Benchmark entered at next-day open with trading costs and then held.
2024-06-21,2024-06-24,443.79958875342635,441.6980285644531,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,145.5538978534696,24,10600.752685546875,10746.306583400345,Benchmark entered at next-day open with trading costs and then held.
2024-06-24,2024-06-25,442.27021086532676,444.9342041015625,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,145.5538978534696,24,10678.4208984375,10823.97479629097,Benchmark entered at next-day open with trading costs and then held.
