trader,final_portfolio_value,return_pct,num_days,num_trades,max_drawdown_pct,sharpe_like,excess_return_vs_bh,selection_score,min_bull_probability,min_probability_margin,max_allocation,neutral_behavior
conservative,11017.78,10.18,1166,63,1.33,1.046,-379.0,-37.0136,0.65,0.0,0.25,hold
conservative,11017.78,10.18,1166,63,1.33,1.046,-379.0,-37.0136,0.65,0.05,0.25,hold
conservative,11017.78,10.18,1166,63,1.33,1.046,-379.0,-37.0136,0.65,0.1,0.25,hold
conservative,10770.46,7.7,1166,50,1.02,1.126,-381.48,-37.1444,0.65,0.0,0.1875,hold
conservative,10770.46,7.7,1166,50,1.02,1.126,-381.48,-37.1444,0.65,0.05,0.1875,hold
conservative,10770.46,7.7,1166,50,1.02,1.126,-381.48,-37.1444,0.65,0.1,0.1875,hold
conservative,10572.72,5.73,1166,71,1.42,0.79,-383.45,-37.7254,0.55,0.0,0.1875,hold
conservative,10572.72,5.73,1166,71,1.42,0.79,-383.45,-37.7254,0.55,0.05,0.1875,hold
conservative,10572.72,5.73,1166,71,1.42,0.79,-383.45,-37.7254,0.55,0.1,0.1875,hold
conservative,10608.68,6.09,1166,79,2.41,0.737,-383.09,-37.8612,0.45,0.0,0.1875,hold
conservative,10603.27,6.03,1166,74,2.42,0.723,-383.15,-37.8824,0.45,0.1,0.1875,hold
conservative,10596.32,5.96,1166,75,2.41,0.718,-383.22,-37.8932,0.45,0.05,0.1875,hold
conservative,10648.98,6.49,1166,82,2.57,0.634,-382.69,-37.9434,0.55,0.0,0.25,hold
conservative,10648.98,6.49,1166,82,2.57,0.634,-382.69,-37.9434,0.55,0.05,0.25,hold
conservative,10648.98,6.49,1166,82,2.57,0.634,-382.69,-37.9434,0.55,0.1,0.25,hold
conservative,10754.34,7.54,1166,89,3.65,0.653,-381.64,-37.949,0.45,0.1,0.25,hold
conservative,10739.89,7.4,1166,90,3.82,0.646,-381.78,-37.9904,0.45,0.0,0.25,hold
conservative,10734.92,7.35,1166,90,3.83,0.645,-381.83,-37.9976,0.45,0.05,0.25,hold
conservative,9944.44,-0.56,1166,77,3.17,-0.144,-389.74,-39.4984,0.65,0.0,0.1875,cash
conservative,9944.44,-0.56,1166,77,3.17,-0.144,-389.74,-39.4984,0.65,0.05,0.1875,cash
conservative,9944.44,-0.56,1166,77,3.17,-0.144,-389.74,-39.4984,0.65,0.1,0.1875,cash
conservative,9986.19,-0.14,1166,115,3.78,-0.025,-389.32,-39.5606,0.45,0.1,0.1875,cash
conservative,9984.34,-0.16,1166,115,3.8,-0.029,-389.34,-39.569,0.45,0.05,0.1875,cash
conservative,9980.18,-0.2,1166,115,3.8,-0.038,-389.38,-39.582,0.45,0.0,0.1875,cash
conservative,9818.43,-1.82,1166,102,4.46,-0.428,-391.0,-40.0832,0.55,0.0,0.1875,cash
conservative,9818.43,-1.82,1166,102,4.46,-0.428,-391.0,-40.0832,0.55,0.05,0.1875,cash
conservative,9818.43,-1.82,1166,102,4.46,-0.428,-391.0,-40.0832,0.55,0.1,0.1875,cash
conservative,9884.39,-1.16,1166,133,5.33,-0.178,-390.34,-40.1816,0.45,0.0,0.25,cash
conservative,9882.51,-1.17,1166,133,5.39,-0.18,-390.35,-40.1918,0.45,0.1,0.25,cash
conservative,9879.09,-1.21,1166,133,5.42,-0.185,-390.39,-40.2044,0.45,0.05,0.25,cash
conservative,9796.64,-2.03,1166,111,5.29,-0.373,-391.21,-40.2388,0.55,0.0,0.25,cash
conservative,9796.64,-2.03,1166,111,5.29,-0.373,-391.21,-40.2388,0.55,0.05,0.25,cash
conservative,9796.64,-2.03,1166,111,5.29,-0.373,-391.21,-40.2388,0.55,0.1,0.25,cash
conservative,9767.28,-2.33,1166,94,5.74,-0.428,-391.51,-40.2678,0.65,0.0,0.25,cash
conservative,9767.28,-2.33,1166,94,5.74,-0.428,-391.51,-40.2678,0.65,0.05,0.25,cash
conservative,9767.28,-2.33,1166,94,5.74,-0.428,-391.51,-40.2678,0.65,0.1,0.25,cash
