signal_date,trade_date,trade_price,market_close,predicted_signal,confidence,bullish_probability,trend_filter_passed,target_allocation,action,cash,shares,position_value,portfolio_value,explanation
2024-05-31,2024-06-03,113.56306583418551,114.94136047363281,BULLISH_SIGNAL,0.9536278151690629,0.9536278151690629,True,0.6940064346721438,BUY,3062.2584999173487,61,7011.422988891602,10073.68148880895,"Aggressive trader saw BULLISH_SIGNAL with bullish_probability=0.95, confidence=0.95, probability_margin=0.93, trend_filter_passed=True, rule=bullish_signal, target_allocation=69.40%."
2024-06-03,2024-06-04,115.65699910856021,116.37762451171875,BULLISH_SIGNAL,0.46397949553015355,0.46397949553015355,True,0.6973255936406239,HOLD,3062.2584999173487,61,7099.035095214844,10161.293595132192,"Aggressive trader saw BULLISH_SIGNAL with bullish_probability=0.46, confidence=0.46, probability_margin=0.13, trend_filter_passed=True, rule=neutral_hold, target_allocation=69.73%."
2024-06-04,2024-06-05,118.31064561773049,122.37757110595703,NEUTRAL_SIGNAL,0.5245722065566477,0.3830821286553919,True,0.7020919768437339,HOLD,3062.2584999173487,61,7465.031837463379,10527.290337380728,"Aggressive trader saw NEUTRAL_SIGNAL with bullish_probability=0.38, confidence=0.52, probability_margin=0.14, trend_filter_passed=True, rule=neutral_hold, target_allocation=70.21%."
2024-06-05,2024-06-06,123.98473454180629,120.93629455566406,BULLISH_SIGNAL,0.5099580340185693,0.5099580340185693,True,0.7117963135206875,HOLD,3062.2584999173487,61,7377.113967895508,10439.372467812856,"Aggressive trader saw BULLISH_SIGNAL with bullish_probability=0.51, confidence=0.51, probability_margin=0.25, trend_filter_passed=True, rule=neutral_hold, target_allocation=71.18%."
2024-06-06,2024-06-07,119.70892124903274,120.82635498046875,NEUTRAL_SIGNAL,0.6349331541970419,0.2651680639651452,True,0.704543614903283,HOLD,3062.2584999173487,61,7370.407653808594,10432.666153725942,"Aggressive trader saw NEUTRAL_SIGNAL with bullish_probability=0.27, confidence=0.63, probability_margin=0.37, trend_filter_passed=True, rule=neutral_hold, target_allocation=70.45%."
2024-06-07,2024-06-10,120.30862356189567,121.72789764404297,NEUTRAL_SIGNAL,0.6330274841032093,0.31246137582751865,True,0.7055827698575958,HOLD,3062.2584999173487,61,7425.401756286621,10487.66025620397,"Aggressive trader saw NEUTRAL_SIGNAL with bullish_probability=0.31, confidence=0.63, probability_margin=0.32, trend_filter_passed=True, rule=neutral_hold, target_allocation=70.56%."
2024-06-10,2024-06-11,121.71790142895497,120.8582763671875,BULLISH_SIGNAL,0.4911394259952664,0.4911394259952664,True,0.7079962088778933,HOLD,3062.2584999173487,61,7372.3548583984375,10434.613358315786,"Aggressive trader saw BULLISH_SIGNAL with bullish_probability=0.49, confidence=0.49, probability_margin=0.11, trend_filter_passed=True, rule=neutral_hold, target_allocation=70.80%."
2024-06-11,2024-06-12,123.00735466296415,125.14643859863281,BULLISH_SIGNAL,0.6738842555184908,0.6738842555184908,True,0.05459258404226475,REDUCE,10063.16409259223,4,500.58575439453125,10563.74984698676,"Aggressive trader saw BULLISH_SIGNAL with bullish_probability=0.67, confidence=0.67, probability_margin=0.36, trend_filter_passed=True, rule=bullish_signal, target_allocation=5.46%."
2024-06-12,2024-06-13,129.33464307228707,129.55455017089844,BULLISH_SIGNAL,0.8481488536969923,0.8481488536969923,True,0.45291166559312535,BUY,5788.716672353067,37,4793.518356323242,10582.23502867631,"Aggressive trader saw BULLISH_SIGNAL with bullish_probability=0.85, confidence=0.85, probability_margin=0.74, trend_filter_passed=True, rule=bullish_signal, target_allocation=45.29%."
2024-06-13,2024-06-14,129.90441625095465,131.82359313964844,NEUTRAL_SIGNAL,0.7062879372773352,0.23852662762041968,True,0.45364622100611274,HOLD,5788.716672353067,37,4877.472946166992,10666.18961852006,"Aggressive trader saw NEUTRAL_SIGNAL with bullish_probability=0.24, confidence=0.71, probability_margin=0.47, trend_filter_passed=True, rule=neutral_hold, target_allocation=45.36%."
