trader,final_portfolio_value,return_pct,num_days,num_trades,max_drawdown_pct,sharpe_like,excess_return_vs_bh,selection_score,min_bull_probability,min_probability_margin,max_allocation,neutral_behavior
aggressive,19442.58,94.43,1166,249,27.8,0.812,-1342.03,-138.217,0.65,0.0,0.8,hold
aggressive,19442.58,94.43,1166,249,27.8,0.812,-1342.03,-138.217,0.65,0.05,0.8,hold
aggressive,19442.58,94.43,1166,249,27.8,0.812,-1342.03,-138.217,0.65,0.1,0.8,hold
aggressive,17266.11,72.66,1166,244,20.6,0.845,-1363.8,-139.447,0.65,0.0,0.6,hold
aggressive,17266.11,72.66,1166,244,20.6,0.845,-1363.8,-139.447,0.65,0.05,0.6,hold
aggressive,17266.11,72.66,1166,244,20.6,0.845,-1363.8,-139.447,0.65,0.1,0.6,hold
aggressive,17172.65,71.73,1166,292,33.36,0.654,-1364.73,-141.7422,0.55,0.0,0.8,hold
aggressive,17172.65,71.73,1166,292,33.36,0.654,-1364.73,-141.7422,0.55,0.05,0.8,hold
aggressive,17172.65,71.73,1166,292,33.36,0.654,-1364.73,-141.7422,0.55,0.1,0.8,hold
aggressive,15276.92,52.77,1166,276,25.24,0.652,-1383.69,-142.5058,0.55,0.0,0.6,hold
aggressive,15276.92,52.77,1166,276,25.24,0.652,-1383.69,-142.5058,0.55,0.05,0.6,hold
aggressive,15276.92,52.77,1166,276,25.24,0.652,-1383.69,-142.5058,0.55,0.1,0.6,hold
aggressive,15706.8,57.07,1166,376,27.12,0.584,-1379.39,-143.3694,0.45,0.1,0.8,cash
aggressive,15623.15,56.23,1166,392,27.46,0.578,-1380.23,-143.6602,0.45,0.05,0.8,cash
aggressive,14777.39,47.77,1166,330,26.82,0.533,-1388.69,-143.8544,0.55,0.0,0.8,cash
aggressive,14777.39,47.77,1166,330,26.82,0.533,-1388.69,-143.8544,0.55,0.05,0.8,cash
aggressive,14777.39,47.77,1166,330,26.82,0.533,-1388.69,-143.8544,0.55,0.1,0.8,cash
aggressive,14312.41,43.12,1166,366,20.47,0.588,-1393.34,-143.8624,0.45,0.1,0.6,cash
aggressive,15507.45,55.07,1166,401,27.81,0.57,-1381.39,-143.9162,0.45,0.0,0.8,cash
aggressive,13691.01,36.91,1166,313,19.8,0.542,-1399.55,-143.919,0.55,0.0,0.6,cash
aggressive,13691.01,36.91,1166,313,19.8,0.542,-1399.55,-143.919,0.55,0.05,0.6,cash
aggressive,13691.01,36.91,1166,313,19.8,0.542,-1399.55,-143.919,0.55,0.1,0.6,cash
aggressive,14266.44,42.66,1166,380,20.67,0.583,-1393.8,-144.0774,0.45,0.05,0.6,cash
aggressive,14199.05,41.99,1166,383,20.98,0.576,-1394.47,-144.2186,0.45,0.0,0.6,cash
aggressive,12828.74,28.29,1166,279,19.34,0.463,-1408.17,-144.4648,0.65,0.0,0.6,cash
aggressive,12828.74,28.29,1166,279,19.34,0.463,-1408.17,-144.4648,0.65,0.05,0.6,cash
aggressive,12828.74,28.29,1166,279,19.34,0.463,-1408.17,-144.4648,0.65,0.1,0.6,cash
aggressive,13590.39,35.9,1166,287,26.17,0.454,-1400.56,-144.6124,0.65,0.0,0.8,cash
aggressive,13590.39,35.9,1166,287,26.17,0.454,-1400.56,-144.6124,0.65,0.05,0.8,cash
aggressive,13590.39,35.9,1166,287,26.17,0.454,-1400.56,-144.6124,0.65,0.1,0.8,cash
aggressive,13488.43,34.88,1166,313,30.42,0.47,-1401.58,-145.4684,0.45,0.1,0.6,hold
aggressive,13537.85,35.38,1166,327,30.36,0.475,-1401.08,-145.5462,0.45,0.05,0.6,hold
aggressive,13494.28,34.94,1166,337,30.39,0.473,-1401.52,-145.6958,0.45,0.0,0.6,hold
aggressive,14466.03,44.66,1166,323,39.66,0.468,-1391.8,-145.7012,0.45,0.1,0.8,hold
aggressive,14529.79,45.3,1166,338,39.65,0.472,-1391.16,-145.782,0.45,0.05,0.8,hold
aggressive,14447.42,44.47,1166,353,39.66,0.468,-1391.99,-146.0202,0.45,0.0,0.8,hold
