trader,final_portfolio_value,return_pct,num_days,num_trades,max_drawdown_pct,sharpe_like,excess_return_vs_bh,selection_score,min_bull_probability,min_probability_margin,max_allocation,neutral_behavior
balanced,13737.67,37.38,1166,119,8.96,0.811,-1399.08,-140.3622,0.65,0.0,0.5,hold
balanced,13737.67,37.38,1166,119,8.96,0.811,-1399.08,-140.3622,0.65,0.05,0.5,hold
balanced,13737.67,37.38,1166,119,8.96,0.811,-1399.08,-140.3622,0.65,0.1,0.5,hold
balanced,12746.72,27.47,1166,112,6.77,0.816,-1408.99,-141.0154,0.65,0.0,0.375,hold
balanced,12746.72,27.47,1166,112,6.77,0.816,-1408.99,-141.0154,0.65,0.05,0.375,hold
balanced,12746.72,27.47,1166,112,6.77,0.816,-1408.99,-141.0154,0.65,0.1,0.375,hold
balanced,12778.09,27.78,1166,150,11.36,0.602,-1408.68,-142.1292,0.55,0.0,0.5,hold
balanced,12778.09,27.78,1166,150,11.36,0.602,-1408.68,-142.1292,0.55,0.05,0.5,hold
balanced,12778.09,27.78,1166,150,11.36,0.602,-1408.68,-142.1292,0.55,0.1,0.5,hold
balanced,12073.4,20.73,1166,145,8.4,0.604,-1415.73,-142.427,0.55,0.0,0.375,hold
balanced,12073.4,20.73,1166,145,8.4,0.604,-1415.73,-142.427,0.55,0.05,0.375,hold
balanced,12073.4,20.73,1166,145,8.4,0.604,-1415.73,-142.427,0.55,0.1,0.375,hold
balanced,12340.96,23.41,1166,185,9.79,0.736,-1413.05,-142.5938,0.45,0.0,0.375,hold
balanced,12226.66,22.27,1166,172,9.97,0.715,-1414.19,-142.6204,0.55,0.0,0.5,cash
balanced,12226.66,22.27,1166,172,9.97,0.715,-1414.19,-142.6204,0.55,0.05,0.5,cash
balanced,12226.66,22.27,1166,172,9.97,0.715,-1414.19,-142.6204,0.55,0.1,0.5,cash
balanced,12546.89,25.47,1166,214,10.53,0.75,-1410.99,-142.7526,0.45,0.1,0.5,cash
balanced,12744.87,27.45,1166,203,12.62,0.653,-1409.01,-142.7924,0.45,0.0,0.5,hold
balanced,11678.88,16.79,1166,167,7.38,0.729,-1419.67,-142.7936,0.55,0.0,0.375,cash
balanced,11678.88,16.79,1166,167,7.38,0.729,-1419.67,-142.7936,0.55,0.05,0.375,cash
balanced,11678.88,16.79,1166,167,7.38,0.729,-1419.67,-142.7936,0.55,0.1,0.375,cash
balanced,11258.31,12.58,1166,129,6.74,0.618,-1423.88,-142.8688,0.65,0.0,0.375,cash
balanced,11258.31,12.58,1166,129,6.74,0.618,-1423.88,-142.8688,0.65,0.05,0.375,cash
balanced,11258.31,12.58,1166,129,6.74,0.618,-1423.88,-142.8688,0.65,0.1,0.375,cash
balanced,12538.93,25.39,1166,226,10.45,0.749,-1411.07,-142.872,0.45,0.05,0.5,cash
balanced,11637.3,16.37,1166,138,9.12,0.6,-1420.09,-142.8834,0.65,0.0,0.5,cash
balanced,11637.3,16.37,1166,138,9.12,0.6,-1420.09,-142.8834,0.65,0.05,0.5,cash
balanced,11637.3,16.37,1166,138,9.12,0.6,-1420.09,-142.8834,0.65,0.1,0.5,cash
balanced,12538.24,25.38,1166,230,10.43,0.746,-1411.08,-142.9136,0.45,0.0,0.5,cash
balanced,11954.44,19.54,1166,205,7.99,0.778,-1416.92,-142.9228,0.45,0.1,0.375,cash
balanced,11965.61,19.66,1166,208,7.98,0.782,-1416.8,-142.9356,0.45,0.0,0.375,cash
balanced,11953.04,19.53,1166,208,7.98,0.777,-1416.93,-142.9536,0.45,0.05,0.375,cash
balanced,11984.85,19.85,1166,175,9.78,0.553,-1416.61,-143.0316,0.45,0.1,0.375,hold
balanced,11978.44,19.78,1166,181,9.79,0.552,-1416.68,-143.1008,0.45,0.05,0.375,hold
balanced,12376.61,23.77,1166,184,12.73,0.505,-1412.69,-143.1316,0.45,0.1,0.5,hold
balanced,12426.95,24.27,1166,196,12.81,0.513,-1412.19,-143.2032,0.45,0.05,0.5,hold
