signal_date,trade_date,trade_price,market_close,predicted_signal,confidence,bullish_probability,trend_filter_passed,target_allocation,action,cash,shares,position_value,portfolio_value,explanation
2024-05-31,2024-06-03,113.56306583418551,114.94136047363281,BUY_AND_HOLD,1.0,1.0,True,1.0,BUY,105.18835234113794,87,9999.898361206055,10105.086713547193,Benchmark entered at next-day open with trading costs and then held.
2024-06-03,2024-06-04,115.65699910856021,116.37762451171875,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,105.18835234113794,87,10124.853332519531,10230.04168486067,Benchmark entered at next-day open with trading costs and then held.
2024-06-04,2024-06-05,118.31064561773049,122.37757110595703,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,105.18835234113794,87,10646.848686218262,10752.0370385594,Benchmark entered at next-day open with trading costs and then held.
2024-06-05,2024-06-06,123.98473454180629,120.93629455566406,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,105.18835234113794,87,10521.457626342773,10626.645978683911,Benchmark entered at next-day open with trading costs and then held.
2024-06-06,2024-06-07,119.70892124903274,120.82635498046875,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,105.18835234113794,87,10511.892883300781,10617.08123564192,Benchmark entered at next-day open with trading costs and then held.
2024-06-07,2024-06-10,120.30862356189567,121.72789764404297,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,105.18835234113794,87,10590.327095031738,10695.515447372876,Benchmark entered at next-day open with trading costs and then held.
2024-06-10,2024-06-11,121.71790142895497,120.8582763671875,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,105.18835234113794,87,10514.670043945312,10619.85839628645,Benchmark entered at next-day open with trading costs and then held.
2024-06-11,2024-06-12,123.00735466296415,125.14643859863281,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,105.18835234113794,87,10887.740158081055,10992.928510422193,Benchmark entered at next-day open with trading costs and then held.
2024-06-12,2024-06-13,129.33464307228707,129.55455017089844,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,105.18835234113794,87,11271.245864868164,11376.434217209302,Benchmark entered at next-day open with trading costs and then held.
2024-06-13,2024-06-14,129.90441625095465,131.82359313964844,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,105.18835234113794,87,11468.652603149414,11573.840955490552,Benchmark entered at next-day open with trading costs and then held.
2024-06-14,2024-06-17,132.9331153831068,130.92396545410156,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,105.18835234113794,87,11390.384994506836,11495.573346847974,Benchmark entered at next-day open with trading costs and then held.
2024-06-17,2024-06-18,131.08388532556722,135.52198791503906,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,105.18835234113794,87,11790.412948608398,11895.601300949536,Benchmark entered at next-day open with trading costs and then held.
2024-06-18,2024-06-20,139.74020619139688,130.72406005859375,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,105.18835234113794,87,11372.993225097656,11478.181577438794,Benchmark entered at next-day open with trading costs and then held.
2024-06-20,2024-06-21,127.0656139833598,126.5158462524414,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,105.18835234113794,87,11006.878623962402,11112.06697630354,Benchmark entered at next-day open with trading costs and then held.
2024-06-21,2024-06-24,123.18725776161229,118.05945587158203,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,105.18835234113794,87,10271.172660827637,10376.361013168775,Benchmark entered at next-day open with trading costs and then held.
2024-06-24,2024-06-25,121.14814167969276,126.03604888916016,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,105.18835234113794,87,10965.136253356934,11070.324605698072,Benchmark entered at next-day open with trading costs and then held.
2024-06-25,2024-06-26,126.07603561970313,126.3459243774414,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,105.18835234113794,87,10992.095420837402,11097.28377317854,Benchmark entered at next-day open with trading costs and then held.
2024-06-26,2024-06-27,124.04689659574252,123.93694305419922,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,105.18835234113794,87,10782.514045715332,10887.70239805647,Benchmark entered at next-day open with trading costs and then held.
2024-06-27,2024-06-28,124.52670042256338,123.48714447021484,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,105.18835234113794,87,10743.381568908691,10848.56992124983,Benchmark entered at next-day open with trading costs and then held.
