trader,final_portfolio_value,return_pct,num_days,num_trades,max_drawdown_pct,sharpe_like,excess_return_vs_bh,selection_score,min_bull_probability,min_probability_margin,max_allocation,neutral_behavior
conservative,11670.6,16.71,1166,101,4.63,0.771,-1419.75,-141.7696,0.65,0.0,0.25,hold
conservative,11670.6,16.71,1166,101,4.63,0.771,-1419.75,-141.7696,0.65,0.05,0.25,hold
conservative,11670.6,16.71,1166,101,4.63,0.771,-1419.75,-141.7696,0.65,0.1,0.25,hold
conservative,11181.22,11.81,1166,92,3.61,0.732,-1424.65,-142.1662,0.65,0.0,0.1875,hold
conservative,11181.22,11.81,1166,92,3.61,0.732,-1424.65,-142.1662,0.65,0.05,0.1875,hold
conservative,11181.22,11.81,1166,92,3.61,0.732,-1424.65,-142.1662,0.65,0.1,0.1875,hold
conservative,11094.83,10.95,1166,107,3.85,0.639,-1425.51,-142.444,0.55,0.0,0.1875,hold
conservative,11094.83,10.95,1166,107,3.85,0.639,-1425.51,-142.444,0.55,0.05,0.1875,hold
conservative,11094.83,10.95,1166,107,3.85,0.639,-1425.51,-142.444,0.55,0.1,0.1875,hold
conservative,11161.6,11.62,1166,151,3.8,0.927,-1424.84,-142.523,0.45,0.0,0.1875,cash
conservative,11155.23,11.55,1166,151,3.78,0.923,-1424.91,-142.5316,0.45,0.1,0.1875,cash
conservative,11155.29,11.55,1166,151,3.8,0.922,-1424.91,-142.535,0.45,0.05,0.1875,cash
conservative,11584.22,15.84,1166,151,6.36,0.756,-1420.62,-142.5792,0.45,0.0,0.25,hold
conservative,11355.43,13.55,1166,122,5.76,0.593,-1422.91,-142.6092,0.55,0.0,0.25,hold
conservative,11355.43,13.55,1166,122,5.76,0.593,-1422.91,-142.6092,0.55,0.05,0.25,hold
conservative,11355.43,13.55,1166,122,5.76,0.593,-1422.91,-142.6092,0.55,0.1,0.25,hold
conservative,11479.21,14.79,1166,179,5.25,0.883,-1421.67,-142.704,0.45,0.0,0.25,cash
conservative,11470.35,14.7,1166,179,5.25,0.878,-1421.76,-142.718,0.45,0.05,0.25,cash
conservative,11470.26,14.7,1166,179,5.26,0.878,-1421.76,-142.7192,0.45,0.1,0.25,cash
conservative,11141.6,11.42,1166,131,5.46,0.735,-1425.04,-142.7342,0.45,0.0,0.1875,hold
conservative,11188.51,11.89,1166,151,4.85,0.776,-1424.57,-142.773,0.55,0.0,0.25,cash
conservative,11188.51,11.89,1166,151,4.85,0.776,-1424.57,-142.773,0.55,0.05,0.25,cash
conservative,11188.51,11.89,1166,151,4.85,0.776,-1424.57,-142.773,0.55,0.1,0.25,cash
conservative,10867.5,8.67,1166,136,3.52,0.757,-1427.79,-142.8044,0.55,0.0,0.1875,cash
conservative,10867.5,8.67,1166,136,3.52,0.757,-1427.79,-142.8044,0.55,0.05,0.1875,cash
conservative,10867.5,8.67,1166,136,3.52,0.757,-1427.79,-142.8044,0.55,0.1,0.1875,cash
conservative,11356.79,13.57,1166,147,6.36,0.566,-1422.89,-142.9562,0.45,0.1,0.25,hold
conservative,11362.91,13.63,1166,149,6.36,0.568,-1422.83,-142.9682,0.45,0.05,0.25,hold
conservative,10594.47,5.94,1166,111,3.54,0.592,-1430.52,-142.9948,0.65,0.0,0.1875,cash
conservative,10594.47,5.94,1166,111,3.54,0.592,-1430.52,-142.9948,0.65,0.05,0.1875,cash
conservative,10594.47,5.94,1166,111,3.54,0.592,-1430.52,-142.9948,0.65,0.1,0.1875,cash
conservative,10785.7,7.86,1166,121,4.64,0.59,-1428.6,-143.0368,0.65,0.0,0.25,cash
conservative,10785.7,7.86,1166,121,4.64,0.59,-1428.6,-143.0368,0.65,0.05,0.25,cash
conservative,10785.7,7.86,1166,121,4.64,0.59,-1428.6,-143.0368,0.65,0.1,0.25,cash
conservative,10968.11,9.68,1166,127,5.45,0.543,-1426.78,-143.059,0.45,0.1,0.1875,hold
conservative,10972.57,9.73,1166,129,5.45,0.546,-1426.73,-143.071,0.45,0.05,0.1875,hold
