trader,final_portfolio_value,return_pct,num_days,num_trades,max_drawdown_pct,sharpe_like,excess_return_vs_bh,selection_score,min_bull_probability,min_probability_margin,max_allocation,neutral_behavior
aggressive,15071.56,50.72,1166,279,25.32,0.616,-58.82,-10.0944,0.65,0.0,0.8,hold
aggressive,15071.56,50.72,1166,279,25.32,0.616,-58.82,-10.0944,0.65,0.05,0.8,hold
aggressive,15071.56,50.72,1166,279,25.32,0.616,-58.82,-10.0944,0.65,0.1,0.8,hold
aggressive,13753.79,37.54,1166,261,19.45,0.617,-72.0,-10.527,0.65,0.0,0.6,hold
aggressive,13753.79,37.54,1166,261,19.45,0.617,-72.0,-10.527,0.65,0.05,0.6,hold
aggressive,13753.79,37.54,1166,261,19.45,0.617,-72.0,-10.527,0.65,0.1,0.6,hold
aggressive,13169.36,31.69,1166,297,22.39,0.527,-77.85,-11.9148,0.55,0.0,0.6,hold
aggressive,13169.36,31.69,1166,297,22.39,0.527,-77.85,-11.9148,0.55,0.05,0.6,hold
aggressive,13169.36,31.69,1166,297,22.39,0.527,-77.85,-11.9148,0.55,0.1,0.6,hold
aggressive,14152.38,41.52,1166,318,29.1,0.523,-68.02,-11.951,0.55,0.0,0.8,hold
aggressive,14152.38,41.52,1166,318,29.1,0.523,-68.02,-11.951,0.55,0.05,0.8,hold
aggressive,14152.38,41.52,1166,318,29.1,0.523,-68.02,-11.951,0.55,0.1,0.8,hold
aggressive,12857.54,28.58,1166,320,23.55,0.481,-80.96,-12.641,0.45,0.05,0.6,hold
aggressive,12661.43,26.61,1166,312,23.55,0.454,-82.93,-12.785,0.45,0.1,0.6,hold
aggressive,12613.46,26.13,1166,328,23.55,0.452,-83.41,-12.995,0.45,0.0,0.6,hold
aggressive,13462.07,34.62,1166,349,30.53,0.456,-74.92,-13.1896,0.45,0.05,0.8,hold
aggressive,13133.87,31.34,1166,337,30.53,0.424,-78.2,-13.4296,0.45,0.1,0.8,hold
aggressive,13083.95,30.84,1166,356,30.53,0.422,-78.7,-13.6716,0.45,0.0,0.8,hold
aggressive,10800.34,8.0,1166,331,15.37,0.219,-101.54,-14.0894,0.65,0.0,0.6,cash
aggressive,10800.34,8.0,1166,331,15.37,0.219,-101.54,-14.0894,0.65,0.05,0.6,cash
aggressive,10800.34,8.0,1166,331,15.37,0.219,-101.54,-14.0894,0.65,0.1,0.6,cash
aggressive,11014.29,10.14,1166,349,20.01,0.225,-99.4,-14.6062,0.65,0.0,0.8,cash
aggressive,11014.29,10.14,1166,349,20.01,0.225,-99.4,-14.6062,0.65,0.05,0.8,cash
aggressive,11014.29,10.14,1166,349,20.01,0.225,-99.4,-14.6062,0.65,0.1,0.8,cash
aggressive,10501.33,5.01,1166,361,16.99,0.154,-104.53,-14.9478,0.55,0.0,0.6,cash
aggressive,10501.33,5.01,1166,361,16.99,0.154,-104.53,-14.9478,0.55,0.05,0.6,cash
aggressive,10501.33,5.01,1166,361,16.99,0.154,-104.53,-14.9478,0.55,0.1,0.6,cash
aggressive,10544.42,5.44,1166,391,16.91,0.161,-104.1,-15.1882,0.45,0.1,0.6,cash
aggressive,10590.35,5.9,1166,401,16.91,0.169,-103.64,-15.2342,0.45,0.0,0.6,cash
aggressive,10556.36,5.56,1166,398,16.91,0.163,-103.98,-15.2442,0.45,0.05,0.6,cash
aggressive,10510.03,5.1,1166,382,22.1,0.147,-104.44,-15.769,0.55,0.0,0.8,cash
aggressive,10510.03,5.1,1166,382,22.1,0.147,-104.44,-15.769,0.55,0.05,0.8,cash
aggressive,10510.03,5.1,1166,382,22.1,0.147,-104.44,-15.769,0.55,0.1,0.8,cash
aggressive,10617.84,6.18,1166,424,21.83,0.163,-103.36,-16.0326,0.45,0.0,0.8,cash
aggressive,10490.39,4.9,1166,413,22.36,0.144,-104.64,-16.1332,0.45,0.1,0.8,cash
aggressive,10512.8,5.13,1166,422,22.43,0.148,-104.41,-16.2046,0.45,0.05,0.8,cash
