trader,final_portfolio_value,return_pct,num_days,num_trades,max_drawdown_pct,sharpe_like,excess_return_vs_bh,selection_score,min_bull_probability,min_probability_margin,max_allocation,neutral_behavior
balanced,12868.86,28.69,1166,163,9.84,0.724,-80.85,-9.1718,0.45,0.1,0.5,hold
balanced,12826.66,28.27,1166,164,9.68,0.741,-81.27,-9.1876,0.55,0.0,0.5,hold
balanced,12826.66,28.27,1166,164,9.68,0.741,-81.27,-9.1876,0.55,0.05,0.5,hold
balanced,12826.66,28.27,1166,164,9.68,0.741,-81.27,-9.1876,0.55,0.1,0.5,hold
balanced,12609.87,26.1,1166,138,10.75,0.72,-83.44,-9.294,0.65,0.0,0.5,hold
balanced,12609.87,26.1,1166,138,10.75,0.72,-83.44,-9.294,0.65,0.05,0.5,hold
balanced,12609.87,26.1,1166,138,10.75,0.72,-83.44,-9.294,0.65,0.1,0.5,hold
balanced,12060.6,20.61,1166,128,8.02,0.767,-88.93,-9.3684,0.65,0.0,0.375,hold
balanced,12060.6,20.61,1166,128,8.02,0.767,-88.93,-9.3684,0.65,0.05,0.375,hold
balanced,12060.6,20.61,1166,128,8.02,0.767,-88.93,-9.3684,0.65,0.1,0.375,hold
balanced,12758.37,27.58,1166,174,9.72,0.703,-81.96,-9.3994,0.45,0.0,0.5,hold
balanced,12740.22,27.4,1166,174,9.68,0.699,-82.14,-9.4166,0.45,0.05,0.5,hold
balanced,12109.45,21.09,1166,153,6.99,0.726,-88.45,-9.4878,0.45,0.1,0.375,hold
balanced,12072.97,20.73,1166,153,7.41,0.74,-88.81,-9.5602,0.55,0.0,0.375,hold
balanced,12072.97,20.73,1166,153,7.41,0.74,-88.81,-9.5602,0.55,0.05,0.375,hold
balanced,12072.97,20.73,1166,153,7.41,0.74,-88.81,-9.5602,0.55,0.1,0.375,hold
balanced,12003.3,20.03,1166,157,6.88,0.698,-89.51,-9.6486,0.45,0.0,0.375,hold
balanced,12015.53,20.16,1166,160,7.01,0.701,-89.38,-9.6782,0.45,0.05,0.375,hold
balanced,9928.6,-0.71,1166,174,8.22,-0.016,-110.25,-12.7674,0.65,0.0,0.375,cash
balanced,9928.6,-0.71,1166,174,8.22,-0.016,-110.25,-12.7674,0.65,0.05,0.375,cash
balanced,9928.6,-0.71,1166,174,8.22,-0.016,-110.25,-12.7674,0.65,0.1,0.375,cash
balanced,9867.32,-1.33,1166,197,8.77,-0.044,-110.87,-13.1534,0.55,0.0,0.375,cash
balanced,9867.32,-1.33,1166,197,8.77,-0.044,-110.87,-13.1534,0.55,0.05,0.375,cash
balanced,9867.32,-1.33,1166,197,8.77,-0.044,-110.87,-13.1534,0.55,0.1,0.375,cash
balanced,9872.76,-1.27,1166,206,9.03,-0.04,-110.81,-13.2646,0.45,0.0,0.375,cash
balanced,9872.76,-1.27,1166,206,9.03,-0.04,-110.81,-13.2646,0.45,0.05,0.375,cash
balanced,9833.04,-1.67,1166,204,9.15,-0.059,-111.21,-13.318,0.45,0.1,0.375,cash
balanced,9804.29,-1.96,1166,182,10.94,-0.047,-111.5,-13.3298,0.65,0.0,0.5,cash
balanced,9804.29,-1.96,1166,182,10.94,-0.047,-111.5,-13.3298,0.65,0.05,0.5,cash
balanced,9804.29,-1.96,1166,182,10.94,-0.047,-111.5,-13.3298,0.65,0.1,0.5,cash
balanced,9790.99,-2.09,1166,203,11.64,-0.049,-111.63,-13.6388,0.55,0.0,0.5,cash
balanced,9790.99,-2.09,1166,203,11.64,-0.049,-111.63,-13.6388,0.55,0.05,0.5,cash
balanced,9790.99,-2.09,1166,203,11.64,-0.049,-111.63,-13.6388,0.55,0.1,0.5,cash
balanced,9810.0,-1.9,1166,222,11.63,-0.038,-111.44,-13.7976,0.45,0.0,0.5,cash
balanced,9747.95,-2.52,1166,216,12.18,-0.061,-112.06,-13.8886,0.45,0.1,0.5,cash
balanced,9774.82,-2.25,1166,222,12.08,-0.051,-111.79,-13.8996,0.45,0.05,0.5,cash
