signal_date,trade_date,trade_price,market_close,predicted_signal,confidence,bullish_probability,trend_filter_passed,target_allocation,action,cash,shares,position_value,portfolio_value,explanation
2024-05-31,2024-06-03,109.64893810836958,107.90473175048828,BUY_AND_HOLD,1.0,1.0,True,1.0,BUY,6.974563059891807,91,9819.330589294434,9826.305152354325,Benchmark entered at next-day open with trading costs and then held.
2024-06-03,2024-06-04,106.5376460889923,106.22651672363281,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,6.974563059891807,91,9666.613021850586,9673.587584910478,Benchmark entered at next-day open with trading costs and then held.
2024-06-04,2024-06-05,106.43394526340778,106.65079498291016,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,6.974563059891807,91,9705.222343444824,9712.196906504716,Benchmark entered at next-day open with trading costs and then held.
2024-06-05,2024-06-06,106.30195584483778,107.45218658447266,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,6.974563059891807,91,9778.148979187012,9785.123542246904,Benchmark entered at next-day open with trading costs and then held.
2024-06-06,2024-06-07,107.28248062683475,106.30195617675781,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,6.974563059891807,91,9673.478012084961,9680.452575144853,Benchmark entered at next-day open with trading costs and then held.
2024-06-07,2024-06-10,106.59423026331471,106.61309051513672,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,6.974563059891807,91,9701.791236877441,9708.765799937333,Benchmark entered at next-day open with trading costs and then held.
2024-06-10,2024-06-11,106.05682623906173,105.755126953125,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,6.974563059891807,91,9623.716552734375,9630.691115794267,Benchmark entered at next-day open with trading costs and then held.
2024-06-11,2024-06-12,106.82051718631816,104.58605194091797,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,6.974563059891807,91,9517.330726623535,9524.305289683427,Benchmark entered at next-day open with trading costs and then held.
2024-06-12,2024-06-13,104.50116985306731,103.7469253540039,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,6.974563059891807,91,9440.970207214355,9447.944770274247,Benchmark entered at next-day open with trading costs and then held.
2024-06-13,2024-06-14,103.72807922019946,102.87012481689453,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,6.974563059891807,91,9361.181358337402,9368.155921397294,Benchmark entered at next-day open with trading costs and then held.
