trader,final_portfolio_value,return_pct,num_days,num_trades,max_drawdown_pct,sharpe_like,excess_return_vs_bh,selection_score,min_bull_probability,min_probability_margin,max_allocation,neutral_behavior
conservative,11495.44,14.95,1166,130,4.77,0.773,-94.59,-9.5584,0.45,0.1,0.25,hold
conservative,11027.46,10.27,1166,87,3.63,0.797,-99.27,-9.5656,0.65,0.0,0.1875,hold
conservative,11027.46,10.27,1166,87,3.63,0.797,-99.27,-9.5656,0.65,0.05,0.1875,hold
conservative,11027.46,10.27,1166,87,3.63,0.797,-99.27,-9.5656,0.65,0.1,0.1875,hold
conservative,11335.27,13.35,1166,113,5.11,0.779,-96.19,-9.5832,0.65,0.0,0.25,hold
conservative,11335.27,13.35,1166,113,5.11,0.779,-96.19,-9.5832,0.65,0.05,0.25,hold
conservative,11335.27,13.35,1166,113,5.11,0.779,-96.19,-9.5832,0.65,0.1,0.25,hold
conservative,11107.1,11.07,1166,114,3.51,0.786,-98.47,-9.6222,0.45,0.1,0.1875,hold
conservative,11360.76,13.61,1166,123,4.73,0.738,-95.93,-9.6526,0.55,0.0,0.25,hold
conservative,11360.76,13.61,1166,123,4.73,0.738,-95.93,-9.6526,0.55,0.05,0.25,hold
conservative,11360.76,13.61,1166,123,4.73,0.738,-95.93,-9.6526,0.55,0.1,0.25,hold
conservative,10944.56,9.45,1166,105,3.45,0.693,-100.09,-9.78,0.55,0.0,0.1875,hold
conservative,10944.56,9.45,1166,105,3.45,0.693,-100.09,-9.78,0.55,0.05,0.1875,hold
conservative,10944.56,9.45,1166,105,3.45,0.693,-100.09,-9.78,0.55,0.1,0.1875,hold
conservative,11025.21,10.25,1166,117,3.52,0.734,-99.29,-9.7874,0.45,0.0,0.1875,hold
conservative,11386.83,13.87,1166,138,4.79,0.723,-95.67,-9.7988,0.45,0.05,0.25,hold
conservative,11034.62,10.35,1166,121,3.52,0.74,-99.19,-9.8114,0.45,0.05,0.1875,hold
conservative,11304.77,13.05,1166,137,4.82,0.683,-96.49,-9.9144,0.45,0.0,0.25,hold
conservative,10086.19,0.86,1166,135,3.86,0.1,-108.68,-11.5812,0.65,0.0,0.1875,cash
conservative,10086.19,0.86,1166,135,3.86,0.1,-108.68,-11.5812,0.65,0.05,0.1875,cash
conservative,10086.19,0.86,1166,135,3.86,0.1,-108.68,-11.5812,0.65,0.1,0.1875,cash
conservative,9945.49,-0.55,1166,150,4.07,-0.044,-110.09,-12.0414,0.55,0.0,0.1875,cash
conservative,9945.49,-0.55,1166,150,4.07,-0.044,-110.09,-12.0414,0.55,0.05,0.1875,cash
conservative,9945.49,-0.55,1166,150,4.07,-0.044,-110.09,-12.0414,0.55,0.1,0.1875,cash
conservative,9980.63,-0.19,1166,165,4.13,-0.008,-109.73,-12.1266,0.45,0.0,0.1875,cash
conservative,9980.63,-0.19,1166,165,4.13,-0.008,-109.73,-12.1266,0.45,0.05,0.1875,cash
conservative,9979.41,-0.21,1166,165,4.13,-0.01,-109.75,-12.1306,0.45,0.1,0.1875,cash
conservative,9974.5,-0.25,1166,158,5.35,-0.006,-109.79,-12.207,0.65,0.0,0.25,cash
conservative,9974.5,-0.25,1166,158,5.35,-0.006,-109.79,-12.207,0.65,0.05,0.25,cash
conservative,9974.5,-0.25,1166,158,5.35,-0.006,-109.79,-12.207,0.65,0.1,0.25,cash
conservative,9914.5,-0.85,1166,169,5.86,-0.05,-110.39,-12.4822,0.55,0.0,0.25,cash
conservative,9914.5,-0.85,1166,169,5.86,-0.05,-110.39,-12.4822,0.55,0.05,0.25,cash
conservative,9914.5,-0.85,1166,169,5.86,-0.05,-110.39,-12.4822,0.55,0.1,0.25,cash
conservative,9925.72,-0.74,1166,181,6.03,-0.039,-110.28,-12.6006,0.45,0.0,0.25,cash
conservative,9925.72,-0.74,1166,181,6.03,-0.039,-110.28,-12.6006,0.45,0.05,0.25,cash
conservative,9924.5,-0.76,1166,181,6.03,-0.04,-110.3,-12.6036,0.45,0.1,0.25,cash
