feature,importance
atr_14,0.084673826849512
ma50_gap,0.0758572592059674
ret_10,0.07479703516648072
ma20_gap,0.06529102478096188
spy_ma50_gap,0.06252153571675532
ret_20,0.061741671603012756
rsi_14,0.0615216743878728
relative_strength_20,0.06121128995234406
volatility_10,0.059929172815489394
high_low_range,0.05949894622636974
overnight_gap,0.05799937819845201
excess_return,0.0451008214687191
ret_5,0.04422557076838388
spy_return,0.04123565654667061
return,0.0386881517157926
ret_3,0.03802284385734184
ma5_gap,0.03565860036579022
volume_change,0.03202554037408355
