signal_date,trade_date,trade_price,market_close,predicted_signal,confidence,bullish_probability,trend_filter_passed,target_allocation,action,cash,shares,position_value,portfolio_value,explanation
2023-08-21,2023-08-22,175.00895776189057,175.17698669433594,BUY_AND_HOLD,1.0,1.0,True,1.0,BUY,9.521153928300919,57,9985.088241577148,9994.60939550545,Benchmark entered at next-day open with trading costs and then held.
2023-08-22,2023-08-23,176.45206899868776,179.02194213867188,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,9.521153928300919,57,10204.250701904297,10213.771855832598,Benchmark entered at next-day open with trading costs and then held.
2023-08-23,2023-08-24,178.57712060131817,174.33682250976562,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,9.521153928300919,57,9937.19888305664,9946.720036984942,Benchmark entered at next-day open with trading costs and then held.
2023-08-24,2023-08-25,175.3252679389123,176.541015625,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,9.521153928300919,57,10062.837890625,10072.359044553301,Benchmark entered at next-day open with trading costs and then held.
2023-08-25,2023-08-28,178.003859262239,178.1027069091797,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,9.521153928300919,57,10151.854293823242,10161.375447751543,Benchmark entered at next-day open with trading costs and then held.
2023-08-28,2023-08-29,177.61838490226515,181.9871826171875,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,9.521153928300919,57,10373.269409179688,10382.790563107988,Benchmark entered at next-day open with trading costs and then held.
2023-08-29,2023-08-30,182.7976884731864,185.47628784179688,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,9.521153928300919,57,10572.148406982422,10581.669560910723,Benchmark entered at next-day open with trading costs and then held.
2023-08-30,2023-08-31,185.6641048225717,185.69375610351562,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,9.521153928300919,57,10584.54409790039,10594.065251828692,Benchmark entered at next-day open with trading costs and then held.
2023-08-31,2023-09-01,187.29497110047913,187.26531982421875,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,9.521153928300919,57,10674.123229980469,10683.64438390877,Benchmark entered at next-day open with trading costs and then held.
2023-09-01,2023-09-05,186.09899903788357,187.50254821777344,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,9.521153928300919,57,10687.645248413086,10697.166402341387,Benchmark entered at next-day open with trading costs and then held.
2023-09-05,2023-09-06,186.21759365485326,180.79119873046875,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,9.521153928300919,57,10305.098327636719,10314.61948156502,Benchmark entered at next-day open with trading costs and then held.
2023-09-06,2023-09-07,173.15075355684382,175.50318908691406,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,9.521153928300919,57,10003.681777954102,10013.202931882402,Benchmark entered at next-day open with trading costs and then held.
2023-09-07,2023-09-08,176.2840260730559,176.11598205566406,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,9.521153928300919,57,10038.610977172852,10048.132131101152,Benchmark entered at next-day open with trading costs and then held.
2023-09-08,2023-09-11,177.98408488615974,177.2823028564453,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,9.521153928300919,57,10105.091262817383,10114.612416745684,Benchmark entered at next-day open with trading costs and then held.
2023-09-11,2023-09-12,177.4108165912451,174.2577667236328,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,9.521153928300919,57,9932.69270324707,9942.213857175371,Benchmark entered at next-day open with trading costs and then held.
2023-09-12,2023-09-13,174.46530026870357,172.19195556640625,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,9.521153928300919,57,9814.941467285156,9824.462621213457,Benchmark entered at next-day open with trading costs and then held.
2023-09-13,2023-09-14,171.98441978182902,173.7042694091797,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,9.521153928300919,57,9901.143356323242,9910.664510251543,Benchmark entered at next-day open with trading costs and then held.
2023-09-14,2023-09-15,174.4356540223445,172.98268127441406,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,9.521153928300919,57,9860.012832641602,9869.533986569902,Benchmark entered at next-day open with trading costs and then held.
2023-09-15,2023-09-18,174.4356864419302,175.90843200683594,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,9.521153928300919,57,10026.780624389648,10036.30177831795,Benchmark entered at next-day open with trading costs and then held.
2023-09-18,2023-09-19,175.46361863431386,176.99566650390625,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,9.521153928300919,57,10088.752990722656,10098.274144650957,Benchmark entered at next-day open with trading costs and then held.
2023-09-19,2023-09-20,177.18345571133617,173.45713806152344,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,9.521153928300919,57,9887.056869506836,9896.578023435137,Benchmark entered at next-day open with trading costs and then held.
2023-09-20,2023-09-21,172.52805046683002,171.91522216796875,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,9.521153928300919,57,9799.167663574219,9808.68881750252,Benchmark entered at next-day open with trading costs and then held.
2023-09-21,2023-09-22,172.6466384244914,172.76524353027344,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,9.521153928300919,57,9847.618881225586,9857.140035153887,Benchmark entered at next-day open with trading costs and then held.
2023-09-22,2023-09-25,172.1820865728236,174.04031372070312,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,9.521153928300919,57,9920.297882080078,9929.819036008379,Benchmark entered at next-day open with trading costs and then held.
2023-09-25,2023-09-26,172.7949188930673,169.96804809570312,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,9.521153928300919,57,9688.178741455078,9697.699895383379,Benchmark entered at next-day open with trading costs and then held.
2023-09-26,2023-09-27,170.62036773962245,168.4557342529297,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,9.521153928300919,57,9601.976852416992,9611.498006345293,Benchmark entered at next-day open with trading costs and then held.
2023-09-27,2023-09-28,167.37838547451082,168.71275329589844,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,9.521153928300919,57,9616.626937866211,9626.148091794512,Benchmark entered at next-day open with trading costs and then held.
2023-09-28,2023-09-29,170.02731432787635,169.22669982910156,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,9.521153928300919,57,9645.921890258789,9655.44304418709,Benchmark entered at next-day open with trading costs and then held.
2023-09-29,2023-10-02,169.23658298137698,171.73727416992188,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,9.521153928300919,57,9789.024627685547,9798.545781613848,Benchmark entered at next-day open with trading costs and then held.
2023-10-02,2023-10-03,170.26456118455488,170.40293884277344,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,9.521153928300919,57,9712.967514038086,9722.488667966387,Benchmark entered at next-day open with trading costs and then held.
2023-10-03,2023-10-04,169.10812432832188,171.6483612060547,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,9.521153928300919,57,9783.956588745117,9793.477742673418,Benchmark entered at next-day open with trading costs and then held.
2023-10-04,2023-10-05,171.77684421895017,172.88388061523438,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,9.521153928300919,57,9854.38119506836,9863.90234899666,Benchmark entered at next-day open with trading costs and then held.
2023-10-05,2023-10-06,171.78674735969838,175.4340057373047,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,9.521153928300919,57,9999.738327026367,10009.259480954668,Benchmark entered at next-day open with trading costs and then held.
2023-10-06,2023-10-09,174.76185568517045,176.91661071777344,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,9.521153928300919,57,10084.246810913086,10093.767964841387,Benchmark entered at next-day open with trading costs and then held.
2023-10-09,2023-10-10,176.03692856454262,176.3235626220703,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,9.521153928300919,57,10050.443069458008,10059.964223386309,Benchmark entered at next-day open with trading costs and then held.
2023-10-10,2023-10-11,176.13575227199846,177.71722412109375,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,9.521153928300919,57,10129.881774902344,10139.402928830645,Benchmark entered at next-day open with trading costs and then held.
2023-10-11,2023-10-12,177.98409824545533,178.61668395996094,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,9.521153928300919,57,10181.150985717773,10190.672139646074,Benchmark entered at next-day open with trading costs and then held.
2023-10-12,2023-10-13,179.31845034069394,176.77822875976562,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,9.521153928300919,57,10076.35903930664,10085.880193234942,Benchmark entered at next-day open with trading costs and then held.
2023-10-13,2023-10-16,174.70255348644375,176.6497344970703,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,9.521153928300919,57,10069.034866333008,10078.556020261309,Benchmark entered at next-day open with trading costs and then held.
