signal_date,trade_date,trade_price,market_close,predicted_signal,confidence,bullish_probability,trend_filter_passed,target_allocation,action,cash,shares,position_value,portfolio_value,explanation
2023-08-21,2023-08-22,319.3396208763862,316.3571472167969,NEUTRAL_SIGNAL,0.5190907872973008,0.4037186526038501,True,0.0,HOLD,10000.0,0,0.0,10000.0,"Aggressive trader saw NEUTRAL_SIGNAL with bullish_probability=0.40, confidence=0.52, probability_margin=0.12, trend_filter_passed=True, rule=neutral_hold, target_allocation=0.00%."
2023-08-22,2023-08-23,317.69137970947685,320.8111877441406,NEUTRAL_SIGNAL,0.8018573789676887,0.01722855970901606,True,0.0,HOLD,10000.0,0,0.0,10000.0,"Aggressive trader saw NEUTRAL_SIGNAL with bullish_probability=0.02, confidence=0.80, probability_margin=0.62, trend_filter_passed=True, rule=neutral_hold, target_allocation=0.00%."
2023-08-23,2023-08-24,326.55054687218063,313.914306640625,NEUTRAL_SIGNAL,0.407869464049732,0.33841746440921466,True,0.0,HOLD,10000.0,0,0.0,10000.0,"Aggressive trader saw NEUTRAL_SIGNAL with bullish_probability=0.34, confidence=0.41, probability_margin=0.07, trend_filter_passed=True, rule=neutral_hold, target_allocation=0.00%."
2023-08-24,2023-08-25,315.3858781640861,316.8673095703125,BULLISH_SIGNAL,0.890656915767747,0.890656915767747,True,0.6056122946982169,BUY,3998.6768211888457,19,6020.4788818359375,10019.155703024782,"Aggressive trader saw BULLISH_SIGNAL with bullish_probability=0.89, confidence=0.89, probability_margin=0.79, trend_filter_passed=True, rule=bullish_signal, target_allocation=60.56%."
2023-08-25,2023-08-28,319.49656611253965,317.57366943359375,NEUTRAL_SIGNAL,0.45653817775539424,0.4502335942336976,True,0.6028768982764301,HOLD,3998.6768211888457,19,6033.899719238281,10032.576540427126,"Aggressive trader saw NEUTRAL_SIGNAL with bullish_probability=0.45, confidence=0.46, probability_margin=0.01, trend_filter_passed=True, rule=neutral_hold, target_allocation=60.29%."
2023-08-28,2023-08-29,315.7881368695037,322.1945495605469,NEUTRAL_SIGNAL,0.9648843073791173,0.011784743731299657,True,0.6000783853203663,HOLD,3998.6768211888457,19,6121.696441650391,10120.373262839235,"Aggressive trader saw NEUTRAL_SIGNAL with bullish_probability=0.01, confidence=0.96, probability_margin=0.94, trend_filter_passed=True, rule=neutral_hold, target_allocation=60.01%."
2023-08-29,2023-08-30,322.4495976903229,322.56732177734375,BEARISH_SIGNAL,0.8117443967172834,0.13442141327812468,True,0.0,EXIT TO CASH,10116.032427041984,0,0.0,10116.032427041984,"Aggressive trader saw BEARISH_SIGNAL with bullish_probability=0.13, confidence=0.81, probability_margin=0.68, trend_filter_passed=True, rule=bearish_exit, target_allocation=0.00%."
2023-08-30,2023-08-31,322.9696033369281,321.5568542480469,BEARISH_SIGNAL,0.6618782051936809,0.08461362970278069,True,0.0,HOLD,10116.032427041984,0,0.0,10116.032427041984,"Aggressive trader saw BEARISH_SIGNAL with bullish_probability=0.08, confidence=0.66, probability_margin=0.41, trend_filter_passed=True, rule=bearish_exit, target_allocation=0.00%."
2023-08-31,2023-09-01,325.039690493004,322.4398498535156,BULLISH_SIGNAL,0.5999467429521028,0.5999467429521028,True,0.08879420969262716,BUY,9464.977601944807,2,644.8796997070312,10109.857301651838,"Aggressive trader saw BULLISH_SIGNAL with bullish_probability=0.60, confidence=0.60, probability_margin=0.40, trend_filter_passed=True, rule=bullish_signal, target_allocation=8.88%."
2023-09-01,2023-09-05,322.77336861557694,327.23724365234375,BULLISH_SIGNAL,0.47248546962767607,0.47248546962767607,True,0.06384898701344385,HOLD,9464.977601944807,2,654.4744873046875,10119.452089249495,"Aggressive trader saw BULLISH_SIGNAL with bullish_probability=0.47, confidence=0.47, probability_margin=0.08, trend_filter_passed=True, rule=neutral_hold, target_allocation=6.38%."
2023-09-05,2023-09-06,327.0704931119819,326.5799560546875,BULLISH_SIGNAL,0.6937204324279568,0.6937204324279568,True,0.25550299098303425,BUY,7827.171290010325,7,2286.0596923828125,10113.230982393137,"Aggressive trader saw BULLISH_SIGNAL with bullish_probability=0.69, confidence=0.69, probability_margin=0.40, trend_filter_passed=True, rule=bullish_signal, target_allocation=25.55%."
2023-09-06,2023-09-07,325.0200246507322,323.6661376953125,BEARISH_SIGNAL,0.4892992569347656,0.23947536237613076,True,0.0,EXIT TO CASH,10098.899889876704,0,0.0,10098.899889876704,"Aggressive trader saw BEARISH_SIGNAL with bullish_probability=0.24, confidence=0.49, probability_margin=0.22, trend_filter_passed=True, rule=bearish_exit, target_allocation=0.00%."
2023-09-07,2023-09-08,323.84278154918144,327.94366455078125,BEARISH_SIGNAL,0.7602748074896416,0.12396116255846698,True,0.0,HOLD,10098.899889876704,0,0.0,10098.899889876704,"Aggressive trader saw BEARISH_SIGNAL with bullish_probability=0.12, confidence=0.76, probability_margin=0.64, trend_filter_passed=True, rule=bearish_exit, target_allocation=0.00%."
2023-09-08,2023-09-11,330.85739514094394,331.5441589355469,BULLISH_SIGNAL,0.9077273728970551,0.9077273728970551,True,0.635959774039209,BUY,3803.176803291999,19,6299.339019775391,10102.51582306739,"Aggressive trader saw BULLISH_SIGNAL with bullish_probability=0.91, confidence=0.91, probability_margin=0.85, trend_filter_passed=True, rule=bullish_signal, target_allocation=63.60%."
