signal_date,trade_date,trade_price,market_close,predicted_signal,confidence,bullish_probability,trend_filter_passed,target_allocation,action,cash,shares,position_value,portfolio_value,explanation
2023-08-21,2023-08-22,319.3396208763862,316.3571472167969,NEUTRAL_SIGNAL,0.5190907872973008,0.4037186526038501,False,0.0,HOLD,10000.0,0,0.0,10000.0,"Balanced trader saw NEUTRAL_SIGNAL with bullish_probability=0.40, confidence=0.52, probability_margin=0.12, trend_filter_passed=False, rule=neutral_hold, target_allocation=0.00%."
2023-08-22,2023-08-23,317.69137970947685,320.8111877441406,NEUTRAL_SIGNAL,0.8018573789676887,0.01722855970901606,False,0.0,HOLD,10000.0,0,0.0,10000.0,"Balanced trader saw NEUTRAL_SIGNAL with bullish_probability=0.02, confidence=0.80, probability_margin=0.62, trend_filter_passed=False, rule=neutral_hold, target_allocation=0.00%."
2023-08-23,2023-08-24,326.55054687218063,313.914306640625,NEUTRAL_SIGNAL,0.407869464049732,0.33841746440921466,False,0.0,HOLD,10000.0,0,0.0,10000.0,"Balanced trader saw NEUTRAL_SIGNAL with bullish_probability=0.34, confidence=0.41, probability_margin=0.07, trend_filter_passed=False, rule=neutral_hold, target_allocation=0.00%."
2023-08-24,2023-08-25,315.3858781640861,316.8673095703125,BULLISH_SIGNAL,0.890656915767747,0.890656915767747,False,0.0,HOLD,10000.0,0,0.0,10000.0,"Balanced trader saw BULLISH_SIGNAL with bullish_probability=0.89, confidence=0.89, probability_margin=0.79, trend_filter_passed=False, rule=neutral_hold, target_allocation=0.00%."
2023-08-25,2023-08-28,319.49656611253965,317.57366943359375,NEUTRAL_SIGNAL,0.45653817775539424,0.4502335942336976,False,0.0,HOLD,10000.0,0,0.0,10000.0,"Balanced trader saw NEUTRAL_SIGNAL with bullish_probability=0.45, confidence=0.46, probability_margin=0.01, trend_filter_passed=False, rule=neutral_hold, target_allocation=0.00%."
2023-08-28,2023-08-29,315.7881368695037,322.1945495605469,NEUTRAL_SIGNAL,0.9648843073791173,0.011784743731299657,False,0.0,HOLD,10000.0,0,0.0,10000.0,"Balanced trader saw NEUTRAL_SIGNAL with bullish_probability=0.01, confidence=0.96, probability_margin=0.94, trend_filter_passed=False, rule=neutral_hold, target_allocation=0.00%."
2023-08-29,2023-08-30,322.4495976903229,322.56732177734375,BEARISH_SIGNAL,0.8117443967172834,0.13442141327812468,False,0.0,HOLD,10000.0,0,0.0,10000.0,"Balanced trader saw BEARISH_SIGNAL with bullish_probability=0.13, confidence=0.81, probability_margin=0.68, trend_filter_passed=False, rule=bearish_exit, target_allocation=0.00%."
2023-08-30,2023-08-31,322.9696033369281,321.5568542480469,BEARISH_SIGNAL,0.6618782051936809,0.08461362970278069,False,0.0,HOLD,10000.0,0,0.0,10000.0,"Balanced trader saw BEARISH_SIGNAL with bullish_probability=0.08, confidence=0.66, probability_margin=0.41, trend_filter_passed=False, rule=bearish_exit, target_allocation=0.00%."
2023-08-31,2023-09-01,325.039690493004,322.4398498535156,BULLISH_SIGNAL,0.5999467429521028,0.5999467429521028,False,0.0,HOLD,10000.0,0,0.0,10000.0,"Balanced trader saw BULLISH_SIGNAL with bullish_probability=0.60, confidence=0.60, probability_margin=0.40, trend_filter_passed=False, rule=neutral_hold, target_allocation=0.00%."
2023-09-01,2023-09-05,322.77336861557694,327.23724365234375,BULLISH_SIGNAL,0.47248546962767607,0.47248546962767607,False,0.0,HOLD,10000.0,0,0.0,10000.0,"Balanced trader saw BULLISH_SIGNAL with bullish_probability=0.47, confidence=0.47, probability_margin=0.08, trend_filter_passed=False, rule=neutral_hold, target_allocation=0.00%."
