signal_date,trade_date,trade_price,market_close,predicted_signal,confidence,bullish_probability,trend_filter_passed,target_allocation,action,cash,shares,position_value,portfolio_value,explanation
2023-08-21,2023-08-22,175.00895776189057,175.17698669433594,NEUTRAL_SIGNAL,0.6055311560630798,0.3285684287548065,True,0.0,HOLD,10000.0,0,0.0,10000.0,"Aggressive trader saw NEUTRAL_SIGNAL with bullish_probability=0.33, confidence=0.61, probability_margin=0.28, trend_filter_passed=True, rule=neutral_hold, target_allocation=0.00%."
2023-08-22,2023-08-23,176.45206899868776,179.02194213867188,BEARISH_SIGNAL,0.46151167154312134,0.2061711698770523,True,0.0,HOLD,10000.0,0,0.0,10000.0,"Aggressive trader saw BEARISH_SIGNAL with bullish_probability=0.21, confidence=0.46, probability_margin=0.13, trend_filter_passed=True, rule=bearish_exit, target_allocation=0.00%."
2023-08-23,2023-08-24,178.57712060131817,174.33682250976562,BULLISH_SIGNAL,0.6036229133605957,0.6036229133605957,True,0.09532962375217008,BUY,9105.774622146098,5,871.6841125488281,9977.458734694927,"Aggressive trader saw BULLISH_SIGNAL with bullish_probability=0.60, confidence=0.60, probability_margin=0.27, trend_filter_passed=True, rule=bullish_signal, target_allocation=9.53%."
2023-08-24,2023-08-25,175.3252679389123,176.541015625,NEUTRAL_SIGNAL,0.584136962890625,0.37231260538101196,True,0.08781718376627098,HOLD,9105.774622146098,5,882.705078125,9988.479700271098,"Aggressive trader saw NEUTRAL_SIGNAL with bullish_probability=0.37, confidence=0.58, probability_margin=0.21, trend_filter_passed=True, rule=neutral_hold, target_allocation=8.78%."
2023-08-25,2023-08-28,178.003859262239,178.1027069091797,NEUTRAL_SIGNAL,0.6092010140419006,0.29924675822257996,True,0.08903938032053352,HOLD,9105.774622146098,5,890.5135345458984,9996.288156691997,"Aggressive trader saw NEUTRAL_SIGNAL with bullish_probability=0.30, confidence=0.61, probability_margin=0.31, trend_filter_passed=True, rule=neutral_hold, target_allocation=8.90%."
2023-08-28,2023-08-29,177.61838490226515,181.9871826171875,NEUTRAL_SIGNAL,0.5751011967658997,0.24961784482002258,True,0.08886369658481776,HOLD,9105.774622146098,5,909.9359130859375,10015.710535232036,"Aggressive trader saw NEUTRAL_SIGNAL with bullish_probability=0.25, confidence=0.58, probability_margin=0.33, trend_filter_passed=True, rule=neutral_hold, target_allocation=8.89%."
2023-08-29,2023-08-30,182.7976884731864,185.47628784179688,NEUTRAL_SIGNAL,0.5077160596847534,0.40157973766326904,True,0.09121856839141176,HOLD,9105.774622146098,5,927.3814392089844,10033.156061355083,"Aggressive trader saw NEUTRAL_SIGNAL with bullish_probability=0.40, confidence=0.51, probability_margin=0.11, trend_filter_passed=True, rule=neutral_hold, target_allocation=9.12%."
2023-08-30,2023-08-31,185.6641048225717,185.69375610351562,NEUTRAL_SIGNAL,0.7739521265029907,0.18755343556404114,True,0.09251661565706472,HOLD,9105.774622146098,5,928.4687805175781,10034.243402663677,"Aggressive trader saw NEUTRAL_SIGNAL with bullish_probability=0.19, confidence=0.77, probability_margin=0.59, trend_filter_passed=True, rule=neutral_hold, target_allocation=9.25%."
2023-08-31,2023-09-01,187.29497110047913,187.26531982421875,NEUTRAL_SIGNAL,0.7656163573265076,0.11994708329439163,True,0.0932534944074783,HOLD,9105.774622146098,5,936.3265991210938,10042.101221267192,"Aggressive trader saw NEUTRAL_SIGNAL with bullish_probability=0.12, confidence=0.77, probability_margin=0.65, trend_filter_passed=True, rule=neutral_hold, target_allocation=9.33%."
2023-09-01,2023-09-05,186.09899903788357,187.50254821777344,NEUTRAL_SIGNAL,0.8821046352386475,0.09468812495470047,True,0.09271323217365406,HOLD,9105.774622146098,5,937.5127410888672,10043.287363234966,"Aggressive trader saw NEUTRAL_SIGNAL with bullish_probability=0.09, confidence=0.88, probability_margin=0.79, trend_filter_passed=True, rule=neutral_hold, target_allocation=9.27%."
