signal_date,trade_date,trade_price,market_close,predicted_signal,confidence,bullish_probability,trend_filter_passed,target_allocation,action,cash,shares,position_value,portfolio_value,explanation
2023-08-21,2023-08-22,319.3396208763862,316.3571472167969,BUY_AND_HOLD,1.0,1.0,True,1.0,BUY,85.6175106971532,31,9807.071563720703,9892.689074417856,Benchmark entered at next-day open with trading costs and then held.
2023-08-22,2023-08-23,317.69137970947685,320.8111877441406,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,85.6175106971532,31,9945.14682006836,10030.764330765513,Benchmark entered at next-day open with trading costs and then held.
2023-08-23,2023-08-24,326.55054687218063,313.914306640625,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,85.6175106971532,31,9731.343505859375,9816.961016556528,Benchmark entered at next-day open with trading costs and then held.
2023-08-24,2023-08-25,315.3858781640861,316.8673095703125,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,85.6175106971532,31,9822.886596679688,9908.50410737684,Benchmark entered at next-day open with trading costs and then held.
2023-08-25,2023-08-28,319.49656611253965,317.57366943359375,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,85.6175106971532,31,9844.783752441406,9930.40126313856,Benchmark entered at next-day open with trading costs and then held.
2023-08-28,2023-08-29,315.7881368695037,322.1945495605469,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,85.6175106971532,31,9988.031036376953,10073.648547074106,Benchmark entered at next-day open with trading costs and then held.
2023-08-29,2023-08-30,322.4495976903229,322.56732177734375,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,85.6175106971532,31,9999.586975097656,10085.20448579481,Benchmark entered at next-day open with trading costs and then held.
2023-08-30,2023-08-31,322.9696033369281,321.5568542480469,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,85.6175106971532,31,9968.262481689453,10053.879992386606,Benchmark entered at next-day open with trading costs and then held.
2023-08-31,2023-09-01,325.039690493004,322.4398498535156,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,85.6175106971532,31,9995.635345458984,10081.252856156138,Benchmark entered at next-day open with trading costs and then held.
2023-09-01,2023-09-05,322.77336861557694,327.23724365234375,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,85.6175106971532,31,10144.354553222656,10229.97206391981,Benchmark entered at next-day open with trading costs and then held.
2023-09-05,2023-09-06,327.0704931119819,326.5799560546875,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,85.6175106971532,31,10123.978637695312,10209.596148392466,Benchmark entered at next-day open with trading costs and then held.
