signal_date,trade_date,trade_price,market_close,predicted_signal,confidence,bullish_probability,trend_filter_passed,target_allocation,action,cash,shares,position_value,portfolio_value,explanation
2023-08-21,2023-08-22,175.00895776189057,175.17698669433594,BULLISH_SIGNAL,0.48613463028511267,0.48613463028511267,True,0.0,HOLD,10000.0,0,0.0,10000.0,"Aggressive trader saw BULLISH_SIGNAL with bullish_probability=0.49, confidence=0.49, probability_margin=0.20, trend_filter_passed=True, rule=neutral_hold, target_allocation=0.00%."
2023-08-22,2023-08-23,176.45205395893973,179.0219268798828,BULLISH_SIGNAL,0.41362579697227564,0.41362579697227564,True,0.0,HOLD,10000.0,0,0.0,10000.0,"Aggressive trader saw BULLISH_SIGNAL with bullish_probability=0.41, confidence=0.41, probability_margin=0.10, trend_filter_passed=True, rule=neutral_hold, target_allocation=0.00%."
2023-08-23,2023-08-24,178.57713623123834,174.3368377685547,NEUTRAL_SIGNAL,0.4192044530863075,0.3744872926455372,True,0.0,HOLD,10000.0,0,0.0,10000.0,"Aggressive trader saw NEUTRAL_SIGNAL with bullish_probability=0.37, confidence=0.42, probability_margin=0.04, trend_filter_passed=True, rule=neutral_hold, target_allocation=0.00%."
2023-08-24,2023-08-25,175.3252527852027,176.54100036621094,BULLISH_SIGNAL,0.5171564939827145,0.5171564939827145,True,0.0,HOLD,10000.0,0,0.0,10000.0,"Aggressive trader saw BULLISH_SIGNAL with bullish_probability=0.52, confidence=0.52, probability_margin=0.15, trend_filter_passed=True, rule=neutral_hold, target_allocation=0.00%."
2023-08-25,2023-08-28,178.00382876159824,178.10267639160156,NEUTRAL_SIGNAL,0.5520348951467142,0.32603317303509544,True,0.0,HOLD,10000.0,0,0.0,10000.0,"Aggressive trader saw NEUTRAL_SIGNAL with bullish_probability=0.33, confidence=0.55, probability_margin=0.23, trend_filter_passed=True, rule=neutral_hold, target_allocation=0.00%."
2023-08-28,2023-08-29,177.61838490226515,181.9871826171875,NEUTRAL_SIGNAL,0.6664788269067966,0.20363012181383264,True,0.0,HOLD,10000.0,0,0.0,10000.0,"Aggressive trader saw NEUTRAL_SIGNAL with bullish_probability=0.20, confidence=0.67, probability_margin=0.46, trend_filter_passed=True, rule=neutral_hold, target_allocation=0.00%."
2023-08-29,2023-08-30,182.79767343476072,185.4762725830078,NEUTRAL_SIGNAL,0.6494060908429317,0.23305895407345373,True,0.0,HOLD,10000.0,0,0.0,10000.0,"Aggressive trader saw NEUTRAL_SIGNAL with bullish_probability=0.23, confidence=0.65, probability_margin=0.42, trend_filter_passed=True, rule=neutral_hold, target_allocation=0.00%."
2023-08-30,2023-08-31,185.66407430986655,185.6937255859375,NEUTRAL_SIGNAL,0.6222171816487223,0.16780127425563462,True,0.0,HOLD,10000.0,0,0.0,10000.0,"Aggressive trader saw NEUTRAL_SIGNAL with bullish_probability=0.17, confidence=0.62, probability_margin=0.41, trend_filter_passed=True, rule=neutral_hold, target_allocation=0.00%."
2023-08-31,2023-09-01,187.29498636168424,187.2653350830078,NEUTRAL_SIGNAL,0.5812818816726208,0.30444730733828207,True,0.0,HOLD,10000.0,0,0.0,10000.0,"Aggressive trader saw NEUTRAL_SIGNAL with bullish_probability=0.30, confidence=0.58, probability_margin=0.28, trend_filter_passed=True, rule=neutral_hold, target_allocation=0.00%."
2023-09-01,2023-09-05,186.09899903788357,187.50254821777344,NEUTRAL_SIGNAL,0.7146647923910868,0.22070491590285754,True,0.0,HOLD,10000.0,0,0.0,10000.0,"Aggressive trader saw NEUTRAL_SIGNAL with bullish_probability=0.22, confidence=0.71, probability_margin=0.49, trend_filter_passed=True, rule=neutral_hold, target_allocation=0.00%."
2023-09-05,2023-09-06,186.21757793807612,180.7911834716797,NEUTRAL_SIGNAL,0.6747970416751793,0.26860858221269723,True,0.0,HOLD,10000.0,0,0.0,10000.0,"Aggressive trader saw NEUTRAL_SIGNAL with bullish_probability=0.27, confidence=0.67, probability_margin=0.41, trend_filter_passed=True, rule=neutral_hold, target_allocation=0.00%."
2023-09-06,2023-09-07,173.1507234483217,175.50315856933594,BULLISH_SIGNAL,0.5920689905877163,0.5920689905877163,True,0.07478931660038453,BUY,9306.357855564576,4,702.0126342773438,10008.37048984192,"Aggressive trader saw BULLISH_SIGNAL with bullish_probability=0.59, confidence=0.59, probability_margin=0.26, trend_filter_passed=True, rule=bullish_signal, target_allocation=7.48%."
2023-09-07,2023-09-08,176.2840260730559,176.11598205566406,BULLISH_SIGNAL,0.7226301660553353,0.7226301660553353,True,0.3068980729872626,BUY,7011.226832260256,17,2993.971694946289,10005.198527206545,"Aggressive trader saw BULLISH_SIGNAL with bullish_probability=0.72, confidence=0.72, probability_margin=0.54, trend_filter_passed=True, rule=bullish_signal, target_allocation=30.69%."
2023-09-08,2023-09-11,177.98410020535158,177.28231811523438,NEUTRAL_SIGNAL,0.48803139223717057,0.3411257230660678,True,0.30145888275130517,HOLD,7011.226832260256,17,3013.7994079589844,10025.02624021924,"Aggressive trader saw NEUTRAL_SIGNAL with bullish_probability=0.34, confidence=0.49, probability_margin=0.15, trend_filter_passed=True, rule=neutral_hold, target_allocation=30.15%."
2023-09-11,2023-09-12,177.4108010563609,174.25775146484375,NEUTRAL_SIGNAL,0.4289311169167696,0.3184214428756729,True,0.30077992607529724,HOLD,7011.226832260256,17,2962.3817749023438,9973.6086071626,"Aggressive trader saw NEUTRAL_SIGNAL with bullish_probability=0.32, confidence=0.43, probability_margin=0.11, trend_filter_passed=True, rule=neutral_hold, target_allocation=30.08%."
2023-09-12,2023-09-13,174.46534664942806,172.19200134277344,BULLISH_SIGNAL,0.409089554357558,0.409089554357558,True,0.2972707177850386,HOLD,7011.226832260256,17,2927.2640228271484,9938.490855087404,"Aggressive trader saw BULLISH_SIGNAL with bullish_probability=0.41, confidence=0.41, probability_margin=0.03, trend_filter_passed=True, rule=neutral_hold, target_allocation=29.73%."
2023-09-13,2023-09-14,171.9844348895405,173.70428466796875,BULLISH_SIGNAL,0.4516757714998617,0.4516757714998617,True,0.2942875198511024,HOLD,7011.226832260256,17,2952.9728393554688,9964.199671615725,"Aggressive trader saw BULLISH_SIGNAL with bullish_probability=0.45, confidence=0.45, probability_margin=0.16, trend_filter_passed=True, rule=neutral_hold, target_allocation=29.43%."
2023-09-14,2023-09-15,174.43568479625586,172.9827117919922,NEUTRAL_SIGNAL,0.4348417515282916,0.3796274019817683,True,0.29723519956154754,HOLD,7011.226832260256,17,2940.706100463867,9951.932932724123,"Aggressive trader saw NEUTRAL_SIGNAL with bullish_probability=0.38, confidence=0.43, probability_margin=0.06, trend_filter_passed=True, rule=neutral_hold, target_allocation=29.72%."
2023-09-15,2023-09-18,174.43570157296918,175.908447265625,BULLISH_SIGNAL,0.4940949246552815,0.4940949246552815,True,0.2972352196516327,HOLD,7011.226832260256,17,2990.443603515625,10001.67043577588,"Aggressive trader saw BULLISH_SIGNAL with bullish_probability=0.49, confidence=0.49, probability_margin=0.14, trend_filter_passed=True, rule=neutral_hold, target_allocation=29.72%."
2023-09-18,2023-09-19,175.4636488877364,176.99569702148438,NEUTRAL_SIGNAL,0.5422248149344033,0.2377362463808355,True,0.2984640323490667,HOLD,7011.226832260256,17,3008.9268493652344,10020.15368162549,"Aggressive trader saw NEUTRAL_SIGNAL with bullish_probability=0.24, confidence=0.54, probability_margin=0.30, trend_filter_passed=True, rule=neutral_hold, target_allocation=29.85%."
2023-09-19,2023-09-20,177.18345571133617,173.45713806152344,NEUTRAL_SIGNAL,0.5195566108541844,0.2976533053301911,True,0.3005103159664933,HOLD,7011.226832260256,17,2948.7713470458984,9959.998179306154,"Aggressive trader saw NEUTRAL_SIGNAL with bullish_probability=0.30, confidence=0.52, probability_margin=0.22, trend_filter_passed=True, rule=neutral_hold, target_allocation=30.05%."
2023-09-20,2023-09-21,172.5280351536478,171.9152069091797,BULLISH_SIGNAL,0.6299328454199776,0.6299328454199776,True,0.1421028363021824,REDUCE,8561.65079654467,8,1375.3216552734375,9936.972451818108,"Aggressive trader saw BULLISH_SIGNAL with bullish_probability=0.63, confidence=0.63, probability_margin=0.40, trend_filter_passed=True, rule=bullish_signal, target_allocation=14.21%."
2023-09-21,2023-09-22,172.6466384244914,172.76524353027344,BULLISH_SIGNAL,0.6135924567124226,0.6135924567124226,True,0.11305325637764006,HOLD,8561.65079654467,8,1382.1219482421875,9943.772744786858,"Aggressive trader saw BULLISH_SIGNAL with bullish_probability=0.61, confidence=0.61, probability_margin=0.40, trend_filter_passed=True, rule=bullish_signal, target_allocation=11.31%."
2023-09-22,2023-09-25,172.1820865728236,174.04031372070312,BULLISH_SIGNAL,0.6169485053213223,0.6169485053213223,True,0.11901956501568399,HOLD,8561.65079654467,8,1392.322509765625,9953.973306310296,"Aggressive trader saw BULLISH_SIGNAL with bullish_probability=0.62, confidence=0.62, probability_margin=0.37, trend_filter_passed=True, rule=bullish_signal, target_allocation=11.90%."
2023-09-25,2023-09-26,172.7949188930673,169.96804809570312,BULLISH_SIGNAL,0.5628911043328756,0.5628911043328756,True,0.022917518814000976,REDUCE,9769.40148692998,1,169.96804809570312,9939.369535025684,"Aggressive trader saw BULLISH_SIGNAL with bullish_probability=0.56, confidence=0.56, probability_margin=0.28, trend_filter_passed=True, rule=bullish_signal, target_allocation=2.29%."
2023-09-26,2023-09-27,170.62036773962245,168.4557342529297,BULLISH_SIGNAL,0.6953020355986576,0.6953020355986576,True,0.2583147299531689,BUY,7377.13211651016,15,2526.8360137939453,9903.968130304105,"Aggressive trader saw BULLISH_SIGNAL with bullish_probability=0.70, confidence=0.70, probability_margin=0.49, trend_filter_passed=True, rule=bullish_signal, target_allocation=25.83%."
2023-09-27,2023-09-28,167.37838547451082,168.71275329589844,BULLISH_SIGNAL,0.6368008948768494,0.6368008948768494,True,0.15431270200328784,REDUCE,8379.89652602311,9,1518.414779663086,9898.311305686197,"Aggressive trader saw BULLISH_SIGNAL with bullish_probability=0.64, confidence=0.64, probability_margin=0.44, trend_filter_passed=True, rule=bullish_signal, target_allocation=15.43%."
2023-09-28,2023-09-29,170.02736032081233,169.22674560546875,BULLISH_SIGNAL,0.5273844013734492,0.5273844013734492,True,0.15441212892390602,HOLD,8379.89652602311,9,1523.0407104492188,9902.93723647233,"Aggressive trader saw BULLISH_SIGNAL with bullish_probability=0.53, confidence=0.53, probability_margin=0.25, trend_filter_passed=True, rule=neutral_hold, target_allocation=15.44%."
2023-09-29,2023-10-02,169.2365980179806,171.73728942871094,BULLISH_SIGNAL,0.41388861149050865,0.41388861149050865,True,0.15380444283226058,HOLD,8379.89652602311,9,1545.6356048583984,9925.53213088151,"Aggressive trader saw BULLISH_SIGNAL with bullish_probability=0.41, confidence=0.41, probability_margin=0.08, trend_filter_passed=True, rule=neutral_hold, target_allocation=15.38%."
2023-10-02,2023-10-03,170.2645306917589,170.4029083251953,BEARISH_SIGNAL,0.42008568067087454,0.26972136022664056,True,0.0,EXIT TO CASH,9909.97949727499,0,0.0,9909.97949727499,"Aggressive trader saw BEARISH_SIGNAL with bullish_probability=0.27, confidence=0.42, probability_margin=0.11, trend_filter_passed=True, rule=bearish_exit, target_allocation=0.00%."
2023-10-03,2023-10-04,169.10810929534875,171.64834594726562,BULLISH_SIGNAL,0.36598443397572517,0.36598443397572517,True,0.0,HOLD,9909.97949727499,0,0.0,9909.97949727499,"Aggressive trader saw BULLISH_SIGNAL with bullish_probability=0.37, confidence=0.37, probability_margin=0.01, trend_filter_passed=True, rule=neutral_hold, target_allocation=0.00%."
2023-10-04,2023-10-05,171.77682905786853,172.8838653564453,BULLISH_SIGNAL,0.5432327651824458,0.5432327651824458,True,0.0,HOLD,9909.97949727499,0,0.0,9909.97949727499,"Aggressive trader saw BULLISH_SIGNAL with bullish_probability=0.54, confidence=0.54, probability_margin=0.29, trend_filter_passed=True, rule=neutral_hold, target_allocation=0.00%."
2023-10-05,2023-10-06,171.78671747657816,175.43397521972656,BULLISH_SIGNAL,0.44704555678947444,0.44704555678947444,True,0.0,HOLD,9909.97949727499,0,0.0,9909.97949727499,"Aggressive trader saw BULLISH_SIGNAL with bullish_probability=0.45, confidence=0.45, probability_margin=0.10, trend_filter_passed=True, rule=neutral_hold, target_allocation=0.00%."
