signal_date,trade_date,trade_price,market_close,predicted_signal,confidence,bullish_probability,trend_filter_passed,target_allocation,action,cash,shares,position_value,portfolio_value,explanation
2023-09-18,2023-09-19,175.4636488877364,176.99569702148438,NEUTRAL_SIGNAL,0.9895025833565341,0.00023851221508042772,False,0.0,HOLD,10000.0,0,0.0,10000.0,"Conservative trader saw NEUTRAL_SIGNAL with bullish_probability=0.00, confidence=0.99, probability_margin=0.98, trend_filter_passed=False, rule=neutral_hold, target_allocation=0.00%."
2023-09-19,2023-09-20,177.18345571133617,173.45713806152344,NEUTRAL_SIGNAL,0.9733468340212835,0.0001444231058425132,False,0.0,HOLD,10000.0,0,0.0,10000.0,"Conservative trader saw NEUTRAL_SIGNAL with bullish_probability=0.00, confidence=0.97, probability_margin=0.95, trend_filter_passed=False, rule=neutral_hold, target_allocation=0.00%."
2023-09-20,2023-09-21,172.5280351536478,171.9152069091797,NEUTRAL_SIGNAL,0.8682684663860922,0.12634052746512878,False,0.0,HOLD,10000.0,0,0.0,10000.0,"Conservative trader saw NEUTRAL_SIGNAL with bullish_probability=0.13, confidence=0.87, probability_margin=0.74, trend_filter_passed=False, rule=neutral_hold, target_allocation=0.00%."
2023-09-21,2023-09-22,172.6466384244914,172.76524353027344,BULLISH_SIGNAL,0.6816456529299155,0.6816456529299155,False,0.0,HOLD,10000.0,0,0.0,10000.0,"Conservative trader saw BULLISH_SIGNAL with bullish_probability=0.68, confidence=0.68, probability_margin=0.49, trend_filter_passed=False, rule=neutral_hold, target_allocation=0.00%."
2023-09-22,2023-09-25,172.1820865728236,174.04031372070312,BULLISH_SIGNAL,0.5104826809741796,0.5104826809741796,False,0.0,HOLD,10000.0,0,0.0,10000.0,"Conservative trader saw BULLISH_SIGNAL with bullish_probability=0.51, confidence=0.51, probability_margin=0.03, trend_filter_passed=False, rule=neutral_hold, target_allocation=0.00%."
2023-09-25,2023-09-26,172.7949188930673,169.96804809570312,BULLISH_SIGNAL,0.3778000081609275,0.3778000081609275,False,0.0,HOLD,10000.0,0,0.0,10000.0,"Conservative trader saw BULLISH_SIGNAL with bullish_probability=0.38, confidence=0.38, probability_margin=0.04, trend_filter_passed=False, rule=neutral_hold, target_allocation=0.00%."
2023-09-26,2023-09-27,170.62036773962245,168.4557342529297,BULLISH_SIGNAL,0.9903686886952707,0.9903686886952707,False,0.0,HOLD,10000.0,0,0.0,10000.0,"Conservative trader saw BULLISH_SIGNAL with bullish_probability=0.99, confidence=0.99, probability_margin=0.98, trend_filter_passed=False, rule=neutral_hold, target_allocation=0.00%."
2023-09-27,2023-09-28,167.37838547451082,168.71275329589844,BULLISH_SIGNAL,0.9416120672875357,0.9416120672875357,False,0.0,HOLD,10000.0,0,0.0,10000.0,"Conservative trader saw BULLISH_SIGNAL with bullish_probability=0.94, confidence=0.94, probability_margin=0.89, trend_filter_passed=False, rule=neutral_hold, target_allocation=0.00%."
2023-09-28,2023-09-29,170.02736032081233,169.22674560546875,BULLISH_SIGNAL,0.7341250999760335,0.7341250999760335,False,0.0,HOLD,10000.0,0,0.0,10000.0,"Conservative trader saw BULLISH_SIGNAL with bullish_probability=0.73, confidence=0.73, probability_margin=0.52, trend_filter_passed=False, rule=neutral_hold, target_allocation=0.00%."
2023-09-29,2023-10-02,169.2365980179806,171.73728942871094,BEARISH_SIGNAL,0.9590447473775849,0.015373537196386655,False,0.0,HOLD,10000.0,0,0.0,10000.0,"Conservative trader saw BEARISH_SIGNAL with bullish_probability=0.02, confidence=0.96, probability_margin=0.93, trend_filter_passed=False, rule=bearish_exit, target_allocation=0.00%."
