feature,importance
atr_14,0.08503650297587285
ma50_gap,0.07650479486599407
ret_10,0.07513945898750375
ma20_gap,0.0644181277191568
rsi_14,0.06379737371739382
spy_ma50_gap,0.06306847112607834
ret_20,0.0629820166702272
high_low_range,0.06013971895066992
relative_strength_20,0.05942361815809904
overnight_gap,0.05874835538911207
volatility_10,0.0569434235136187
ret_5,0.04384780034997341
excess_return,0.04358914851332555
spy_return,0.04066743657419715
return,0.03946047386078042
ret_3,0.03710258046283053
ma5_gap,0.03694463407521854
volume_change,0.032186064089947945
