signal_date,trade_date,trade_price,market_close,predicted_signal,confidence,bullish_probability,trend_filter_passed,target_allocation,action,cash,shares,position_value,portfolio_value,explanation
2023-08-21,2023-08-22,175.00897300604348,175.177001953125,BUY_AND_HOLD,1.0,1.0,True,1.0,BUY,9.52028370777407,57,9985.089111328125,9994.609395035899,Benchmark entered at next-day open with trading costs and then held.
2023-08-22,2023-08-23,176.45205395893973,179.0219268798828,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,9.52028370777407,57,10204.24983215332,10213.770115861094,Benchmark entered at next-day open with trading costs and then held.
2023-08-23,2023-08-24,178.57712060131817,174.33682250976562,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,9.52028370777407,57,9937.19888305664,9946.719166764415,Benchmark entered at next-day open with trading costs and then held.
2023-08-24,2023-08-25,175.3252376314931,176.54098510742188,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,9.52028370777407,57,10062.836151123047,10072.356434830821,Benchmark entered at next-day open with trading costs and then held.
2023-08-25,2023-08-28,178.003859262239,178.1027069091797,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,9.52028370777407,57,10151.854293823242,10161.374577531016,Benchmark entered at next-day open with trading costs and then held.
2023-08-28,2023-08-29,177.61838490226515,181.9871826171875,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,9.52028370777407,57,10373.269409179688,10382.789692887462,Benchmark entered at next-day open with trading costs and then held.
2023-08-29,2023-08-30,182.79767343476072,185.4762725830078,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,9.52028370777407,57,10572.147537231445,10581.66782093922,Benchmark entered at next-day open with trading costs and then held.
2023-08-30,2023-08-31,185.66408956621913,185.69374084472656,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,9.52028370777407,57,10584.543228149414,10594.063511857188,Benchmark entered at next-day open with trading costs and then held.
2023-08-31,2023-09-01,187.29498636168424,187.2653350830078,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,9.52028370777407,57,10674.124099731445,10683.64438343922,Benchmark entered at next-day open with trading costs and then held.
2023-09-01,2023-09-05,186.09901418245303,187.5025634765625,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,9.52028370777407,57,10687.646118164062,10697.166401871837,Benchmark entered at next-day open with trading costs and then held.
