signal_date,trade_date,trade_price,market_close,predicted_signal,confidence,bullish_probability,trend_filter_passed,target_allocation,action,cash,shares,position_value,portfolio_value,explanation
2023-08-21,2023-08-22,319.33965168167043,316.357177734375,NEUTRAL_SIGNAL,0.5190918677327372,0.4037176306779034,False,0.0,HOLD,10000.0,0,0.0,10000.0,"Balanced trader saw NEUTRAL_SIGNAL with bullish_probability=0.40, confidence=0.52, probability_margin=0.12, trend_filter_passed=False, rule=neutral_hold, target_allocation=0.00%."
2023-08-22,2023-08-23,317.69140993027924,320.81121826171875,NEUTRAL_SIGNAL,0.8018579456026675,0.017228536162946458,False,0.0,HOLD,10000.0,0,0.0,10000.0,"Balanced trader saw NEUTRAL_SIGNAL with bullish_probability=0.02, confidence=0.80, probability_margin=0.62, trend_filter_passed=False, rule=neutral_hold, target_allocation=0.00%."
2023-08-23,2023-08-24,326.5505151261544,313.9142761230469,NEUTRAL_SIGNAL,0.4078703959336602,0.33841682813075,False,0.0,HOLD,10000.0,0,0.0,10000.0,"Balanced trader saw NEUTRAL_SIGNAL with bullish_probability=0.34, confidence=0.41, probability_margin=0.07, trend_filter_passed=False, rule=neutral_hold, target_allocation=0.00%."
2023-08-24,2023-08-25,315.38584778918505,316.8672790527344,BULLISH_SIGNAL,0.8906571485887093,0.8906571485887093,False,0.0,HOLD,10000.0,0,0.0,10000.0,"Balanced trader saw BULLISH_SIGNAL with bullish_probability=0.89, confidence=0.89, probability_margin=0.79, trend_filter_passed=False, rule=neutral_hold, target_allocation=0.00%."
2023-08-25,2023-08-28,319.4966275172615,317.57373046875,NEUTRAL_SIGNAL,0.45653900964834393,0.45023288484917173,False,0.0,HOLD,10000.0,0,0.0,10000.0,"Balanced trader saw NEUTRAL_SIGNAL with bullish_probability=0.45, confidence=0.46, probability_margin=0.01, trend_filter_passed=False, rule=neutral_hold, target_allocation=0.00%."
2023-08-28,2023-08-29,315.78819669105656,322.1946105957031,NEUTRAL_SIGNAL,0.9648844016017728,0.011784707635984213,False,0.0,HOLD,10000.0,0,0.0,10000.0,"Balanced trader saw NEUTRAL_SIGNAL with bullish_probability=0.01, confidence=0.96, probability_margin=0.94, trend_filter_passed=False, rule=neutral_hold, target_allocation=0.00%."
2023-08-29,2023-08-30,322.4496587032038,322.5673828125,BEARISH_SIGNAL,0.8117438934043117,0.1344216602957171,False,0.0,HOLD,10000.0,0,0.0,10000.0,"Balanced trader saw BEARISH_SIGNAL with bullish_probability=0.13, confidence=0.81, probability_margin=0.68, trend_filter_passed=False, rule=bearish_exit, target_allocation=0.00%."
2023-08-30,2023-08-31,322.9696033369281,321.5568542480469,BEARISH_SIGNAL,0.6618778580525839,0.08461341789364929,False,0.0,HOLD,10000.0,0,0.0,10000.0,"Balanced trader saw BEARISH_SIGNAL with bullish_probability=0.08, confidence=0.66, probability_margin=0.41, trend_filter_passed=False, rule=bearish_exit, target_allocation=0.00%."
2023-08-31,2023-09-01,325.0396597293619,322.4398193359375,BULLISH_SIGNAL,0.5999461742640568,0.5999461742640568,False,0.0,HOLD,10000.0,0,0.0,10000.0,"Balanced trader saw BULLISH_SIGNAL with bullish_probability=0.60, confidence=0.60, probability_margin=0.40, trend_filter_passed=False, rule=neutral_hold, target_allocation=0.00%."
2023-09-01,2023-09-05,322.77336861557694,327.23724365234375,BULLISH_SIGNAL,0.4724847596644992,0.4724847596644992,False,0.0,HOLD,10000.0,0,0.0,10000.0,"Balanced trader saw BULLISH_SIGNAL with bullish_probability=0.47, confidence=0.47, probability_margin=0.08, trend_filter_passed=False, rule=neutral_hold, target_allocation=0.00%."
2023-09-05,2023-09-06,327.0705236753987,326.5799865722656,BULLISH_SIGNAL,0.6937199995947624,0.6937199995947624,True,0.15968888843862483,BUY,8689.754828015306,4,1306.3199462890625,9996.074774304368,"Balanced trader saw BULLISH_SIGNAL with bullish_probability=0.69, confidence=0.69, probability_margin=0.40, trend_filter_passed=True, rule=bullish_signal, target_allocation=15.97%."
2023-09-06,2023-09-07,325.02005529596454,323.6661682128906,BEARISH_SIGNAL,0.4892994146734121,0.2394751597241139,True,0.0,EXIT TO CASH,9987.885578907499,0,0.0,9987.885578907499,"Balanced trader saw BEARISH_SIGNAL with bullish_probability=0.24, confidence=0.49, probability_margin=0.22, trend_filter_passed=True, rule=bearish_exit, target_allocation=0.00%."
2023-09-07,2023-09-08,323.8427514132207,327.9436340332031,BEARISH_SIGNAL,0.7602748775882621,0.12396083709634174,False,0.0,HOLD,9987.885578907499,0,0.0,9987.885578907499,"Balanced trader saw BEARISH_SIGNAL with bullish_probability=0.12, confidence=0.76, probability_margin=0.64, trend_filter_passed=False, rule=bearish_exit, target_allocation=0.00%."
