signal_date,trade_date,trade_price,market_close,predicted_signal,confidence,bullish_probability,trend_filter_passed,target_allocation,action,cash,shares,position_value,portfolio_value,explanation
2023-08-21,2023-08-22,319.33965168167043,316.357177734375,BULLISH_SIGNAL,0.473775480088195,0.473775480088195,True,0.0,HOLD,10000.0,0,0.0,10000.0,"Aggressive trader saw BULLISH_SIGNAL with bullish_probability=0.47, confidence=0.47, probability_margin=0.16, trend_filter_passed=True, rule=neutral_hold, target_allocation=0.00%."
2023-08-22,2023-08-23,317.69140993027924,320.81121826171875,BEARISH_SIGNAL,0.801457605655531,0.0012143259764857257,True,0.0,HOLD,10000.0,0,0.0,10000.0,"Aggressive trader saw BEARISH_SIGNAL with bullish_probability=0.00, confidence=0.80, probability_margin=0.60, trend_filter_passed=True, rule=bearish_exit, target_allocation=0.00%."
2023-08-23,2023-08-24,326.5505151261544,313.9142761230469,NEUTRAL_SIGNAL,0.9749622583123749,0.01879127411173472,True,0.0,HOLD,10000.0,0,0.0,10000.0,"Aggressive trader saw NEUTRAL_SIGNAL with bullish_probability=0.02, confidence=0.97, probability_margin=0.96, trend_filter_passed=True, rule=neutral_hold, target_allocation=0.00%."
2023-08-24,2023-08-25,315.38584778918505,316.8672790527344,NEUTRAL_SIGNAL,0.9277280852527375,0.04655334056168987,True,0.0,HOLD,10000.0,0,0.0,10000.0,"Aggressive trader saw NEUTRAL_SIGNAL with bullish_probability=0.05, confidence=0.93, probability_margin=0.88, trend_filter_passed=True, rule=neutral_hold, target_allocation=0.00%."
2023-08-25,2023-08-28,319.4966275172615,317.57373046875,BULLISH_SIGNAL,0.6001484343574387,0.6001484343574387,True,0.08915277219100207,BUY,9360.047935586297,2,635.1474609375,9995.195396523797,"Aggressive trader saw BULLISH_SIGNAL with bullish_probability=0.60, confidence=0.60, probability_margin=0.26, trend_filter_passed=True, rule=bullish_signal, target_allocation=8.92%."
2023-08-28,2023-08-29,315.78819669105656,322.1946105957031,BEARISH_SIGNAL,0.915100505387876,0.020657316595637503,True,0.0,EXIT TO CASH,9990.677280166534,0,0.0,9990.677280166534,"Aggressive trader saw BEARISH_SIGNAL with bullish_probability=0.02, confidence=0.92, probability_margin=0.85, trend_filter_passed=True, rule=bearish_exit, target_allocation=0.00%."
2023-08-29,2023-08-30,322.4496587032038,322.5673828125,BULLISH_SIGNAL,0.6314683009521012,0.6314683009521012,True,0.14483253502595755,BUY,8698.943302502183,4,1290.26953125,9989.212833752183,"Aggressive trader saw BULLISH_SIGNAL with bullish_probability=0.63, confidence=0.63, probability_margin=0.40, trend_filter_passed=True, rule=bullish_signal, target_allocation=14.48%."
2023-08-30,2023-08-31,322.9696033369281,321.5568542480469,BEARISH_SIGNAL,0.657199146435656,0.30179559434168063,True,0.0,EXIT TO CASH,9988.884544169081,0,0.0,9988.884544169081,"Aggressive trader saw BEARISH_SIGNAL with bullish_probability=0.30, confidence=0.66, probability_margin=0.36, trend_filter_passed=True, rule=bearish_exit, target_allocation=0.00%."
2023-08-31,2023-09-01,325.0396597293619,322.4398193359375,BULLISH_SIGNAL,0.938393527936889,0.938393527936889,True,0.6904773829989139,BUY,3152.809527654579,21,6771.2362060546875,9924.045733709267,"Aggressive trader saw BULLISH_SIGNAL with bullish_probability=0.94, confidence=0.94, probability_margin=0.89, trend_filter_passed=True, rule=bullish_signal, target_allocation=69.05%."
2023-09-01,2023-09-05,322.77336861557694,327.23724365234375,BEARISH_SIGNAL,0.769230400709751,0.1364874840264781,True,0.0,EXIT TO CASH,9920.886296590674,0,0.0,9920.886296590674,"Aggressive trader saw BEARISH_SIGNAL with bullish_probability=0.14, confidence=0.77, probability_margin=0.63, trend_filter_passed=True, rule=bearish_exit, target_allocation=0.00%."
