signal_date,trade_date,trade_price,market_close,predicted_signal,confidence,bullish_probability,trend_filter_passed,target_allocation,action,cash,shares,position_value,portfolio_value,explanation
2023-08-21,2023-08-22,319.33965168167043,316.357177734375,BUY_AND_HOLD,1.0,1.0,True,1.0,BUY,85.61655430041901,31,9807.072509765625,9892.689064066044,Benchmark entered at next-day open with trading costs and then held.
2023-08-22,2023-08-23,317.69140993027924,320.81121826171875,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,85.61655430041901,31,9945.147766113281,10030.7643204137,Benchmark entered at next-day open with trading costs and then held.
2023-08-23,2023-08-24,326.5505151261544,313.9142761230469,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,85.61655430041901,31,9731.342559814453,9816.959114114872,Benchmark entered at next-day open with trading costs and then held.
2023-08-24,2023-08-25,315.38584778918505,316.8672790527344,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,85.61655430041901,31,9822.885650634766,9908.502204935185,Benchmark entered at next-day open with trading costs and then held.
2023-08-25,2023-08-28,319.4966275172615,317.57373046875,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,85.61655430041901,31,9844.78564453125,9930.402198831669,Benchmark entered at next-day open with trading costs and then held.
2023-08-28,2023-08-29,315.78819669105656,322.1946105957031,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,85.61655430041901,31,9988.032928466797,10073.649482767216,Benchmark entered at next-day open with trading costs and then held.
2023-08-29,2023-08-30,322.4496587032038,322.5673828125,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,85.61655430041901,31,9999.5888671875,10085.205421487919,Benchmark entered at next-day open with trading costs and then held.
2023-08-30,2023-08-31,322.9696033369281,321.5568542480469,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,85.61655430041901,31,9968.262481689453,10053.879035989872,Benchmark entered at next-day open with trading costs and then held.
2023-08-31,2023-09-01,325.0396597293619,322.4398193359375,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,85.61655430041901,31,9995.634399414062,10081.250953714482,Benchmark entered at next-day open with trading costs and then held.
2023-09-01,2023-09-05,322.77336861557694,327.23724365234375,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,85.61655430041901,31,10144.354553222656,10229.971107523075,Benchmark entered at next-day open with trading costs and then held.
2023-09-05,2023-09-06,327.0705236753987,326.5799865722656,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,85.61655430041901,31,10123.979583740234,10209.596138040653,Benchmark entered at next-day open with trading costs and then held.
2023-09-06,2023-09-07,325.02005529596454,323.6661682128906,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,85.61655430041901,31,10033.65121459961,10119.267768900028,Benchmark entered at next-day open with trading costs and then held.
2023-09-07,2023-09-08,323.8427514132207,327.9436340332031,BUY_AND_HOLD,1.0,1.0,True,1.0,HOLD,85.61655430041901,31,10166.252655029297,10251.869209329716,Benchmark entered at next-day open with trading costs and then held.
